method: org.apache.fop.fonts.FontReader.createFont:1081037631
$r3(1493169257) -> $r3(-1493169257) 
e(1493169257) -> e(-1493169257) 
$r4(1493169257) -> $r4(-1493169257) 
$r5(1493169257) -> $r5(-1493169257) 
e(1493169257) -> e(-1493169257) 
0(-1493169257) -> 0(835703886) 
this(-1493169257) -> this(835703886) 
source(-1493169257) -> source(835703886) 
factory(-1493169257) -> factory(835703886) 
e(-1493169257) -> e(835703886) 
$r0(-1493169257) -> $r0(835703886) 
parser(-1493169257) -> parser(835703886) 
$r1(-1493169257) -> $r1(835703886) 
$r2(-1493169257) -> $r2(835703886) 
$r3(-1493169257) -> $r3(835703886) 
e(-1493169257) -> e(835703886) 
$r4(-1493169257) -> $r4(835703886) 
$r5(-1493169257) -> $r5(835703886) 
e(-1493169257) -> e(835703886) 
0(835703886) -> 0(-835703886) 
this(835703886) -> this(-835703886) 
source(835703886) -> source(-835703886) 
factory(835703886) -> factory(-835703886) 
e(835703886) -> e(-835703886) 
$r0(835703886) -> $r0(-835703886) 
$r1(835703886) -> $r1(-835703886) 
$r2(835703886) -> $r2(-835703886) 
$r3(835703886) -> $r3(-835703886) 
e(835703886) -> e(-835703886) 
$r4(835703886) -> $r4(-835703886) 
$r5(835703886) -> $r5(-835703886) 
e(835703886) -> e(-835703886) 
0(-835703886) -> 0(1132160622) 
this(-835703886) -> this(1132160622) 
source(-835703886) -> source(1132160622) 
factory(-835703886) -> factory(1132160622) 
e(-835703886) -> e(1132160622) 
$r0(-835703886) -> $r0(1132160622) 
parser(-835703886) -> parser(1132160622) 
$r1(-835703886) -> $r1(1132160622) 
$r2(-835703886) -> $r2(1132160622) 
$r3(-835703886) -> $r3(1132160622) 
e(-835703886) -> e(1132160622) 
$r4(-835703886) -> $r4(1132160622) 
$r5(-835703886) -> $r5(1132160622) 
e(-835703886) -> e(1132160622) 
0(1132160622) -> 0(222242816) 
this(1132160622) -> this(222242816) 
source(1132160622) -> source(222242816) 
factory(1132160622) -> factory(222242816) 
e(1132160622) -> e(222242816) 
$r0(1132160622) -> $r0(222242816) 
parser(1132160622) -> parser(222242816) 
$r1(1132160622) -> $r1(222242816) 
$r2(1132160622) -> $r2(222242816) 
$r3(1132160622) -> $r3(222242816) 
e(1132160622) -> e(222242816) 
$r4(1132160622) -> $r4(222242816) 
$r5(1132160622) -> $r5(222242816) 
e(1132160622) -> e(222242816) 
0(1518461534) -> 0(87340990) 
this(1518461534) -> this(87340990) 
source(1518461534) -> source(87340990) 
factory(1518461534) -> factory(87340990) 
$r0(1518461534) -> $r0(87340990) 
parser(1518461534) -> parser(87340990) 
$r1(1518461534) -> e(87340990) 
$r1(1518461534) -> $r1(87340990) 
$r2(1518461534) -> $r2(87340990) 
$r3(1518461534) -> $r3(87340990) 
$r4(1518461534) -> $r4(87340990) 
$r5(1518461534) -> $r5(87340990) 
0(87340990) -> 0(1910794818) 
this(87340990) -> this(1910794818) 
source(87340990) -> source(1910794818) 
factory(87340990) -> factory(1910794818) 
e(87340990) -> e(1910794818) 
$r0(87340990) -> $r0(1910794818) 
parser(87340990) -> parser(1910794818) 
$r1(87340990) -> $r1(1910794818) 
$r3(87340990) -> $r3(1910794818) 
e(87340990) -> e(1910794818) 
$r4(87340990) -> $r4(1910794818) 
$r5(87340990) -> $r5(1910794818) 
e(87340990) -> e(1910794818) 
0(1910794818) -> 0(1258048888) 
this(1910794818) -> this(1258048888) 
source(1910794818) -> source(1258048888) 
factory(1910794818) -> factory(1258048888) 
e(1910794818) -> e(1258048888) 
$r0(1910794818) -> $r0(1258048888) 
parser(1910794818) -> parser(1258048888) 
$r1(1910794818) -> $r1(1258048888) 
$r2(1910794818) -> $r2(1258048888) 
$r3(1910794818) -> $r3(1258048888) 
e(1910794818) -> e(1258048888) 
$r4(1910794818) -> $r4(1258048888) 
$r5(1910794818) -> $r5(1258048888) 
e(1910794818) -> e(1258048888) 
0(222242816) -> 0(283054506) 
this(222242816) -> this(283054506) 
source(222242816) -> source(283054506) 
factory(222242816) -> factory(283054506) 
e(222242816) -> e(283054506) 
$r0(222242816) -> $r0(283054506) 
parser(222242816) -> parser(283054506) 
$r1(222242816) -> $r1(283054506) 
$r2(222242816) -> $r2(283054506) 
$r3(222242816) -> $r3(283054506) 
e(222242816) -> e(283054506) 
$r4(222242816) -> $r4(283054506) 
$r5(222242816) -> $r5(283054506) 
e(222242816) -> e(283054506) 
0(222242816) -> 0(760946379) 
this(222242816) -> this(760946379) 
source(222242816) -> source(760946379) 
factory(222242816) -> factory(760946379) 
e(222242816) -> e(760946379) 
$r0(222242816) -> $r0(760946379) 
parser(222242816) -> parser(760946379) 
$r1(222242816) -> $r1(760946379) 
$r2(222242816) -> $r2(760946379) 
$r3(222242816) -> $r3(760946379) 
e(222242816) -> e(760946379) 
$r4(222242816) -> $r4(760946379) 
$r5(222242816) -> $r5(760946379) 
e(222242816) -> e(760946379) 
0(760946379) -> 0(1884285616) 
this(760946379) -> this(1884285616) 
source(760946379) -> source(1884285616) 
factory(760946379) -> factory(1884285616) 
e(760946379) -> e(1884285616) 
$r0(760946379) -> $r0(1884285616) 
parser(760946379) -> parser(1884285616) 
$r1(760946379) -> $r1(1884285616) 
$r3(760946379) -> $r3(1884285616) 
e(760946379) -> e(1884285616) 
$r4(760946379) -> $r4(1884285616) 
$r5(760946379) -> $r5(1884285616) 
e(760946379) -> e(1884285616) 
0(1884285616) -> 0(247005803) 
this(1884285616) -> this(247005803) 
source(1884285616) -> source(247005803) 
factory(1884285616) -> factory(247005803) 
e(1884285616) -> e(247005803) 
$r0(1884285616) -> $r0(247005803) 
parser(1884285616) -> parser(247005803) 
$r1(1884285616) -> $r1(247005803) 
$r2(1884285616) -> $r2(247005803) 
$r3(1884285616) -> $r3(247005803) 
e(1884285616) -> e(247005803) 
$r4(1884285616) -> $r4(247005803) 
$r5(1884285616) -> $r5(247005803) 
e(1884285616) -> e(247005803) 
0(283054506) -> 0(620804237) 
this(283054506) -> this(620804237) 
source(283054506) -> source(620804237) 
factory(283054506) -> factory(620804237) 
e(283054506) -> e(620804237) 
$r0(283054506) -> $r0(620804237) 
parser(283054506) -> parser(620804237) 
$r1(283054506) -> $r1(620804237) 
$r2(283054506) -> $r2(620804237) 
$r3(283054506) -> $r3(620804237) 
e(283054506) -> e(620804237) 
$r4(283054506) -> $r4(620804237) 
$r5(283054506) -> $r5(620804237) 
e(283054506) -> e(620804237) 
0(620804237) -> 0(201575463) 
this(620804237) -> this(201575463) 
source(620804237) -> source(201575463) 
factory(620804237) -> factory(201575463) 
e(620804237) -> e(201575463) 
$r0(620804237) -> $r0(201575463) 
parser(620804237) -> parser(201575463) 
$r1(620804237) -> $r1(201575463) 
$r2(620804237) -> $r2(201575463) 
$r3(620804237) -> $r3(201575463) 
e(620804237) -> e(201575463) 
$r4(620804237) -> $r4(201575463) 
$r5(620804237) -> $r5(201575463) 
e(620804237) -> e(201575463) 
0(1381254133) -> 0(439989261) 
this(1381254133) -> this(439989261) 
source(1381254133) -> source(439989261) 
factory(1381254133) -> factory(439989261) 
$r0(1381254133) -> $r0(439989261) 
parser(1381254133) -> parser(439989261) 
$r1(1381254133) -> $r1(439989261) 
$r2(1381254133) -> $r2(439989261) 
$r3(1381254133) -> e(439989261) 
$r3(1381254133) -> $r3(439989261) 
$r4(1381254133) -> $r4(439989261) 
$r5(1381254133) -> $r5(439989261) 
0(439989261) -> 0(1293968334) 
this(439989261) -> this(1293968334) 
source(439989261) -> source(1293968334) 
factory(439989261) -> factory(1293968334) 
e(439989261) -> e(1293968334) 
$r0(439989261) -> $r0(1293968334) 
parser(439989261) -> parser(1293968334) 
$r1(439989261) -> $r1(1293968334) 
$r3(439989261) -> $r3(1293968334) 
e(439989261) -> e(1293968334) 
$r4(439989261) -> $r4(1293968334) 
$r5(439989261) -> $r5(1293968334) 
e(439989261) -> e(1293968334) 
0(1293968334) -> 0(158896369) 
this(1293968334) -> this(158896369) 
source(1293968334) -> source(158896369) 
factory(1293968334) -> factory(158896369) 
e(1293968334) -> e(158896369) 
$r0(1293968334) -> $r0(158896369) 
parser(1293968334) -> parser(158896369) 
$r1(1293968334) -> $r1(158896369) 
$r2(1293968334) -> $r2(158896369) 
$r3(1293968334) -> $r3(158896369) 
e(1293968334) -> e(158896369) 
$r4(1293968334) -> $r4(158896369) 
$r5(1293968334) -> $r5(158896369) 
e(1293968334) -> e(158896369) 
0(201575463) -> 0(1431787475) 
this(201575463) -> this(1431787475) 
source(201575463) -> source(1431787475) 
factory(201575463) -> factory(1431787475) 
e(201575463) -> e(1431787475) 
$r0(201575463) -> $r0(1431787475) 
parser(201575463) -> parser(1431787475) 
$r1(201575463) -> $r1(1431787475) 
$r2(201575463) -> $r2(1431787475) 
$r3(201575463) -> $r3(1431787475) 
e(201575463) -> e(1431787475) 
$r4(201575463) -> $r4(1431787475) 
$r5(201575463) -> $r5(1431787475) 
e(201575463) -> e(1431787475) 
0(1431787475) -> 0(1497827690) 
this(1431787475) -> this(1497827690) 
source(1431787475) -> source(1497827690) 
factory(1431787475) -> factory(1497827690) 
e(1431787475) -> e(1497827690) 
$r0(1431787475) -> $r0(1497827690) 
parser(1431787475) -> parser(1497827690) 
$r1(1431787475) -> $r1(1497827690) 
$r2(1431787475) -> $r2(1497827690) 
$r3(1431787475) -> $r3(1497827690) 
e(1431787475) -> e(1497827690) 
$r4(1431787475) -> $r4(1497827690) 
$r5(1431787475) -> $r5(1497827690) 
e(1431787475) -> e(1497827690) 
0(1497827690) -> 0(1798592592) 
this(1497827690) -> this(1798592592) 
source(1497827690) -> source(1798592592) 
factory(1497827690) -> factory(1798592592) 
e(1497827690) -> e(1798592592) 
$r0(1497827690) -> $r0(1798592592) 
parser(1497827690) -> parser(1798592592) 
$r1(1497827690) -> $r1(1798592592) 
$r2(1497827690) -> $r2(1798592592) 
$r3(1497827690) -> $r3(1798592592) 
e(1497827690) -> e(1798592592) 
$r4(1497827690) -> $r4(1798592592) 
$r5(1497827690) -> $r5(1798592592) 
e(1497827690) -> e(1798592592) 
0(1186675696) -> 0(777792983) 
this(1186675696) -> this(777792983) 
source(1186675696) -> source(777792983) 
factory(1186675696) -> factory(777792983) 
$r0(1186675696) -> $r0(777792983) 
parser(1186675696) -> parser(777792983) 
$r1(1186675696) -> $r1(777792983) 
$r2(1186675696) -> $r2(777792983) 
$r3(1186675696) -> $r3(777792983) 
$r4(1186675696) -> e(777792983) 
$r4(1186675696) -> $r4(777792983) 
$r5(1186675696) -> $r5(777792983) 
0(777792983) -> 0(1118304260) 
this(777792983) -> this(1118304260) 
source(777792983) -> source(1118304260) 
factory(777792983) -> factory(1118304260) 
e(777792983) -> e(1118304260) 
$r0(777792983) -> $r0(1118304260) 
parser(777792983) -> parser(1118304260) 
$r1(777792983) -> $r1(1118304260) 
$r3(777792983) -> $r3(1118304260) 
e(777792983) -> e(1118304260) 
$r4(777792983) -> $r4(1118304260) 
$r5(777792983) -> $r5(1118304260) 
e(777792983) -> e(1118304260) 
0(1118304260) -> 0(562819276) 
this(1118304260) -> this(562819276) 
source(1118304260) -> source(562819276) 
factory(1118304260) -> factory(562819276) 
e(1118304260) -> e(562819276) 
$r0(1118304260) -> $r0(562819276) 
parser(1118304260) -> parser(562819276) 
$r1(1118304260) -> $r1(562819276) 
$r2(1118304260) -> $r2(562819276) 
$r3(1118304260) -> $r3(562819276) 
e(1118304260) -> e(562819276) 
$r4(1118304260) -> $r4(562819276) 
$r5(1118304260) -> $r5(562819276) 
e(1118304260) -> e(562819276) 
0(1785590344) -> 0(1480428430) 
this(1785590344) -> this(1480428430) 
source(1785590344) -> source(1480428430) 
factory(1785590344) -> factory(1480428430) 
$r0(1785590344) -> $r0(1480428430) 
parser(1785590344) -> parser(1480428430) 
$r1(1785590344) -> $r1(1480428430) 
$r2(1785590344) -> $r2(1480428430) 
$r3(1785590344) -> $r3(1480428430) 
$r4(1785590344) -> $r4(1480428430) 
$r5(1785590344) -> e(1480428430) 
$r5(1785590344) -> $r5(1480428430) 
0(1480428430) -> 0(1797094190) 
this(1480428430) -> this(1797094190) 
source(1480428430) -> source(1797094190) 
factory(1480428430) -> factory(1797094190) 
e(1480428430) -> e(1797094190) 
$r0(1480428430) -> $r0(1797094190) 
parser(1480428430) -> parser(1797094190) 
$r1(1480428430) -> $r1(1797094190) 
$r3(1480428430) -> $r3(1797094190) 
e(1480428430) -> e(1797094190) 
$r4(1480428430) -> $r4(1797094190) 
$r5(1480428430) -> $r5(1797094190) 
e(1480428430) -> e(1797094190) 
0(1797094190) -> 0(1552039922) 
this(1797094190) -> this(1552039922) 
source(1797094190) -> source(1552039922) 
factory(1797094190) -> factory(1552039922) 
e(1797094190) -> e(1552039922) 
$r0(1797094190) -> $r0(1552039922) 
parser(1797094190) -> parser(1552039922) 
$r1(1797094190) -> $r1(1552039922) 
$r2(1797094190) -> $r2(1552039922) 
$r3(1797094190) -> $r3(1552039922) 
e(1797094190) -> e(1552039922) 
$r4(1797094190) -> $r4(1552039922) 
$r5(1797094190) -> $r5(1552039922) 
e(1797094190) -> e(1552039922) 
0(1798592592) -> 0(-1081037631) 
this(1798592592) -> this(-1081037631) 
source(1798592592) -> source(-1081037631) 
factory(1798592592) -> factory(-1081037631) 
e(1798592592) -> e(-1081037631) 
$r0(1798592592) -> $r0(-1081037631) 
parser(1798592592) -> parser(-1081037631) 
$r1(1798592592) -> $r1(-1081037631) 
$r2(1798592592) -> $r2(-1081037631) 
$r3(1798592592) -> $r3(-1081037631) 
e(1798592592) -> e(-1081037631) 
$r4(1798592592) -> $r4(-1081037631) 
$r5(1798592592) -> $r5(-1081037631) 
e(1798592592) -> e(-1081037631) 
0(1798592592) -> .return(-1081037631) 
