method: org.apache.fop.fonts.MultiByteFont.<init>:715159776
$r9(277950952) -> $r9(1375197450) 
$r10(277950952) -> $r10(1375197450) 
$r11(277950952) -> $r11(1375197450) 
0(1375197450) -> 0(1724533136) 
this(1375197450) -> this(1724533136) 
l1(1375197450) -> l1(1724533136) 
l2(1375197450) -> l2(1724533136) 
counterFormat(1375197450) -> counterFormat(1724533136) 
cntString(1375197450) -> cntString(1724533136) 
sb(1375197450) -> sb(1724533136) 
$r0(1375197450) -> $r0(1724533136) 
$r1(1375197450) -> $r1(1724533136) 
$r2(1375197450) -> $r2(1724533136) 
$r3(1375197450) -> $r3(1724533136) 
$r6(1375197450) -> $r6(1724533136) 
$r7(1375197450) -> $r7(1724533136) 
$r8(1375197450) -> $r8(1724533136) 
$r9(1375197450) -> $r9(1724533136) 
$r10(1375197450) -> $r10(1724533136) 
$r11(1375197450) -> $r11(1724533136) 
0(1724533136) -> 0(1853903423) 
this(1724533136) -> this(1853903423) 
l1(1724533136) -> l1(1853903423) 
l2(1724533136) -> l2(1853903423) 
counterFormat(1724533136) -> counterFormat(1853903423) 
cntString(1724533136) -> cntString(1853903423) 
sb(1724533136) -> sb(1853903423) 
$r0(1724533136) -> $r0(1853903423) 
$r1(1724533136) -> $r1(1853903423) 
$r2(1724533136) -> $r2(1853903423) 
$r6(1724533136) -> $r6(1853903423) 
$r7(1724533136) -> $r7(1853903423) 
$r8(1724533136) -> $r8(1853903423) 
$r9(1724533136) -> $r9(1853903423) 
$r10(1724533136) -> $r10(1853903423) 
$r11(1724533136) -> $r11(1853903423) 
0(1853903423) -> 0(1506102834) 
this(1853903423) -> this(1506102834) 
l1(1853903423) -> l1(1506102834) 
l2(1853903423) -> l2(1506102834) 
counterFormat(1853903423) -> counterFormat(1506102834) 
cntString(1853903423) -> cntString(1506102834) 
sb(1853903423) -> sb(1506102834) 
$r0(1853903423) -> $r0(1506102834) 
$r1(1853903423) -> $r1(1506102834) 
$r2(1853903423) -> $r2(1506102834) 
$r3(1853903423) -> $r3(1506102834) 
$r6(1853903423) -> $r6(1506102834) 
$r7(1853903423) -> $r7(1506102834) 
$r8(1853903423) -> $r8(1506102834) 
$r9(1853903423) -> $r9(1506102834) 
$r10(1853903423) -> $r10(1506102834) 
$r11(1853903423) -> $r11(1506102834) 
0(1506102834) -> 0(1143071631) 
this(1506102834) -> this(1143071631) 
l1(1506102834) -> l1(1143071631) 
l2(1506102834) -> l2(1143071631) 
counterFormat(1506102834) -> counterFormat(1143071631) 
cntString(1506102834) -> cntString(1143071631) 
sb(1506102834) -> sb(1143071631) 
$r0(1506102834) -> $r0(1143071631) 
$r1(1506102834) -> $r1(1143071631) 
$r2(1506102834) -> $r2(1143071631) 
$r3(1506102834) -> $r3(1143071631) 
$r6(1506102834) -> $r6(1143071631) 
$r7(1506102834) -> $r7(1143071631) 
$r8(1506102834) -> $r8(1143071631) 
$r9(1506102834) -> $r9(1143071631) 
$r10(1506102834) -> $r10(1143071631) 
$r11(1506102834) -> $r11(1143071631) 
0(1143071631) -> 0(216196155) 
this(1143071631) -> this(216196155) 
l1(1143071631) -> l1(216196155) 
l2(1143071631) -> l2(216196155) 
counterFormat(1143071631) -> counterFormat(216196155) 
cntString(1143071631) -> cntString(216196155) 
sb(1143071631) -> sb(216196155) 
$r0(1143071631) -> $r0(216196155) 
$r1(1143071631) -> $r1(216196155) 
$r2(1143071631) -> $r2(216196155) 
$r3(1143071631) -> $r3(216196155) 
$r6(1143071631) -> $r6(216196155) 
$r7(1143071631) -> $r7(216196155) 
$r8(1143071631) -> $r8(216196155) 
$r9(1143071631) -> $r9(216196155) 
$r10(1143071631) -> $r10(216196155) 
$r11(1143071631) -> $r11(216196155) 
0(216196155) -> 0(764723960) 
this(216196155) -> this(764723960) 
l1(216196155) -> l1(764723960) 
l2(216196155) -> l2(764723960) 
counterFormat(216196155) -> counterFormat(764723960) 
cntString(216196155) -> cntString(764723960) 
sb(216196155) -> sb(764723960) 
$r0(216196155) -> $r0(764723960) 
$r1(216196155) -> $r1(764723960) 
$r3(216196155) -> $r3(764723960) 
$r6(216196155) -> $r6(764723960) 
$r7(216196155) -> $r7(764723960) 
$r8(216196155) -> $r8(764723960) 
$r9(216196155) -> $r9(764723960) 
$r10(216196155) -> $r10(764723960) 
$r11(216196155) -> $r11(764723960) 
0(764723960) -> 0(25968425) 
this(764723960) -> this(25968425) 
l1(764723960) -> l1(25968425) 
l2(764723960) -> l2(25968425) 
counterFormat(764723960) -> counterFormat(25968425) 
cntString(764723960) -> cntString(25968425) 
sb(764723960) -> sb(25968425) 
$r0(764723960) -> $r0(25968425) 
$r1(764723960) -> $r1(25968425) 
$r2(764723960) -> $r2(25968425) 
$r3(764723960) -> $r3(25968425) 
$r6(764723960) -> $r6(25968425) 
$r7(764723960) -> $r7(25968425) 
$r8(764723960) -> $r8(25968425) 
$r9(764723960) -> $r9(25968425) 
$r10(764723960) -> $r10(25968425) 
$r11(764723960) -> $r11(25968425) 
0(25968425) -> 0(298548665) 
this(25968425) -> this(298548665) 
l1(25968425) -> l1(298548665) 
l2(25968425) -> l2(298548665) 
counterFormat(25968425) -> counterFormat(298548665) 
cntString(25968425) -> cntString(298548665) 
sb(25968425) -> sb(298548665) 
$r0(25968425) -> $r0(298548665) 
$r1(25968425) -> $r1(298548665) 
$r2(25968425) -> $r2(298548665) 
$r6(25968425) -> $r6(298548665) 
$r7(25968425) -> $r7(298548665) 
$r8(25968425) -> $r8(298548665) 
$r9(25968425) -> $r9(298548665) 
$r10(25968425) -> $r10(298548665) 
$r11(25968425) -> $r11(298548665) 
0(298548665) -> 0(680583849) 
this(298548665) -> this(680583849) 
l1(298548665) -> l1(680583849) 
l2(298548665) -> l2(680583849) 
counterFormat(298548665) -> counterFormat(680583849) 
cntString(298548665) -> cntString(680583849) 
sb(298548665) -> sb(680583849) 
$r0(298548665) -> $r0(680583849) 
$r1(298548665) -> $r1(680583849) 
$r2(298548665) -> $r2(680583849) 
$r3(298548665) -> $r3(680583849) 
$r6(298548665) -> $r6(680583849) 
$r7(298548665) -> $r7(680583849) 
$r8(298548665) -> $r8(680583849) 
$r9(298548665) -> $r9(680583849) 
$r10(298548665) -> $r10(680583849) 
$r11(298548665) -> $r11(680583849) 
0(680583849) -> 0(1041832741) 
this(680583849) -> this(1041832741) 
l1(680583849) -> l1(1041832741) 
l2(680583849) -> l2(1041832741) 
counterFormat(680583849) -> counterFormat(1041832741) 
cntString(680583849) -> cntString(1041832741) 
sb(680583849) -> sb(1041832741) 
$r0(680583849) -> $r0(1041832741) 
$r1(680583849) -> $r1(1041832741) 
$r2(680583849) -> $r2(1041832741) 
$r3(680583849) -> $r3(1041832741) 
$r6(680583849) -> $r6(1041832741) 
$r7(680583849) -> $r7(1041832741) 
$r8(680583849) -> $r8(1041832741) 
$r9(680583849) -> $r9(1041832741) 
$r10(680583849) -> $r10(1041832741) 
$r11(680583849) -> $r11(1041832741) 
0(1041832741) -> 0(786563531) 
this(1041832741) -> this(786563531) 
l1(1041832741) -> l1(786563531) 
l2(1041832741) -> l2(786563531) 
counterFormat(1041832741) -> counterFormat(786563531) 
cntString(1041832741) -> cntString(786563531) 
sb(1041832741) -> sb(786563531) 
$r0(1041832741) -> $r0(786563531) 
$r1(1041832741) -> $r1(786563531) 
$r2(1041832741) -> $r2(786563531) 
$r3(1041832741) -> $r3(786563531) 
$r6(1041832741) -> $r6(786563531) 
$r7(1041832741) -> $r7(786563531) 
$r8(1041832741) -> $r8(786563531) 
$r9(1041832741) -> $r9(786563531) 
$r10(1041832741) -> $r10(786563531) 
$r11(1041832741) -> $r11(786563531) 
0(786563531) -> 0(2011418232) 
this(786563531) -> this(2011418232) 
l1(786563531) -> l1(2011418232) 
l2(786563531) -> l2(2011418232) 
counterFormat(786563531) -> counterFormat(2011418232) 
cntString(786563531) -> cntString(2011418232) 
sb(786563531) -> sb(2011418232) 
$r0(786563531) -> $r0(2011418232) 
$r1(786563531) -> $r1(2011418232) 
$r2(786563531) -> $r2(2011418232) 
$r3(786563531) -> $r3(2011418232) 
$r6(786563531) -> $r6(2011418232) 
$r7(786563531) -> $r7(2011418232) 
$r8(786563531) -> $r8(2011418232) 
$r9(786563531) -> $r9(2011418232) 
$r10(786563531) -> $r10(2011418232) 
$r11(786563531) -> $r11(2011418232) 
0(2011418232) -> 0(575779033) 
this(2011418232) -> this(575779033) 
l1(2011418232) -> l1(575779033) 
l2(2011418232) -> l2(575779033) 
counterFormat(2011418232) -> counterFormat(575779033) 
cntString(2011418232) -> cntString(575779033) 
sb(2011418232) -> sb(575779033) 
$r0(2011418232) -> $r0(575779033) 
$r1(2011418232) -> $r1(575779033) 
$r2(2011418232) -> $r2(575779033) 
$r3(2011418232) -> $r3(575779033) 
$r6(2011418232) -> $r6(575779033) 
$r7(2011418232) -> $r7(575779033) 
$r8(2011418232) -> $r8(575779033) 
$r9(2011418232) -> $r9(575779033) 
$r10(2011418232) -> $r10(575779033) 
$r11(2011418232) -> $r11(575779033) 
0(575779033) -> 0(556894249) 
this(575779033) -> this(556894249) 
l1(575779033) -> l1(556894249) 
l2(575779033) -> l2(556894249) 
counterFormat(575779033) -> counterFormat(556894249) 
cntString(575779033) -> cntString(556894249) 
sb(575779033) -> sb(556894249) 
$r0(575779033) -> $r0(556894249) 
$r1(575779033) -> $r1(556894249) 
$r2(575779033) -> $r2(556894249) 
$r3(575779033) -> $r3(556894249) 
$r6(575779033) -> $r6(556894249) 
$r7(575779033) -> $r7(556894249) 
$r8(575779033) -> $r8(556894249) 
$r9(575779033) -> $r9(556894249) 
$r10(575779033) -> $r10(556894249) 
$r11(575779033) -> $r11(556894249) 
0(556894249) -> 0(953925251) 
this(556894249) -> this(953925251) 
l1(556894249) -> l1(953925251) 
l2(556894249) -> l2(953925251) 
counterFormat(556894249) -> counterFormat(953925251) 
cntString(556894249) -> cntString(953925251) 
sb(556894249) -> sb(953925251) 
$r0(556894249) -> $r0(953925251) 
$r1(556894249) -> $r1(953925251) 
$r3(556894249) -> $r3(953925251) 
$r6(556894249) -> $r6(953925251) 
$r7(556894249) -> $r7(953925251) 
$r8(556894249) -> $r8(953925251) 
$r9(556894249) -> $r9(953925251) 
$r10(556894249) -> $r10(953925251) 
$r11(556894249) -> $r11(953925251) 
0(953925251) -> 0(1656268702) 
this(953925251) -> this(1656268702) 
l1(953925251) -> l1(1656268702) 
l2(953925251) -> l2(1656268702) 
counterFormat(953925251) -> counterFormat(1656268702) 
cntString(953925251) -> cntString(1656268702) 
sb(953925251) -> sb(1656268702) 
$r0(953925251) -> $r0(1656268702) 
$r1(953925251) -> $r1(1656268702) 
$r2(953925251) -> $r2(1656268702) 
$r3(953925251) -> $r3(1656268702) 
$r6(953925251) -> $r6(1656268702) 
$r7(953925251) -> $r7(1656268702) 
$r8(953925251) -> $r8(1656268702) 
$r9(953925251) -> $r9(1656268702) 
$r10(953925251) -> $r10(1656268702) 
$r11(953925251) -> $r11(1656268702) 
0(1656268702) -> 0(464413684) 
this(1656268702) -> this(464413684) 
l1(1656268702) -> l1(464413684) 
l2(1656268702) -> l2(464413684) 
counterFormat(1656268702) -> counterFormat(464413684) 
cntString(1656268702) -> cntString(464413684) 
sb(1656268702) -> sb(464413684) 
$r0(1656268702) -> $r0(464413684) 
$r1(1656268702) -> $r1(464413684) 
$r2(1656268702) -> $r2(464413684) 
$r6(1656268702) -> $r6(464413684) 
$r7(1656268702) -> $r7(464413684) 
$r8(1656268702) -> $r8(464413684) 
$r9(1656268702) -> $r9(464413684) 
$r10(1656268702) -> $r10(464413684) 
$r11(1656268702) -> $r11(464413684) 
0(464413684) -> 0(1074846221) 
this(464413684) -> this(1074846221) 
l1(464413684) -> l1(1074846221) 
l2(464413684) -> l2(1074846221) 
counterFormat(464413684) -> counterFormat(1074846221) 
cntString(464413684) -> cntString(1074846221) 
sb(464413684) -> sb(1074846221) 
$r0(464413684) -> $r0(1074846221) 
$r1(464413684) -> $r1(1074846221) 
$r2(464413684) -> $r2(1074846221) 
$r3(464413684) -> $r3(1074846221) 
$r6(464413684) -> $r6(1074846221) 
$r7(464413684) -> $r7(1074846221) 
$r8(464413684) -> $r8(1074846221) 
$r9(464413684) -> $r9(1074846221) 
$r10(464413684) -> $r10(1074846221) 
$r11(464413684) -> $r11(1074846221) 
0(1074846221) -> 0(931267213) 
this(1074846221) -> this(931267213) 
l1(1074846221) -> l1(931267213) 
l2(1074846221) -> l2(931267213) 
counterFormat(1074846221) -> counterFormat(931267213) 
cntString(1074846221) -> cntString(931267213) 
sb(1074846221) -> sb(931267213) 
$r0(1074846221) -> $r0(931267213) 
$r1(1074846221) -> $r1(931267213) 
$r2(1074846221) -> $r2(931267213) 
$r3(1074846221) -> $r3(931267213) 
$r6(1074846221) -> $r6(931267213) 
$r7(1074846221) -> $r7(931267213) 
$r8(1074846221) -> $r8(931267213) 
$r9(1074846221) -> $r9(931267213) 
$r10(1074846221) -> $r10(931267213) 
$r11(1074846221) -> $r11(931267213) 
0(931267213) -> 0(947229555) 
this(931267213) -> this(947229555) 
l1(931267213) -> l1(947229555) 
l2(931267213) -> l2(947229555) 
counterFormat(931267213) -> counterFormat(947229555) 
cntString(931267213) -> cntString(947229555) 
sb(931267213) -> sb(947229555) 
$r0(931267213) -> $r0(947229555) 
$r1(931267213) -> $r1(947229555) 
$r2(931267213) -> $r2(947229555) 
$r3(931267213) -> $r3(947229555) 
$r6(931267213) -> $r6(947229555) 
$r7(931267213) -> $r7(947229555) 
$r8(931267213) -> $r8(947229555) 
$r9(931267213) -> $r9(947229555) 
$r10(931267213) -> $r10(947229555) 
$r11(931267213) -> $r11(947229555) 
0(947229555) -> 0(211383144) 
this(947229555) -> this(211383144) 
l1(947229555) -> l1(211383144) 
l2(947229555) -> l2(211383144) 
counterFormat(947229555) -> counterFormat(211383144) 
cntString(947229555) -> cntString(211383144) 
sb(947229555) -> sb(211383144) 
$r0(947229555) -> $r0(211383144) 
$r1(947229555) -> $r1(211383144) 
$r3(947229555) -> $r3(211383144) 
$r6(947229555) -> $r6(211383144) 
$r7(947229555) -> $r7(211383144) 
$r8(947229555) -> $r8(211383144) 
$r9(947229555) -> $r9(211383144) 
$r10(947229555) -> $r10(211383144) 
$r11(947229555) -> $r11(211383144) 
0(211383144) -> 0(778549070) 
this(211383144) -> this(778549070) 
l1(211383144) -> l1(778549070) 
l2(211383144) -> l2(778549070) 
counterFormat(211383144) -> counterFormat(778549070) 
cntString(211383144) -> cntString(778549070) 
sb(211383144) -> sb(778549070) 
$r0(211383144) -> $r0(778549070) 
$r1(211383144) -> $r1(778549070) 
$r2(211383144) -> $r2(778549070) 
$r3(211383144) -> $r3(778549070) 
$r6(211383144) -> $r6(778549070) 
$r7(211383144) -> $r7(778549070) 
$r8(211383144) -> $r8(778549070) 
$r9(211383144) -> $r9(778549070) 
$r10(211383144) -> $r10(778549070) 
$r11(211383144) -> $r11(778549070) 
0(778549070) -> 0(1894066570) 
this(778549070) -> this(1894066570) 
l1(778549070) -> l1(1894066570) 
l2(778549070) -> l2(1894066570) 
counterFormat(778549070) -> counterFormat(1894066570) 
cntString(778549070) -> cntString(1894066570) 
sb(778549070) -> sb(1894066570) 
$r0(778549070) -> $r0(1894066570) 
$r1(778549070) -> $r1(1894066570) 
$r2(778549070) -> $r2(1894066570) 
$r6(778549070) -> $r6(1894066570) 
$r7(778549070) -> $r7(1894066570) 
$r8(778549070) -> $r8(1894066570) 
$r9(778549070) -> $r9(1894066570) 
$r10(778549070) -> $r10(1894066570) 
$r11(778549070) -> $r11(1894066570) 
0(1894066570) -> 0(307997783) 
this(1894066570) -> this(307997783) 
l1(1894066570) -> l1(307997783) 
l2(1894066570) -> l2(307997783) 
counterFormat(1894066570) -> counterFormat(307997783) 
cntString(1894066570) -> cntString(307997783) 
sb(1894066570) -> sb(307997783) 
$r0(1894066570) -> $r0(307997783) 
$r1(1894066570) -> $r1(307997783) 
$r2(1894066570) -> $r2(307997783) 
$r3(1894066570) -> $r3(307997783) 
$r6(1894066570) -> $r6(307997783) 
$r7(1894066570) -> $r7(307997783) 
$r8(1894066570) -> $r8(307997783) 
$r9(1894066570) -> $r9(307997783) 
$r10(1894066570) -> $r10(307997783) 
$r11(1894066570) -> $r11(307997783) 
0(307997783) -> 0(2090882489) 
this(307997783) -> this(2090882489) 
l1(307997783) -> l1(2090882489) 
l2(307997783) -> l2(2090882489) 
counterFormat(307997783) -> counterFormat(2090882489) 
cntString(307997783) -> cntString(2090882489) 
sb(307997783) -> sb(2090882489) 
$r0(307997783) -> $r0(2090882489) 
$r1(307997783) -> $r1(2090882489) 
$r2(307997783) -> $r2(2090882489) 
$r3(307997783) -> $r3(2090882489) 
$r6(307997783) -> $r6(2090882489) 
$r7(307997783) -> $r7(2090882489) 
$r8(307997783) -> $r8(2090882489) 
$r9(307997783) -> $r9(2090882489) 
$r10(307997783) -> $r10(2090882489) 
$r11(307997783) -> $r11(2090882489) 
0(2090882489) -> 0(1869036882) 
this(2090882489) -> this(1869036882) 
l1(2090882489) -> l1(1869036882) 
l2(2090882489) -> l2(1869036882) 
counterFormat(2090882489) -> counterFormat(1869036882) 
cntString(2090882489) -> cntString(1869036882) 
sb(2090882489) -> sb(1869036882) 
$r0(2090882489) -> $r0(1869036882) 
$r1(2090882489) -> $r1(1869036882) 
$r2(2090882489) -> $r2(1869036882) 
$r3(2090882489) -> $r3(1869036882) 
$r6(2090882489) -> $r6(1869036882) 
$r7(2090882489) -> $r7(1869036882) 
$r8(2090882489) -> $r8(1869036882) 
$r9(2090882489) -> $r9(1869036882) 
$r10(2090882489) -> $r10(1869036882) 
$r11(2090882489) -> $r11(1869036882) 
0(1869036882) -> 0(1659571105) 
this(1869036882) -> this(1659571105) 
l1(1869036882) -> l1(1659571105) 
l2(1869036882) -> l2(1659571105) 
counterFormat(1869036882) -> counterFormat(1659571105) 
cntString(1869036882) -> cntString(1659571105) 
sb(1869036882) -> sb(1659571105) 
$r0(1869036882) -> $r0(1659571105) 
$r1(1869036882) -> $r1(1659571105) 
$r2(1869036882) -> $r2(1659571105) 
$r3(1869036882) -> $r3(1659571105) 
$r6(1869036882) -> $r6(1659571105) 
$r7(1869036882) -> $r7(1659571105) 
$r8(1869036882) -> $r8(1659571105) 
$r9(1869036882) -> $r9(1659571105) 
$r10(1869036882) -> $r10(1659571105) 
$r11(1869036882) -> $r11(1659571105) 
0(1659571105) -> 0(897670281) 
this(1659571105) -> this(897670281) 
l1(1659571105) -> l1(897670281) 
l2(1659571105) -> l2(897670281) 
counterFormat(1659571105) -> counterFormat(897670281) 
cntString(1659571105) -> cntString(897670281) 
sb(1659571105) -> sb(897670281) 
$r0(1659571105) -> $r0(897670281) 
$r1(1659571105) -> $r1(897670281) 
$r2(1659571105) -> $r2(897670281) 
$r3(1659571105) -> $r3(897670281) 
$r6(1659571105) -> $r6(897670281) 
$r7(1659571105) -> $r7(897670281) 
$r8(1659571105) -> $r8(897670281) 
$r9(1659571105) -> $r9(897670281) 
$r10(1659571105) -> $r10(897670281) 
$r11(1659571105) -> $r11(897670281) 
0(897670281) -> 0(1071792592) 
this(897670281) -> this(1071792592) 
l1(897670281) -> l1(1071792592) 
l2(897670281) -> l2(1071792592) 
counterFormat(897670281) -> counterFormat(1071792592) 
cntString(897670281) -> cntString(1071792592) 
sb(897670281) -> sb(1071792592) 
$r0(897670281) -> $r0(1071792592) 
$r1(897670281) -> $r1(1071792592) 
$r2(897670281) -> $r2(1071792592) 
$r3(897670281) -> $r3(1071792592) 
$r6(897670281) -> $r6(1071792592) 
$r7(897670281) -> $r7(1071792592) 
$r8(897670281) -> $r8(1071792592) 
$r9(897670281) -> $r9(1071792592) 
$r10(897670281) -> $r10(1071792592) 
$r11(897670281) -> $r11(1071792592) 
