method: org.apache.fop.fo.properties.CommonFont.getInstance:1271103604
pList(2023268734) -> pList(1376981501) 
fontFamily(2023268734) -> fontFamily(1376981501) 
fontSelectionStrategy(2023268734) -> fontSelectionStrategy(1376981501) 
fontStretch(2023268734) -> fontStretch(1376981501) 
fontStyle(2023268734) -> fontStyle(1376981501) 
fontWeight(2023268734) -> fontWeight(1376981501) 
cachedCommonFont(2023268734) -> cachedCommonFont(1376981501) 
fontSizeAdjust(2023268734) -> fontSizeAdjust(1376981501) 
fontSize(2023268734) -> fontSize(1376981501) 
cf(2023268734) -> cf(1376981501) 
$r0(2023268734) -> fontVariant(1376981501) 
$r0(2023268734) -> $r0(1376981501) 
$r1(2023268734) -> $r1(1376981501) 
$r2(2023268734) -> $r2(1376981501) 
0(1376981501) -> 0(-1376981501) 
pList(1376981501) -> pList(-1376981501) 
fontFamily(1376981501) -> fontFamily(-1376981501) 
fontSelectionStrategy(1376981501) -> fontSelectionStrategy(-1376981501) 
fontStretch(1376981501) -> fontStretch(-1376981501) 
fontStyle(1376981501) -> fontStyle(-1376981501) 
fontVariant(1376981501) -> fontVariant(-1376981501) 
fontWeight(1376981501) -> fontWeight(-1376981501) 
cachedCommonFont(1376981501) -> cachedCommonFont(-1376981501) 
fontSizeAdjust(1376981501) -> fontSizeAdjust(-1376981501) 
fontSize(1376981501) -> fontSize(-1376981501) 
cf(1376981501) -> cf(-1376981501) 
$r1(1376981501) -> $r1(-1376981501) 
$r2(1376981501) -> $r2(-1376981501) 
0(-1376981501) -> 0(2052129049) 
pList(-1376981501) -> pList(2052129049) 
fontFamily(-1376981501) -> fontFamily(2052129049) 
fontSelectionStrategy(-1376981501) -> fontSelectionStrategy(2052129049) 
fontStretch(-1376981501) -> fontStretch(2052129049) 
fontStyle(-1376981501) -> fontStyle(2052129049) 
fontVariant(-1376981501) -> fontVariant(2052129049) 
fontWeight(-1376981501) -> fontWeight(2052129049) 
cachedCommonFont(-1376981501) -> cachedCommonFont(2052129049) 
fontSizeAdjust(-1376981501) -> fontSizeAdjust(2052129049) 
fontSize(-1376981501) -> fontSize(2052129049) 
cf(-1376981501) -> cf(2052129049) 
$r0(-1376981501) -> $r0(2052129049) 
$r1(-1376981501) -> $r1(2052129049) 
$r2(-1376981501) -> $r2(2052129049) 
0(2052129049) -> 0(1775190787) 
pList(2052129049) -> pList(1775190787) 
fontFamily(2052129049) -> fontFamily(1775190787) 
fontSelectionStrategy(2052129049) -> fontSelectionStrategy(1775190787) 
fontStretch(2052129049) -> fontStretch(1775190787) 
fontStyle(2052129049) -> fontStyle(1775190787) 
fontVariant(2052129049) -> fontVariant(1775190787) 
cachedCommonFont(2052129049) -> cachedCommonFont(1775190787) 
fontSizeAdjust(2052129049) -> fontSizeAdjust(1775190787) 
fontSize(2052129049) -> fontSize(1775190787) 
cf(2052129049) -> cf(1775190787) 
$r0(2052129049) -> fontWeight(1775190787) 
$r0(2052129049) -> $r0(1775190787) 
$r1(2052129049) -> $r1(1775190787) 
$r2(2052129049) -> $r2(1775190787) 
0(1775190787) -> 0(-1775190787) 
pList(1775190787) -> pList(-1775190787) 
fontFamily(1775190787) -> fontFamily(-1775190787) 
fontSelectionStrategy(1775190787) -> fontSelectionStrategy(-1775190787) 
fontStretch(1775190787) -> fontStretch(-1775190787) 
fontStyle(1775190787) -> fontStyle(-1775190787) 
fontVariant(1775190787) -> fontVariant(-1775190787) 
fontWeight(1775190787) -> fontWeight(-1775190787) 
fontSizeAdjust(1775190787) -> fontSizeAdjust(-1775190787) 
fontSize(1775190787) -> fontSize(-1775190787) 
cf(1775190787) -> cf(-1775190787) 
$r0(1775190787) -> $r0(-1775190787) 
$r1(1775190787) -> $r1(-1775190787) 
$r2(1775190787) -> $r2(-1775190787) 
0(-1775190787) -> 0(1221466369) 
pList(-1775190787) -> pList(1221466369) 
fontFamily(-1775190787) -> fontFamily(1221466369) 
fontSelectionStrategy(-1775190787) -> fontSelectionStrategy(1221466369) 
fontStretch(-1775190787) -> fontStretch(1221466369) 
fontStyle(-1775190787) -> fontStyle(1221466369) 
fontVariant(-1775190787) -> fontVariant(1221466369) 
fontWeight(-1775190787) -> fontWeight(1221466369) 
cachedCommonFont(-1775190787) -> cachedCommonFont(1221466369) 
fontSizeAdjust(-1775190787) -> fontSizeAdjust(1221466369) 
fontSize(-1775190787) -> fontSize(1221466369) 
cf(-1775190787) -> cf(1221466369) 
$r0(-1775190787) -> $r0(1221466369) 
$r1(-1775190787) -> $r1(1221466369) 
$r2(-1775190787) -> $r2(1221466369) 
0(1221466369) -> 0(-1221466369) 
pList(1221466369) -> pList(-1221466369) 
fontFamily(1221466369) -> fontFamily(-1221466369) 
fontSelectionStrategy(1221466369) -> fontSelectionStrategy(-1221466369) 
fontStretch(1221466369) -> fontStretch(-1221466369) 
fontStyle(1221466369) -> fontStyle(-1221466369) 
fontVariant(1221466369) -> fontVariant(-1221466369) 
fontWeight(1221466369) -> fontWeight(-1221466369) 
cachedCommonFont(1221466369) -> cachedCommonFont(-1221466369) 
fontSizeAdjust(1221466369) -> fontSizeAdjust(-1221466369) 
fontSize(1221466369) -> fontSize(-1221466369) 
cf(1221466369) -> cf(-1221466369) 
$r1(1221466369) -> $r1(-1221466369) 
$r2(1221466369) -> $r2(-1221466369) 
0(-1221466369) -> 0(1008296233) 
pList(-1221466369) -> pList(1008296233) 
fontFamily(-1221466369) -> fontFamily(1008296233) 
fontSelectionStrategy(-1221466369) -> fontSelectionStrategy(1008296233) 
fontStretch(-1221466369) -> fontStretch(1008296233) 
fontStyle(-1221466369) -> fontStyle(1008296233) 
fontVariant(-1221466369) -> fontVariant(1008296233) 
fontWeight(-1221466369) -> fontWeight(1008296233) 
cachedCommonFont(-1221466369) -> cachedCommonFont(1008296233) 
fontSizeAdjust(-1221466369) -> fontSizeAdjust(1008296233) 
fontSize(-1221466369) -> fontSize(1008296233) 
cf(-1221466369) -> cf(1008296233) 
$r0(-1221466369) -> $r0(1008296233) 
$r1(-1221466369) -> $r1(1008296233) 
$r2(-1221466369) -> $r2(1008296233) 
0(1008296233) -> 0(-1008296233) 
pList(1008296233) -> pList(-1008296233) 
fontFamily(1008296233) -> fontFamily(-1008296233) 
fontSelectionStrategy(1008296233) -> fontSelectionStrategy(-1008296233) 
fontStretch(1008296233) -> fontStretch(-1008296233) 
fontStyle(1008296233) -> fontStyle(-1008296233) 
fontVariant(1008296233) -> fontVariant(-1008296233) 
fontWeight(1008296233) -> fontWeight(-1008296233) 
cachedCommonFont(1008296233) -> cachedCommonFont(-1008296233) 
fontSize(1008296233) -> fontSize(-1008296233) 
cf(1008296233) -> cf(-1008296233) 
$r0(1008296233) -> $r0(-1008296233) 
$r1(1008296233) -> $r1(-1008296233) 
$r2(1008296233) -> $r2(-1008296233) 
0(-1008296233) -> 0(8597009) 
pList(-1008296233) -> pList(8597009) 
fontFamily(-1008296233) -> fontFamily(8597009) 
fontSelectionStrategy(-1008296233) -> fontSelectionStrategy(8597009) 
fontStretch(-1008296233) -> fontStretch(8597009) 
fontStyle(-1008296233) -> fontStyle(8597009) 
fontVariant(-1008296233) -> fontVariant(8597009) 
fontWeight(-1008296233) -> fontWeight(8597009) 
cachedCommonFont(-1008296233) -> cachedCommonFont(8597009) 
fontSizeAdjust(-1008296233) -> fontSizeAdjust(8597009) 
fontSize(-1008296233) -> fontSize(8597009) 
cf(-1008296233) -> cf(8597009) 
$r0(-1008296233) -> $r0(8597009) 
$r1(-1008296233) -> $r1(8597009) 
$r2(-1008296233) -> $r2(8597009) 
0(8597009) -> 0(-8597009) 
pList(8597009) -> pList(-8597009) 
fontFamily(8597009) -> fontFamily(-8597009) 
fontSelectionStrategy(8597009) -> fontSelectionStrategy(-8597009) 
fontStretch(8597009) -> fontStretch(-8597009) 
