method: org.apache.fop.fonts.FontTriplet.getKey:1602074610
$r0(-21053549) -> $r0(575576662) 
$r1(-21053549) -> $r1(575576662) 
$r2(-21053549) -> $r2(575576662) 
$r3(-21053549) -> $r3(575576662) 
0(575576662) -> 0(-575576662) 
this(575576662) -> this(-575576662) 
$r0(575576662) -> $r0(-575576662) 
$r1(575576662) -> $r1(-575576662) 
$r3(575576662) -> $r3(-575576662) 
0(-575576662) -> 0(1450612146) 
this(-575576662) -> this(1450612146) 
$r0(-575576662) -> $r0(1450612146) 
$r1(-575576662) -> $r1(1450612146) 
$r2(-575576662) -> $r2(1450612146) 
$r3(-575576662) -> $r3(1450612146) 
0(1450612146) -> 0(-1450612146) 
this(1450612146) -> this(-1450612146) 
$r1(1450612146) -> $r1(-1450612146) 
$r2(1450612146) -> $r2(-1450612146) 
$r3(1450612146) -> $r3(-1450612146) 
0(-1450612146) -> 0(297322843) 
this(-1450612146) -> this(297322843) 
$r0(-1450612146) -> $r0(297322843) 
$r1(-1450612146) -> $r1(297322843) 
$r2(-1450612146) -> $r2(297322843) 
$r3(-1450612146) -> $r3(297322843) 
0(297322843) -> 0(-297322843) 
this(297322843) -> this(-297322843) 
$r1(297322843) -> $r1(-297322843) 
$r2(297322843) -> $r2(-297322843) 
$r3(297322843) -> $r3(-297322843) 
0(-297322843) -> 0(284880624) 
this(-297322843) -> this(284880624) 
$r0(-297322843) -> $r0(284880624) 
$r1(-297322843) -> $r1(284880624) 
$r2(-297322843) -> $r2(284880624) 
$r3(-297322843) -> $r3(284880624) 
0(284880624) -> 0(-284880624) 
this(284880624) -> this(-284880624) 
$r0(284880624) -> $r0(-284880624) 
$r1(284880624) -> $r1(-284880624) 
$r2(284880624) -> $r2(-284880624) 
$r3(284880624) -> $r3(-284880624) 
0(-284880624) -> 0(1247598405) 
this(-284880624) -> this(1247598405) 
$r0(-284880624) -> $r0(1247598405) 
$r1(-284880624) -> $r1(1247598405) 
$r2(-284880624) -> $r2(1247598405) 
$r3(-284880624) -> $r3(1247598405) 
0(1247598405) -> 0(-1247598405) 
this(1247598405) -> this(-1247598405) 
$r1(1247598405) -> $r1(-1247598405) 
$r2(1247598405) -> $r2(-1247598405) 
$r3(1247598405) -> $r3(-1247598405) 
0(-1247598405) -> 0(356063527) 
this(-1247598405) -> this(356063527) 
$r0(-1247598405) -> $r0(356063527) 
$r1(-1247598405) -> $r1(356063527) 
$r2(-1247598405) -> $r2(356063527) 
$r3(-1247598405) -> $r3(356063527) 
0(356063527) -> 0(-356063527) 
this(356063527) -> this(-356063527) 
$r0(356063527) -> $r0(-356063527) 
$r1(356063527) -> $r1(-356063527) 
$r2(356063527) -> $r2(-356063527) 
0(-356063527) -> 0(1470257747) 
this(-356063527) -> this(1470257747) 
$r0(-356063527) -> $r0(1470257747) 
$r1(-356063527) -> $r1(1470257747) 
$r2(-356063527) -> $r2(1470257747) 
$r3(-356063527) -> $r3(1470257747) 
0(1470257747) -> 0(87477559) 
this(1470257747) -> this(87477559) 
$r0(1470257747) -> $r0(87477559) 
$r1(1470257747) -> $r1(87477559) 
$r2(1470257747) -> $r2(87477559) 
$r3(1470257747) -> $r3(87477559) 
0(87477559) -> 0(1356519565) 
this(87477559) -> this(1356519565) 
$r0(87477559) -> $r0(1356519565) 
$r1(87477559) -> $r1(1356519565) 
$r2(87477559) -> $r2(1356519565) 
$r3(87477559) -> $r3(1356519565) 
0(1356519565) -> 0(-1602074610) 
this(1356519565) -> this(-1602074610) 
$r0(1356519565) -> $r0(-1602074610) 
$r1(1356519565) -> $r1(-1602074610) 
$r2(1356519565) -> $r2(-1602074610) 
$r3(1356519565) -> $r3(-1602074610) 
$r1(1356519565) -> .return(-1602074610) 
