method: org.apache.fop.layoutmgr.BlockStackingLayoutManager.addKnuthElementsForSpaceBefore:2036558785
spaceBefore(191572200) -> spaceBefore(1942638069) 
$r0(191572200) -> $r0(1942638069) 
$r1(191572200) -> $r1(1942638069) 
$r2(191572200) -> $r2(1942638069) 
$r4(191572200) -> $r4(1942638069) 
0(1942638069) -> 0(-1942638069) 
this(1942638069) -> this(-1942638069) 
returnList(1942638069) -> returnList(-1942638069) 
spaceBefore(1942638069) -> spaceBefore(-1942638069) 
$r0(1942638069) -> $r0(-1942638069) 
$r1(1942638069) -> $r1(-1942638069) 
$r2(1942638069) -> $r2(-1942638069) 
$r3(1942638069) -> $r3(-1942638069) 
0(-1942638069) -> 0(1629879023) 
this(-1942638069) -> this(1629879023) 
returnList(-1942638069) -> returnList(1629879023) 
spaceBefore(-1942638069) -> spaceBefore(1629879023) 
$r0(-1942638069) -> $r0(1629879023) 
$r1(-1942638069) -> $r1(1629879023) 
$r2(-1942638069) -> $r2(1629879023) 
$r3(-1942638069) -> $r3(1629879023) 
$r4(-1942638069) -> $r4(1629879023) 
0(1629879023) -> 0(1971846618) 
this(1629879023) -> this(1971846618) 
returnList(1629879023) -> returnList(1971846618) 
spaceBefore(1629879023) -> spaceBefore(1971846618) 
$r0(1629879023) -> $r0(1971846618) 
$r1(1629879023) -> $r1(1971846618) 
$r2(1629879023) -> $r2(1971846618) 
$r3(1629879023) -> $r3(1971846618) 
$r4(1629879023) -> $r4(1971846618) 
0(1971846618) -> 0(415486722) 
this(1971846618) -> this(415486722) 
returnList(1971846618) -> returnList(415486722) 
spaceBefore(1971846618) -> spaceBefore(415486722) 
$r0(1971846618) -> $r0(415486722) 
$r1(1971846618) -> $r1(415486722) 
$r2(1971846618) -> $r2(415486722) 
$r3(1971846618) -> $r3(415486722) 
$r4(1971846618) -> $r4(415486722) 
0(415486722) -> 0(242830161) 
this(415486722) -> this(242830161) 
returnList(415486722) -> returnList(242830161) 
spaceBefore(415486722) -> spaceBefore(242830161) 
$r0(415486722) -> $r0(242830161) 
$r1(415486722) -> $r1(242830161) 
$r2(415486722) -> $r2(242830161) 
$r3(415486722) -> $r3(242830161) 
$r4(415486722) -> $r4(242830161) 
0(242830161) -> 0(-2036558785) 
this(242830161) -> this(-2036558785) 
returnList(242830161) -> returnList(-2036558785) 
spaceBefore(242830161) -> spaceBefore(-2036558785) 
$r0(242830161) -> $r0(-2036558785) 
$r1(242830161) -> $r1(-2036558785) 
$r2(242830161) -> $r2(-2036558785) 
$r3(242830161) -> $r3(-2036558785) 
$r4(242830161) -> $r4(-2036558785) 
0(242830161) -> .return(-2036558785) 
