method: org.apache.fop.fonts.FontCache.addFont:1358040509
$r5(907640537) -> $r5(-907640537) 
$r6(907640537) -> $r6(-907640537) 
0(-907640537) -> 0(1138160718) 
this(-907640537) -> this(1138160718) 
fontInfo(-907640537) -> fontInfo(1138160718) 
cacheKey(-907640537) -> cacheKey(1138160718) 
l3(-907640537) -> l3(1138160718) 
l4(-907640537) -> l4(1138160718) 
$r0(-907640537) -> $r0(1138160718) 
$r1(-907640537) -> $r1(1138160718) 
$r2(-907640537) -> $r2(1138160718) 
$r3(-907640537) -> $r3(1138160718) 
$r4(-907640537) -> $r4(1138160718) 
$r5(-907640537) -> $r5(1138160718) 
$r6(-907640537) -> $r6(1138160718) 
0(1138160718) -> 0(2091258900) 
this(1138160718) -> this(2091258900) 
fontInfo(1138160718) -> fontInfo(2091258900) 
cacheKey(1138160718) -> cacheKey(2091258900) 
l3(1138160718) -> l3(2091258900) 
l4(1138160718) -> l4(2091258900) 
$r0(1138160718) -> $r0(2091258900) 
$r1(1138160718) -> $r1(2091258900) 
$r2(1138160718) -> $r2(2091258900) 
$r3(1138160718) -> $r3(2091258900) 
$r4(1138160718) -> $r4(2091258900) 
$r5(1138160718) -> $r5(2091258900) 
$r6(1138160718) -> $r6(2091258900) 
0(1138160718) -> 0(1430343597) 
this(1138160718) -> this(1430343597) 
fontInfo(1138160718) -> fontInfo(1430343597) 
cacheKey(1138160718) -> cacheKey(1430343597) 
l3(1138160718) -> l3(1430343597) 
l4(1138160718) -> l4(1430343597) 
$r0(1138160718) -> $r0(1430343597) 
$r1(1138160718) -> $r1(1430343597) 
$r2(1138160718) -> $r2(1430343597) 
$r3(1138160718) -> $r3(1430343597) 
$r4(1138160718) -> $r4(1430343597) 
$r5(1138160718) -> $r5(1430343597) 
$r6(1138160718) -> $r6(1430343597) 
0(1430343597) -> 0(852890261) 
this(1430343597) -> this(852890261) 
fontInfo(1430343597) -> fontInfo(852890261) 
cacheKey(1430343597) -> cacheKey(852890261) 
l3(1430343597) -> l3(852890261) 
l4(1430343597) -> l4(852890261) 
$r0(1430343597) -> $r0(852890261) 
$r1(1430343597) -> $r1(852890261) 
$r2(1430343597) -> $r2(852890261) 
$r3(1430343597) -> $r3(852890261) 
$r4(1430343597) -> $r4(852890261) 
$r5(1430343597) -> $r5(852890261) 
$r6(1430343597) -> $r6(852890261) 
0(852890261) -> 0(989534183) 
this(852890261) -> this(989534183) 
fontInfo(852890261) -> fontInfo(989534183) 
cacheKey(852890261) -> cacheKey(989534183) 
l3(852890261) -> l3(989534183) 
l4(852890261) -> l4(989534183) 
$r0(852890261) -> $r0(989534183) 
$r1(852890261) -> $r1(989534183) 
$r3(852890261) -> $r3(989534183) 
$r4(852890261) -> $r4(989534183) 
$r5(852890261) -> $r5(989534183) 
$r6(852890261) -> $r6(989534183) 
0(989534183) -> 0(1554509928) 
this(989534183) -> this(1554509928) 
fontInfo(989534183) -> fontInfo(1554509928) 
cacheKey(989534183) -> cacheKey(1554509928) 
l3(989534183) -> l3(1554509928) 
l4(989534183) -> l4(1554509928) 
$r0(989534183) -> $r0(1554509928) 
$r1(989534183) -> $r1(1554509928) 
$r2(989534183) -> $r2(1554509928) 
$r3(989534183) -> $r3(1554509928) 
$r4(989534183) -> $r4(1554509928) 
$r5(989534183) -> $r5(1554509928) 
$r6(989534183) -> $r6(1554509928) 
0(1554509928) -> 0(-1554509928) 
this(1554509928) -> this(-1554509928) 
fontInfo(1554509928) -> fontInfo(-1554509928) 
cacheKey(1554509928) -> cacheKey(-1554509928) 
l3(1554509928) -> l3(-1554509928) 
l4(1554509928) -> l4(-1554509928) 
$r0(1554509928) -> $r0(-1554509928) 
$r1(1554509928) -> $r1(-1554509928) 
$r3(1554509928) -> $r3(-1554509928) 
$r4(1554509928) -> $r4(-1554509928) 
$r5(1554509928) -> $r5(-1554509928) 
$r6(1554509928) -> $r6(-1554509928) 
0(-1554509928) -> 0(1236333413) 
this(-1554509928) -> this(1236333413) 
fontInfo(-1554509928) -> fontInfo(1236333413) 
cacheKey(-1554509928) -> cacheKey(1236333413) 
l3(-1554509928) -> l3(1236333413) 
l4(-1554509928) -> l4(1236333413) 
$r0(-1554509928) -> $r0(1236333413) 
$r1(-1554509928) -> $r1(1236333413) 
$r2(-1554509928) -> $r2(1236333413) 
$r3(-1554509928) -> $r3(1236333413) 
$r4(-1554509928) -> $r4(1236333413) 
$r5(-1554509928) -> $r5(1236333413) 
$r6(-1554509928) -> $r6(1236333413) 
0(1236333413) -> 0(-1236333413) 
this(1236333413) -> this(-1236333413) 
fontInfo(1236333413) -> fontInfo(-1236333413) 
cacheKey(1236333413) -> cacheKey(-1236333413) 
l3(1236333413) -> l3(-1236333413) 
l4(1236333413) -> l4(-1236333413) 
$r0(1236333413) -> $r0(-1236333413) 
$r1(1236333413) -> $r1(-1236333413) 
$r3(1236333413) -> $r3(-1236333413) 
$r4(1236333413) -> $r4(-1236333413) 
$r5(1236333413) -> $r5(-1236333413) 
$r6(1236333413) -> $r6(-1236333413) 
0(-1236333413) -> 0(3903919) 
this(-1236333413) -> this(3903919) 
fontInfo(-1236333413) -> fontInfo(3903919) 
cacheKey(-1236333413) -> cacheKey(3903919) 
l3(-1236333413) -> l3(3903919) 
l4(-1236333413) -> l4(3903919) 
$r0(-1236333413) -> $r0(3903919) 
$r1(-1236333413) -> $r1(3903919) 
$r2(-1236333413) -> $r2(3903919) 
$r3(-1236333413) -> $r3(3903919) 
$r4(-1236333413) -> $r4(3903919) 
$r5(-1236333413) -> $r5(3903919) 
$r6(-1236333413) -> $r6(3903919) 
0(3903919) -> 0(-3903919) 
this(3903919) -> this(-3903919) 
fontInfo(3903919) -> fontInfo(-3903919) 
cacheKey(3903919) -> cacheKey(-3903919) 
l3(3903919) -> l3(-3903919) 
l4(3903919) -> l4(-3903919) 
$r0(3903919) -> $r0(-3903919) 
$r1(3903919) -> $r1(-3903919) 
$r2(3903919) -> $r2(-3903919) 
$r4(3903919) -> $r4(-3903919) 
$r5(3903919) -> $r5(-3903919) 
$r6(3903919) -> $r6(-3903919) 
0(-3903919) -> 0(1188657223) 
this(-3903919) -> this(1188657223) 
fontInfo(-3903919) -> fontInfo(1188657223) 
cacheKey(-3903919) -> cacheKey(1188657223) 
l3(-3903919) -> l3(1188657223) 
l4(-3903919) -> l4(1188657223) 
$r0(-3903919) -> $r0(1188657223) 
$r1(-3903919) -> $r1(1188657223) 
$r2(-3903919) -> $r2(1188657223) 
$r3(-3903919) -> $r3(1188657223) 
$r4(-3903919) -> $r4(1188657223) 
$r5(-3903919) -> $r5(1188657223) 
$r6(-3903919) -> $r6(1188657223) 
0(1188657223) -> 0(2091258900) 
this(1188657223) -> this(2091258900) 
fontInfo(1188657223) -> fontInfo(2091258900) 
cacheKey(1188657223) -> cacheKey(2091258900) 
l3(1188657223) -> l3(2091258900) 
l4(1188657223) -> l4(2091258900) 
$r0(1188657223) -> $r0(2091258900) 
$r1(1188657223) -> $r1(2091258900) 
$r2(1188657223) -> $r2(2091258900) 
$r3(1188657223) -> $r3(2091258900) 
$r4(1188657223) -> $r4(2091258900) 
$r5(1188657223) -> $r5(2091258900) 
$r6(1188657223) -> $r6(2091258900) 
0(2091258900) -> 0(2070965498) 
this(2091258900) -> this(2070965498) 
fontInfo(2091258900) -> fontInfo(2070965498) 
cacheKey(2091258900) -> cacheKey(2070965498) 
l3(2091258900) -> l3(2070965498) 
l4(2091258900) -> l4(2070965498) 
$r0(2091258900) -> $r0(2070965498) 
$r1(2091258900) -> $r1(2070965498) 
$r2(2091258900) -> $r2(2070965498) 
$r3(2091258900) -> $r3(2070965498) 
$r4(2091258900) -> $r4(2070965498) 
$r5(2091258900) -> $r5(2070965498) 
$r6(2091258900) -> $r6(2070965498) 
0(2070965498) -> 0(865499561) 
this(2070965498) -> this(865499561) 
fontInfo(2070965498) -> fontInfo(865499561) 
cacheKey(2070965498) -> cacheKey(865499561) 
l3(2070965498) -> l3(865499561) 
l4(2070965498) -> l4(865499561) 
$r0(2070965498) -> $r0(865499561) 
$r1(2070965498) -> $r1(865499561) 
$r2(2070965498) -> $r2(865499561) 
$r3(2070965498) -> $r3(865499561) 
$r4(2070965498) -> $r4(865499561) 
$r5(2070965498) -> $r5(865499561) 
$r6(2070965498) -> $r6(865499561) 
0(2070965498) -> 0(1992286662) 
this(2070965498) -> this(1992286662) 
fontInfo(2070965498) -> fontInfo(1992286662) 
cacheKey(2070965498) -> cacheKey(1992286662) 
l3(2070965498) -> l3(1992286662) 
l4(2070965498) -> l4(1992286662) 
$r0(2070965498) -> $r0(1992286662) 
$r1(2070965498) -> $r1(1992286662) 
$r2(2070965498) -> $r2(1992286662) 
$r3(2070965498) -> $r3(1992286662) 
$r4(2070965498) -> $r4(1992286662) 
$r5(2070965498) -> $r5(1992286662) 
$r6(2070965498) -> $r6(1992286662) 
0(1992286662) -> 0(653860566) 
this(1992286662) -> this(653860566) 
fontInfo(1992286662) -> fontInfo(653860566) 
cacheKey(1992286662) -> cacheKey(653860566) 
l3(1992286662) -> l3(653860566) 
l4(1992286662) -> l4(653860566) 
$r0(1992286662) -> $r0(653860566) 
$r1(1992286662) -> $r1(653860566) 
$r2(1992286662) -> $r2(653860566) 
$r3(1992286662) -> $r3(653860566) 
$r4(1992286662) -> $r4(653860566) 
$r5(1992286662) -> $r5(653860566) 
$r6(1992286662) -> $r6(653860566) 
0(653860566) -> 0(100614193) 
this(653860566) -> this(100614193) 
fontInfo(653860566) -> fontInfo(100614193) 
cacheKey(653860566) -> cacheKey(100614193) 
l3(653860566) -> l3(100614193) 
l4(653860566) -> l4(100614193) 
$r0(653860566) -> $r0(100614193) 
$r1(653860566) -> $r1(100614193) 
$r2(653860566) -> $r2(100614193) 
$r3(653860566) -> $r3(100614193) 
$r4(653860566) -> $r4(100614193) 
$r5(653860566) -> $r5(100614193) 
$r6(653860566) -> $r6(100614193) 
0(100614193) -> 0(228932472) 
this(100614193) -> this(228932472) 
fontInfo(100614193) -> fontInfo(228932472) 
cacheKey(100614193) -> cacheKey(228932472) 
l3(100614193) -> l3(228932472) 
l4(100614193) -> l4(228932472) 
$r0(100614193) -> $r0(228932472) 
$r1(100614193) -> $r1(228932472) 
$r2(100614193) -> $r2(228932472) 
$r3(100614193) -> $r3(228932472) 
$r4(100614193) -> $r4(228932472) 
$r5(100614193) -> $r5(228932472) 
$r6(100614193) -> $r6(228932472) 
0(865499561) -> 0(1917319330) 
this(865499561) -> this(1917319330) 
fontInfo(865499561) -> fontInfo(1917319330) 
cacheKey(865499561) -> cacheKey(1917319330) 
l3(865499561) -> l3(1917319330) 
l4(865499561) -> l4(1917319330) 
$r0(865499561) -> $r0(1917319330) 
$r1(865499561) -> $r1(1917319330) 
$r2(865499561) -> $r2(1917319330) 
$r3(865499561) -> $r3(1917319330) 
$r4(865499561) -> $r4(1917319330) 
$r5(865499561) -> $r5(1917319330) 
$r6(865499561) -> $r6(1917319330) 
0(1917319330) -> 0(204902660) 
this(1917319330) -> this(204902660) 
fontInfo(1917319330) -> fontInfo(204902660) 
cacheKey(1917319330) -> cacheKey(204902660) 
l3(1917319330) -> l3(204902660) 
l4(1917319330) -> l4(204902660) 
$r0(1917319330) -> $r0(204902660) 
$r1(1917319330) -> $r1(204902660) 
$r2(1917319330) -> $r2(204902660) 
$r3(1917319330) -> $r3(204902660) 
$r4(1917319330) -> $r4(204902660) 
$r6(1917319330) -> $r6(204902660) 
0(204902660) -> 0(760711063) 
this(204902660) -> this(760711063) 
fontInfo(204902660) -> fontInfo(760711063) 
cacheKey(204902660) -> cacheKey(760711063) 
l3(204902660) -> l3(760711063) 
l4(204902660) -> l4(760711063) 
$r0(204902660) -> $r0(760711063) 
$r1(204902660) -> $r1(760711063) 
$r2(204902660) -> $r2(760711063) 
$r3(204902660) -> $r3(760711063) 
$r4(204902660) -> $r4(760711063) 
$r5(204902660) -> $r5(760711063) 
$r6(204902660) -> $r6(760711063) 
0(760711063) -> 0(228932472) 
this(760711063) -> this(228932472) 
fontInfo(760711063) -> fontInfo(228932472) 
cacheKey(760711063) -> cacheKey(228932472) 
l3(760711063) -> l3(228932472) 
l4(760711063) -> l4(228932472) 
$r0(760711063) -> $r0(228932472) 
$r1(760711063) -> $r1(228932472) 
$r2(760711063) -> $r2(228932472) 
$r3(760711063) -> $r3(228932472) 
$r4(760711063) -> $r4(228932472) 
$r5(760711063) -> $r5(228932472) 
$r6(760711063) -> $r6(228932472) 
0(228932472) -> 0(2206191) 
this(228932472) -> this(2206191) 
fontInfo(228932472) -> fontInfo(2206191) 
cacheKey(228932472) -> cacheKey(2206191) 
l3(228932472) -> l3(2206191) 
l4(228932472) -> l4(2206191) 
$r0(228932472) -> $r0(2206191) 
$r1(228932472) -> $r1(2206191) 
$r2(228932472) -> $r2(2206191) 
$r3(228932472) -> $r3(2206191) 
$r4(228932472) -> $r4(2206191) 
$r5(228932472) -> $r5(2206191) 
$r6(228932472) -> $r6(2206191) 
0(2206191) -> 0(-1358040509) 
this(2206191) -> this(-1358040509) 
fontInfo(2206191) -> fontInfo(-1358040509) 
cacheKey(2206191) -> cacheKey(-1358040509) 
l3(2206191) -> l3(-1358040509) 
l4(2206191) -> l4(-1358040509) 
$r0(2206191) -> $r0(-1358040509) 
$r1(2206191) -> $r1(-1358040509) 
$r2(2206191) -> $r2(-1358040509) 
$r3(2206191) -> $r3(-1358040509) 
$r4(2206191) -> $r4(-1358040509) 
$r5(2206191) -> $r5(-1358040509) 
$r6(2206191) -> $r6(-1358040509) 
0(572230138) -> 0(878086421) 
this(572230138) -> this(878086421) 
fontInfo(572230138) -> fontInfo(878086421) 
cacheKey(572230138) -> cacheKey(878086421) 
l3(572230138) -> l3(878086421) 
l4(572230138) -> l4(878086421) 
$r0(572230138) -> $r0(878086421) 
$r1(572230138) -> $r1(878086421) 
$r2(572230138) -> $r2(878086421) 
$r3(572230138) -> $r3(878086421) 
$r4(572230138) -> $r4(878086421) 
$r5(572230138) -> $r5(878086421) 
$r6(572230138) -> $r6(878086421) 
0(1040158100) -> 0(1703380435) 
this(1040158100) -> this(1703380435) 
fontInfo(1040158100) -> fontInfo(1703380435) 
cacheKey(1040158100) -> cacheKey(1703380435) 
l3(1040158100) -> l3(1703380435) 
$r0(1040158100) -> $r0(1703380435) 
$r1(1040158100) -> $r1(1703380435) 
$r2(1040158100) -> $r2(1703380435) 
$r3(1040158100) -> $r3(1703380435) 
$r4(1040158100) -> $r4(1703380435) 
$r5(1040158100) -> $r5(1703380435) 
$r6(1040158100) -> l4(1703380435) 
$r6(1040158100) -> $r6(1703380435) 
0(1703380435) -> 0(-1358040509) 
this(1703380435) -> this(-1358040509) 
fontInfo(1703380435) -> fontInfo(-1358040509) 
cacheKey(1703380435) -> cacheKey(-1358040509) 
l3(1703380435) -> l3(-1358040509) 
l4(1703380435) -> l4(-1358040509) 
$r0(1703380435) -> $r0(-1358040509) 
$r1(1703380435) -> $r1(-1358040509) 
$r2(1703380435) -> $r2(-1358040509) 
$r3(1703380435) -> $r3(-1358040509) 
$r4(1703380435) -> $r4(-1358040509) 
$r5(1703380435) -> $r5(-1358040509) 
$r6(1703380435) -> $r6(-1358040509) 
0(878086421) -> 0(-1358040509) 
this(878086421) -> this(-1358040509) 
fontInfo(878086421) -> fontInfo(-1358040509) 
cacheKey(878086421) -> cacheKey(-1358040509) 
l3(878086421) -> l3(-1358040509) 
l4(878086421) -> l4(-1358040509) 
$r0(878086421) -> $r0(-1358040509) 
$r1(878086421) -> $r1(-1358040509) 
$r2(878086421) -> $r2(-1358040509) 
$r3(878086421) -> $r3(-1358040509) 
$r4(878086421) -> $r4(-1358040509) 
$r5(878086421) -> $r5(-1358040509) 
$r6(878086421) -> $r6(-1358040509) 
0(878086421) -> .return(-1358040509) 
