method: org.apache.fop.area.MainReference.isEmpty:424841696
0(1177342678) -> 0(-1177342678) 
this(1177342678) -> this(-1177342678) 
spaniter(1177342678) -> spaniter(-1177342678) 
spanArea(1177342678) -> spanArea(-1177342678) 
$r0(1177342678) -> $r0(-1177342678) 
0(-1177342678) -> 0(1612055825) 
this(-1177342678) -> this(1612055825) 
spaniter(-1177342678) -> spaniter(1612055825) 
spanArea(-1177342678) -> spanArea(1612055825) 
$r0(-1177342678) -> $r0(1612055825) 
$r1(-1177342678) -> $r1(1612055825) 
0(1612055825) -> 0(1168560223) 
this(1612055825) -> this(1168560223) 
spaniter(1612055825) -> spaniter(1168560223) 
$r0(1612055825) -> $r0(1168560223) 
$r1(1612055825) -> spanArea(1168560223) 
$r1(1612055825) -> $r1(1168560223) 
0(1168560223) -> 0(97721458) 
this(1168560223) -> this(97721458) 
spaniter(1168560223) -> spaniter(97721458) 
spanArea(1168560223) -> spanArea(97721458) 
$r0(1168560223) -> $r0(97721458) 
$r1(1168560223) -> $r1(97721458) 
0(97721458) -> 0(-97721458) 
this(97721458) -> this(-97721458) 
spaniter(97721458) -> spaniter(-97721458) 
spanArea(97721458) -> spanArea(-97721458) 
$r0(97721458) -> $r0(-97721458) 
$r1(97721458) -> $r1(-97721458) 
0(-97721458) -> 0(1727038298) 
this(-97721458) -> this(1727038298) 
spaniter(-97721458) -> spaniter(1727038298) 
spanArea(-97721458) -> spanArea(1727038298) 
$r0(-97721458) -> $r0(1727038298) 
$r1(-97721458) -> $r1(1727038298) 
0(1727038298) -> 0(1295902891) 
this(1727038298) -> this(1295902891) 
spaniter(1727038298) -> spaniter(1295902891) 
spanArea(1727038298) -> spanArea(1295902891) 
$r0(1727038298) -> $r0(1295902891) 
$r1(1727038298) -> $r1(1295902891) 
0(1727038298) -> 0(943701634) 
this(1727038298) -> this(943701634) 
spaniter(1727038298) -> spaniter(943701634) 
spanArea(1727038298) -> spanArea(943701634) 
$r0(1727038298) -> $r0(943701634) 
$r1(1727038298) -> $r1(943701634) 
0(943701634) -> 0(1626629543) 
this(943701634) -> this(1626629543) 
spaniter(943701634) -> spaniter(1626629543) 
spanArea(943701634) -> spanArea(1626629543) 
$r0(943701634) -> $r0(1626629543) 
$r1(943701634) -> $r1(1626629543) 
0(1626629543) -> 0(1998179106) 
this(1626629543) -> this(1998179106) 
spaniter(1626629543) -> spaniter(1998179106) 
spanArea(1626629543) -> spanArea(1998179106) 
$r0(1626629543) -> $r0(1998179106) 
$r1(1626629543) -> $r1(1998179106) 
0(1295902891) -> 0(1998179106) 
this(1295902891) -> this(1998179106) 
spaniter(1295902891) -> spaniter(1998179106) 
spanArea(1295902891) -> spanArea(1998179106) 
$r0(1295902891) -> $r0(1998179106) 
$r1(1295902891) -> $r1(1998179106) 
0(1998179106) -> 0(1046962756) 
this(1998179106) -> this(1046962756) 
spaniter(1998179106) -> spaniter(1046962756) 
spanArea(1998179106) -> spanArea(1046962756) 
$r0(1998179106) -> $r0(1046962756) 
$r1(1998179106) -> $r1(1046962756) 
0(1046962756) -> 0(1208070618) 
this(1046962756) -> this(1208070618) 
spaniter(1046962756) -> spaniter(1208070618) 
spanArea(1046962756) -> spanArea(1208070618) 
$r0(1046962756) -> $r0(1208070618) 
$r1(1046962756) -> $r1(1208070618) 
0(1231753578) -> 0(364159521) 
this(1231753578) -> this(364159521) 
spaniter(1231753578) -> spaniter(364159521) 
spanArea(1231753578) -> spanArea(364159521) 
$r0(1231753578) -> $r0(364159521) 
$r1(1231753578) -> $r1(364159521) 
0(1231753578) -> 0(340028366) 
this(1231753578) -> this(340028366) 
spaniter(1231753578) -> spaniter(340028366) 
spanArea(1231753578) -> spanArea(340028366) 
$r0(1231753578) -> $r0(340028366) 
$r1(1231753578) -> $r1(340028366) 
0(340028366) -> 0(402762695) 
this(340028366) -> this(402762695) 
spaniter(340028366) -> spaniter(402762695) 
spanArea(340028366) -> spanArea(402762695) 
$r0(340028366) -> $r0(402762695) 
$r1(340028366) -> $r1(402762695) 
0(402762695) -> 0(100675497) 
this(402762695) -> this(100675497) 
spaniter(402762695) -> spaniter(100675497) 
spanArea(402762695) -> spanArea(100675497) 
$r0(402762695) -> $r0(100675497) 
$r1(402762695) -> $r1(100675497) 
0(364159521) -> 0(100675497) 
this(364159521) -> this(100675497) 
spaniter(364159521) -> spaniter(100675497) 
spanArea(364159521) -> spanArea(100675497) 
$r0(364159521) -> $r0(100675497) 
$r1(364159521) -> $r1(100675497) 
0(100675497) -> 0(420034849) 
this(100675497) -> this(420034849) 
spaniter(100675497) -> spaniter(420034849) 
spanArea(100675497) -> spanArea(420034849) 
$r0(100675497) -> $r0(420034849) 
$r1(100675497) -> $r1(420034849) 
0(420034849) -> 0(746959454) 
this(420034849) -> this(746959454) 
spaniter(420034849) -> spaniter(746959454) 
spanArea(420034849) -> spanArea(746959454) 
$r0(420034849) -> $r0(746959454) 
$r1(420034849) -> $r1(746959454) 
0(746959454) -> 0(-424841696) 
this(746959454) -> this(-424841696) 
spaniter(746959454) -> spaniter(-424841696) 
spanArea(746959454) -> spanArea(-424841696) 
$r0(746959454) -> $r0(-424841696) 
$r1(746959454) -> $r1(-424841696) 
0(746959454) -> .return(-424841696) 
