method: org.apache.fop.area.BodyRegion.isEmpty:1938247974
$r0(844111957) -> $r0(-844111957) 
$r1(844111957) -> $r1(-844111957) 
$r2(844111957) -> $r2(-844111957) 
0(-844111957) -> 0(712689217) 
this(-844111957) -> this(712689217) 
$r0(-844111957) -> $r0(712689217) 
$r1(-844111957) -> $r1(712689217) 
$r2(-844111957) -> $r2(712689217) 
0(712689217) -> 0(308230297) 
this(712689217) -> this(308230297) 
$r0(712689217) -> $r0(308230297) 
$r1(712689217) -> $r1(308230297) 
$r2(712689217) -> $r2(308230297) 
0(712689217) -> 0(510381772) 
this(712689217) -> this(510381772) 
$r0(712689217) -> $r0(510381772) 
$r1(712689217) -> $r1(510381772) 
$r2(712689217) -> $r2(510381772) 
0(510381772) -> 0(936755886) 
this(510381772) -> this(936755886) 
$r0(510381772) -> $r0(936755886) 
$r1(510381772) -> $r1(936755886) 
$r2(510381772) -> $r2(936755886) 
0(936755886) -> 0(1103396265) 
this(936755886) -> this(1103396265) 
$r0(936755886) -> $r0(1103396265) 
$r1(936755886) -> $r1(1103396265) 
$r2(936755886) -> $r2(1103396265) 
0(936755886) -> 0(589552955) 
this(936755886) -> this(589552955) 
$r0(936755886) -> $r0(589552955) 
$r1(936755886) -> $r1(589552955) 
$r2(936755886) -> $r2(589552955) 
0(589552955) -> 0(126967427) 
this(589552955) -> this(126967427) 
$r0(589552955) -> $r0(126967427) 
$r1(589552955) -> $r1(126967427) 
$r2(589552955) -> $r2(126967427) 
0(126967427) -> 0(-126967427) 
this(126967427) -> this(-126967427) 
$r0(126967427) -> $r0(-126967427) 
$r1(126967427) -> $r1(-126967427) 
$r2(126967427) -> $r2(-126967427) 
0(-126967427) -> 0(1490284118) 
this(-126967427) -> this(1490284118) 
$r0(-126967427) -> $r0(1490284118) 
$r1(-126967427) -> $r1(1490284118) 
$r2(-126967427) -> $r2(1490284118) 
0(1490284118) -> 0(308230297) 
this(1490284118) -> this(308230297) 
$r0(1490284118) -> $r0(308230297) 
$r1(1490284118) -> $r1(308230297) 
$r2(1490284118) -> $r2(308230297) 
0(1490284118) -> 0(1103396265) 
this(1490284118) -> this(1103396265) 
$r0(1490284118) -> $r0(1103396265) 
$r1(1490284118) -> $r1(1103396265) 
$r2(1490284118) -> $r2(1103396265) 
0(1103396265) -> 0(1259734010) 
this(1103396265) -> this(1259734010) 
$r0(1103396265) -> $r0(1259734010) 
$r1(1103396265) -> $r1(1259734010) 
$r2(1103396265) -> $r2(1259734010) 
0(1259734010) -> 0(696045115) 
this(1259734010) -> this(696045115) 
$r0(1259734010) -> $r0(696045115) 
$r1(1259734010) -> $r1(696045115) 
$r2(1259734010) -> $r2(696045115) 
0(308230297) -> 0(696045115) 
this(308230297) -> this(696045115) 
$r0(308230297) -> $r0(696045115) 
$r1(308230297) -> $r1(696045115) 
$r2(308230297) -> $r2(696045115) 
0(696045115) -> 0(-1938247974) 
this(696045115) -> this(-1938247974) 
$r0(696045115) -> $r0(-1938247974) 
$r1(696045115) -> $r1(-1938247974) 
$r2(696045115) -> $r2(-1938247974) 
0(696045115) -> .return(-1938247974) 
