method: org.apache.fop.fonts.FontCache.loadFrom:1965980830
$r2(-325837643) -> $r2(269966051) 
$r3(-325837643) -> $r3(269966051) 
$r4(-325837643) -> $r4(269966051) 
$r5(-325837643) -> $r5(269966051) 
in(-325837643) -> in(269966051) 
$r6(-325837643) -> $r6(269966051) 
$r7(-325837643) -> $r7(269966051) 
$r8(-325837643) -> $r8(269966051) 
$r9(-325837643) -> $r9(269966051) 
$r10(-325837643) -> $r10(269966051) 
0(269966051) -> 0(1700661873) 
cacheFile(269966051) -> cacheFile(1700661873) 
$r0(269966051) -> $r0(1700661873) 
in(269966051) -> in(1700661873) 
oin(269966051) -> oin(1700661873) 
l3(269966051) -> l3(1700661873) 
l4(269966051) -> l4(1700661873) 
e(269966051) -> e(1700661873) 
ioe(269966051) -> ioe(1700661873) 
$r1(269966051) -> $r1(1700661873) 
$r2(269966051) -> $r2(1700661873) 
$r3(269966051) -> $r3(1700661873) 
$r4(269966051) -> $r4(1700661873) 
$r5(269966051) -> $r5(1700661873) 
in(269966051) -> in(1700661873) 
$r6(269966051) -> $r6(1700661873) 
$r7(269966051) -> $r7(1700661873) 
$r8(269966051) -> $r8(1700661873) 
$r9(269966051) -> $r9(1700661873) 
$r10(269966051) -> $r10(1700661873) 
0(269966051) -> 0(1833956693) 
cacheFile(269966051) -> cacheFile(1833956693) 
$r0(269966051) -> $r0(1833956693) 
in(269966051) -> in(1833956693) 
oin(269966051) -> oin(1833956693) 
l3(269966051) -> l3(1833956693) 
l4(269966051) -> l4(1833956693) 
e(269966051) -> e(1833956693) 
ioe(269966051) -> ioe(1833956693) 
$r1(269966051) -> $r1(1833956693) 
$r2(269966051) -> $r2(1833956693) 
$r3(269966051) -> $r3(1833956693) 
$r4(269966051) -> $r4(1833956693) 
$r5(269966051) -> $r5(1833956693) 
in(269966051) -> in(1833956693) 
$r6(269966051) -> $r6(1833956693) 
$r7(269966051) -> $r7(1833956693) 
$r8(269966051) -> $r8(1833956693) 
$r9(269966051) -> $r9(1833956693) 
$r10(269966051) -> $r10(1833956693) 
0(1833956693) -> 0(477353860) 
cacheFile(1833956693) -> cacheFile(477353860) 
$r0(1833956693) -> $r0(477353860) 
in(1833956693) -> in(477353860) 
oin(1833956693) -> oin(477353860) 
l3(1833956693) -> l3(477353860) 
l4(1833956693) -> l4(477353860) 
e(1833956693) -> e(477353860) 
ioe(1833956693) -> ioe(477353860) 
$r1(1833956693) -> $r1(477353860) 
$r2(1833956693) -> $r2(477353860) 
$r3(1833956693) -> $r3(477353860) 
$r4(1833956693) -> $r4(477353860) 
$r5(1833956693) -> $r5(477353860) 
in(1833956693) -> in(477353860) 
$r6(1833956693) -> $r6(477353860) 
$r7(1833956693) -> $r7(477353860) 
$r8(1833956693) -> $r8(477353860) 
$r9(1833956693) -> $r9(477353860) 
$r10(1833956693) -> $r10(477353860) 
0(477353860) -> 0(1945625850) 
cacheFile(477353860) -> cacheFile(1945625850) 
in(477353860) -> in(1945625850) 
oin(477353860) -> oin(1945625850) 
l3(477353860) -> l3(1945625850) 
l4(477353860) -> l4(1945625850) 
e(477353860) -> e(1945625850) 
ioe(477353860) -> ioe(1945625850) 
$r1(477353860) -> $r1(1945625850) 
$r2(477353860) -> $r2(1945625850) 
$r3(477353860) -> $r3(1945625850) 
$r4(477353860) -> $r4(1945625850) 
$r5(477353860) -> $r5(1945625850) 
in(477353860) -> in(1945625850) 
$r6(477353860) -> $r6(1945625850) 
$r7(477353860) -> $r7(1945625850) 
$r8(477353860) -> $r8(1945625850) 
$r9(477353860) -> $r9(1945625850) 
$r10(477353860) -> $r10(1945625850) 
0(1945625850) -> 0(1853638610) 
cacheFile(1945625850) -> cacheFile(1853638610) 
$r0(1945625850) -> $r0(1853638610) 
in(1945625850) -> in(1853638610) 
oin(1945625850) -> oin(1853638610) 
l3(1945625850) -> l3(1853638610) 
l4(1945625850) -> l4(1853638610) 
e(1945625850) -> e(1853638610) 
ioe(1945625850) -> ioe(1853638610) 
$r1(1945625850) -> $r1(1853638610) 
$r2(1945625850) -> $r2(1853638610) 
$r3(1945625850) -> $r3(1853638610) 
$r4(1945625850) -> $r4(1853638610) 
$r5(1945625850) -> $r5(1853638610) 
in(1945625850) -> in(1853638610) 
$r6(1945625850) -> $r6(1853638610) 
$r7(1945625850) -> $r7(1853638610) 
$r8(1945625850) -> $r8(1853638610) 
$r9(1945625850) -> $r9(1853638610) 
$r10(1945625850) -> $r10(1853638610) 
0(1853638610) -> 0(-1853638610) 
cacheFile(1853638610) -> cacheFile(-1853638610) 
in(1853638610) -> in(-1853638610) 
oin(1853638610) -> oin(-1853638610) 
l3(1853638610) -> l3(-1853638610) 
l4(1853638610) -> l4(-1853638610) 
e(1853638610) -> e(-1853638610) 
ioe(1853638610) -> ioe(-1853638610) 
$r1(1853638610) -> $r1(-1853638610) 
$r2(1853638610) -> $r2(-1853638610) 
$r3(1853638610) -> $r3(-1853638610) 
$r4(1853638610) -> $r4(-1853638610) 
$r5(1853638610) -> $r5(-1853638610) 
in(1853638610) -> in(-1853638610) 
$r6(1853638610) -> $r6(-1853638610) 
$r7(1853638610) -> $r7(-1853638610) 
$r8(1853638610) -> $r8(-1853638610) 
$r9(1853638610) -> $r9(-1853638610) 
$r10(1853638610) -> $r10(-1853638610) 
0(-1853638610) -> 0(1666819156) 
cacheFile(-1853638610) -> cacheFile(1666819156) 
$r0(-1853638610) -> $r0(1666819156) 
in(-1853638610) -> in(1666819156) 
oin(-1853638610) -> oin(1666819156) 
l3(-1853638610) -> l3(1666819156) 
l4(-1853638610) -> l4(1666819156) 
e(-1853638610) -> e(1666819156) 
ioe(-1853638610) -> ioe(1666819156) 
$r1(-1853638610) -> $r1(1666819156) 
$r2(-1853638610) -> $r2(1666819156) 
$r3(-1853638610) -> $r3(1666819156) 
$r4(-1853638610) -> $r4(1666819156) 
$r5(-1853638610) -> $r5(1666819156) 
in(-1853638610) -> in(1666819156) 
$r6(-1853638610) -> $r6(1666819156) 
$r7(-1853638610) -> $r7(1666819156) 
$r8(-1853638610) -> $r8(1666819156) 
$r9(-1853638610) -> $r9(1666819156) 
$r10(-1853638610) -> $r10(1666819156) 
0(1666819156) -> 0(-1666819156) 
cacheFile(1666819156) -> cacheFile(-1666819156) 
$r0(1666819156) -> $r0(-1666819156) 
in(1666819156) -> in(-1666819156) 
oin(1666819156) -> oin(-1666819156) 
l3(1666819156) -> l3(-1666819156) 
l4(1666819156) -> l4(-1666819156) 
e(1666819156) -> e(-1666819156) 
ioe(1666819156) -> ioe(-1666819156) 
$r1(1666819156) -> $r1(-1666819156) 
$r3(1666819156) -> $r3(-1666819156) 
$r4(1666819156) -> $r4(-1666819156) 
$r5(1666819156) -> $r5(-1666819156) 
in(1666819156) -> in(-1666819156) 
$r6(1666819156) -> $r6(-1666819156) 
$r7(1666819156) -> $r7(-1666819156) 
$r8(1666819156) -> $r8(-1666819156) 
$r9(1666819156) -> $r9(-1666819156) 
$r10(1666819156) -> $r10(-1666819156) 
0(-1666819156) -> 0(305379777) 
cacheFile(-1666819156) -> cacheFile(305379777) 
$r0(-1666819156) -> $r0(305379777) 
in(-1666819156) -> in(305379777) 
oin(-1666819156) -> oin(305379777) 
l3(-1666819156) -> l3(305379777) 
l4(-1666819156) -> l4(305379777) 
e(-1666819156) -> e(305379777) 
ioe(-1666819156) -> ioe(305379777) 
$r1(-1666819156) -> $r1(305379777) 
$r2(-1666819156) -> $r2(305379777) 
$r3(-1666819156) -> $r3(305379777) 
$r4(-1666819156) -> $r4(305379777) 
$r5(-1666819156) -> $r5(305379777) 
in(-1666819156) -> in(305379777) 
$r6(-1666819156) -> $r6(305379777) 
$r7(-1666819156) -> $r7(305379777) 
$r8(-1666819156) -> $r8(305379777) 
$r9(-1666819156) -> $r9(305379777) 
$r10(-1666819156) -> $r10(305379777) 
0(305379777) -> 0(-305379777) 
cacheFile(305379777) -> cacheFile(-305379777) 
in(305379777) -> in(-305379777) 
oin(305379777) -> oin(-305379777) 
l3(305379777) -> l3(-305379777) 
l4(305379777) -> l4(-305379777) 
e(305379777) -> e(-305379777) 
ioe(305379777) -> ioe(-305379777) 
$r1(305379777) -> $r1(-305379777) 
$r2(305379777) -> $r2(-305379777) 
$r3(305379777) -> $r3(-305379777) 
$r4(305379777) -> $r4(-305379777) 
$r5(305379777) -> $r5(-305379777) 
in(305379777) -> in(-305379777) 
$r6(305379777) -> $r6(-305379777) 
$r7(305379777) -> $r7(-305379777) 
$r8(305379777) -> $r8(-305379777) 
$r9(305379777) -> $r9(-305379777) 
$r10(305379777) -> $r10(-305379777) 
0(-305379777) -> 0(31995709) 
cacheFile(-305379777) -> cacheFile(31995709) 
$r0(-305379777) -> $r0(31995709) 
in(-305379777) -> in(31995709) 
oin(-305379777) -> oin(31995709) 
l3(-305379777) -> l3(31995709) 
l4(-305379777) -> l4(31995709) 
e(-305379777) -> e(31995709) 
ioe(-305379777) -> ioe(31995709) 
$r1(-305379777) -> $r1(31995709) 
$r2(-305379777) -> $r2(31995709) 
$r3(-305379777) -> $r3(31995709) 
$r4(-305379777) -> $r4(31995709) 
$r5(-305379777) -> $r5(31995709) 
in(-305379777) -> in(31995709) 
$r6(-305379777) -> $r6(31995709) 
$r7(-305379777) -> $r7(31995709) 
$r8(-305379777) -> $r8(31995709) 
$r9(-305379777) -> $r9(31995709) 
$r10(-305379777) -> $r10(31995709) 
0(31995709) -> 0(-31995709) 
cacheFile(31995709) -> cacheFile(-31995709) 
$r0(31995709) -> $r0(-31995709) 
in(31995709) -> in(-31995709) 
oin(31995709) -> oin(-31995709) 
l3(31995709) -> l3(-31995709) 
l4(31995709) -> l4(-31995709) 
e(31995709) -> e(-31995709) 
ioe(31995709) -> ioe(-31995709) 
$r1(31995709) -> $r1(-31995709) 
$r2(31995709) -> $r2(-31995709) 
$r4(31995709) -> $r4(-31995709) 
$r5(31995709) -> $r5(-31995709) 
in(31995709) -> in(-31995709) 
$r6(31995709) -> $r6(-31995709) 
$r7(31995709) -> $r7(-31995709) 
$r8(31995709) -> $r8(-31995709) 
$r9(31995709) -> $r9(-31995709) 
$r10(31995709) -> $r10(-31995709) 
0(-31995709) -> 0(880969413) 
cacheFile(-31995709) -> cacheFile(880969413) 
$r0(-31995709) -> $r0(880969413) 
in(-31995709) -> in(880969413) 
oin(-31995709) -> oin(880969413) 
l3(-31995709) -> l3(880969413) 
l4(-31995709) -> l4(880969413) 
e(-31995709) -> e(880969413) 
ioe(-31995709) -> ioe(880969413) 
$r1(-31995709) -> $r1(880969413) 
$r2(-31995709) -> $r2(880969413) 
$r3(-31995709) -> $r3(880969413) 
$r4(-31995709) -> $r4(880969413) 
$r5(-31995709) -> $r5(880969413) 
in(-31995709) -> in(880969413) 
$r6(-31995709) -> $r6(880969413) 
$r7(-31995709) -> $r7(880969413) 
$r8(-31995709) -> $r8(880969413) 
$r9(-31995709) -> $r9(880969413) 
$r10(-31995709) -> $r10(880969413) 
0(880969413) -> 0(1700661873) 
cacheFile(880969413) -> cacheFile(1700661873) 
$r0(880969413) -> $r0(1700661873) 
in(880969413) -> in(1700661873) 
oin(880969413) -> oin(1700661873) 
l3(880969413) -> l3(1700661873) 
l4(880969413) -> l4(1700661873) 
e(880969413) -> e(1700661873) 
ioe(880969413) -> ioe(1700661873) 
$r1(880969413) -> $r1(1700661873) 
$r2(880969413) -> $r2(1700661873) 
$r3(880969413) -> $r3(1700661873) 
$r4(880969413) -> $r4(1700661873) 
$r5(880969413) -> $r5(1700661873) 
in(880969413) -> in(1700661873) 
$r6(880969413) -> $r6(1700661873) 
$r7(880969413) -> $r7(1700661873) 
$r8(880969413) -> $r8(1700661873) 
$r9(880969413) -> $r9(1700661873) 
$r10(880969413) -> $r10(1700661873) 
0(1700661873) -> 0(1058652915) 
cacheFile(1700661873) -> cacheFile(1058652915) 
$r0(1700661873) -> $r0(1058652915) 
in(1700661873) -> in(1058652915) 
oin(1700661873) -> oin(1058652915) 
l3(1700661873) -> l3(1058652915) 
l4(1700661873) -> l4(1058652915) 
e(1700661873) -> e(1058652915) 
ioe(1700661873) -> ioe(1058652915) 
$r1(1700661873) -> $r1(1058652915) 
$r2(1700661873) -> $r2(1058652915) 
$r3(1700661873) -> $r3(1058652915) 
$r5(1700661873) -> $r5(1058652915) 
in(1700661873) -> in(1058652915) 
$r6(1700661873) -> $r6(1058652915) 
$r7(1700661873) -> $r7(1058652915) 
$r8(1700661873) -> $r8(1058652915) 
$r9(1700661873) -> $r9(1058652915) 
$r10(1700661873) -> $r10(1058652915) 
0(1058652915) -> 0(877527010) 
cacheFile(1058652915) -> cacheFile(877527010) 
$r0(1058652915) -> $r0(877527010) 
in(1058652915) -> in(877527010) 
oin(1058652915) -> oin(877527010) 
l3(1058652915) -> l3(877527010) 
l4(1058652915) -> l4(877527010) 
e(1058652915) -> e(877527010) 
ioe(1058652915) -> ioe(877527010) 
$r1(1058652915) -> $r1(877527010) 
$r2(1058652915) -> $r2(877527010) 
$r3(1058652915) -> $r3(877527010) 
$r4(1058652915) -> $r4(877527010) 
$r5(1058652915) -> $r5(877527010) 
in(1058652915) -> in(877527010) 
$r6(1058652915) -> $r6(877527010) 
$r7(1058652915) -> $r7(877527010) 
$r8(1058652915) -> $r8(877527010) 
$r9(1058652915) -> $r9(877527010) 
$r10(1058652915) -> $r10(877527010) 
0(877527010) -> 0(1826253121) 
cacheFile(877527010) -> cacheFile(1826253121) 
$r0(877527010) -> $r0(1826253121) 
oin(877527010) -> oin(1826253121) 
l3(877527010) -> l3(1826253121) 
l4(877527010) -> l4(1826253121) 
e(877527010) -> e(1826253121) 
ioe(877527010) -> ioe(1826253121) 
$r1(877527010) -> $r1(1826253121) 
$r2(877527010) -> $r2(1826253121) 
$r3(877527010) -> $r3(1826253121) 
$r4(877527010) -> in(1826253121) 
$r4(877527010) -> $r4(1826253121) 
$r5(877527010) -> $r5(1826253121) 
$r6(877527010) -> $r6(1826253121) 
$r7(877527010) -> $r7(1826253121) 
$r8(877527010) -> $r8(1826253121) 
$r9(877527010) -> $r9(1826253121) 
$r10(877527010) -> $r10(1826253121) 
0(1826253121) -> 0(1938941514) 
cacheFile(1826253121) -> cacheFile(1938941514) 
$r0(1826253121) -> $r0(1938941514) 
in(1826253121) -> in(1938941514) 
oin(1826253121) -> oin(1938941514) 
l3(1826253121) -> l3(1938941514) 
l4(1826253121) -> l4(1938941514) 
e(1826253121) -> e(1938941514) 
ioe(1826253121) -> ioe(1938941514) 
$r1(1826253121) -> $r1(1938941514) 
$r2(1826253121) -> $r2(1938941514) 
$r3(1826253121) -> $r3(1938941514) 
$r4(1826253121) -> $r4(1938941514) 
in(1826253121) -> in(1938941514) 
$r6(1826253121) -> $r6(1938941514) 
$r7(1826253121) -> $r7(1938941514) 
$r8(1826253121) -> $r8(1938941514) 
$r9(1826253121) -> $r9(1938941514) 
$r10(1826253121) -> $r10(1938941514) 
0(1938941514) -> 0(1873166220) 
cacheFile(1938941514) -> cacheFile(1873166220) 
$r0(1938941514) -> $r0(1873166220) 
in(1938941514) -> in(1873166220) 
oin(1938941514) -> oin(1873166220) 
l3(1938941514) -> l3(1873166220) 
l4(1938941514) -> l4(1873166220) 
e(1938941514) -> e(1873166220) 
ioe(1938941514) -> ioe(1873166220) 
$r1(1938941514) -> $r1(1873166220) 
$r2(1938941514) -> $r2(1873166220) 
$r3(1938941514) -> $r3(1873166220) 
$r4(1938941514) -> $r4(1873166220) 
$r5(1938941514) -> $r5(1873166220) 
in(1938941514) -> in(1873166220) 
$r6(1938941514) -> $r6(1873166220) 
$r7(1938941514) -> $r7(1873166220) 
$r8(1938941514) -> $r8(1873166220) 
$r9(1938941514) -> $r9(1873166220) 
$r10(1938941514) -> $r10(1873166220) 
0(1873166220) -> 0(194394520) 
cacheFile(1873166220) -> cacheFile(194394520) 
$r0(1873166220) -> $r0(194394520) 
oin(1873166220) -> oin(194394520) 
l3(1873166220) -> l3(194394520) 
l4(1873166220) -> l4(194394520) 
e(1873166220) -> e(194394520) 
ioe(1873166220) -> ioe(194394520) 
$r1(1873166220) -> $r1(194394520) 
$r2(1873166220) -> $r2(194394520) 
$r3(1873166220) -> $r3(194394520) 
$r4(1873166220) -> $r4(194394520) 
$r5(1873166220) -> in(194394520) 
$r5(1873166220) -> $r5(194394520) 
$r6(1873166220) -> $r6(194394520) 
$r7(1873166220) -> $r7(194394520) 
$r8(1873166220) -> $r8(194394520) 
$r9(1873166220) -> $r9(194394520) 
$r10(1873166220) -> $r10(194394520) 
0(194394520) -> 0(1970421109) 
cacheFile(194394520) -> cacheFile(1970421109) 
$r0(194394520) -> $r0(1970421109) 
in(194394520) -> in(1970421109) 
oin(194394520) -> oin(1970421109) 
l3(194394520) -> l3(1970421109) 
l4(194394520) -> l4(1970421109) 
e(194394520) -> e(1970421109) 
ioe(194394520) -> ioe(1970421109) 
$r1(194394520) -> $r1(1970421109) 
$r2(194394520) -> $r2(1970421109) 
$r3(194394520) -> $r3(1970421109) 
$r4(194394520) -> $r4(1970421109) 
$r5(194394520) -> $r5(1970421109) 
in(194394520) -> in(1970421109) 
$r7(194394520) -> $r7(1970421109) 
$r8(194394520) -> $r8(1970421109) 
$r9(194394520) -> $r9(1970421109) 
$r10(194394520) -> $r10(1970421109) 
0(1970421109) -> 0(522258576) 
cacheFile(1970421109) -> cacheFile(522258576) 
$r0(1970421109) -> $r0(522258576) 
in(1970421109) -> in(522258576) 
oin(1970421109) -> oin(522258576) 
l3(1970421109) -> l3(522258576) 
l4(1970421109) -> l4(522258576) 
e(1970421109) -> e(522258576) 
ioe(1970421109) -> ioe(522258576) 
$r1(1970421109) -> $r1(522258576) 
$r2(1970421109) -> $r2(522258576) 
$r3(1970421109) -> $r3(522258576) 
$r4(1970421109) -> $r4(522258576) 
$r5(1970421109) -> $r5(522258576) 
in(1970421109) -> in(522258576) 
$r6(1970421109) -> $r6(522258576) 
$r7(1970421109) -> $r7(522258576) 
$r8(1970421109) -> $r8(522258576) 
$r9(1970421109) -> $r9(522258576) 
$r10(1970421109) -> $r10(522258576) 
0(522258576) -> 0(1988225585) 
cacheFile(522258576) -> cacheFile(1988225585) 
$r0(522258576) -> $r0(1988225585) 
in(522258576) -> in(1988225585) 
l3(522258576) -> l3(1988225585) 
l4(522258576) -> l4(1988225585) 
e(522258576) -> e(1988225585) 
ioe(522258576) -> ioe(1988225585) 
$r1(522258576) -> $r1(1988225585) 
$r2(522258576) -> $r2(1988225585) 
$r3(522258576) -> $r3(1988225585) 
$r4(522258576) -> $r4(1988225585) 
$r5(522258576) -> $r5(1988225585) 
in(522258576) -> in(1988225585) 
$r6(522258576) -> oin(1988225585) 
$r6(522258576) -> $r6(1988225585) 
$r7(522258576) -> $r7(1988225585) 
$r8(522258576) -> $r8(1988225585) 
$r9(522258576) -> $r9(1988225585) 
$r10(522258576) -> $r10(1988225585) 
0(1988225585) -> 0(-1988225585) 
cacheFile(1988225585) -> cacheFile(-1988225585) 
$r0(1988225585) -> $r0(-1988225585) 
in(1988225585) -> in(-1988225585) 
oin(1988225585) -> oin(-1988225585) 
l3(1988225585) -> l3(-1988225585) 
l4(1988225585) -> l4(-1988225585) 
e(1988225585) -> e(-1988225585) 
ioe(1988225585) -> ioe(-1988225585) 
$r1(1988225585) -> $r1(-1988225585) 
$r2(1988225585) -> $r2(-1988225585) 
$r3(1988225585) -> $r3(-1988225585) 
$r4(1988225585) -> $r4(-1988225585) 
$r5(1988225585) -> $r5(-1988225585) 
in(1988225585) -> in(-1988225585) 
$r6(1988225585) -> $r6(-1988225585) 
$r8(1988225585) -> $r8(-1988225585) 
$r9(1988225585) -> $r9(-1988225585) 
$r10(1988225585) -> $r10(-1988225585) 
0(-1988225585) -> 0(1676224300) 
cacheFile(-1988225585) -> cacheFile(1676224300) 
$r0(-1988225585) -> $r0(1676224300) 
in(-1988225585) -> in(1676224300) 
oin(-1988225585) -> oin(1676224300) 
l3(-1988225585) -> l3(1676224300) 
l4(-1988225585) -> l4(1676224300) 
e(-1988225585) -> e(1676224300) 
ioe(-1988225585) -> ioe(1676224300) 
$r1(-1988225585) -> $r1(1676224300) 
$r2(-1988225585) -> $r2(1676224300) 
$r3(-1988225585) -> $r3(1676224300) 
$r4(-1988225585) -> $r4(1676224300) 
$r5(-1988225585) -> $r5(1676224300) 
in(-1988225585) -> in(1676224300) 
$r6(-1988225585) -> $r6(1676224300) 
$r7(-1988225585) -> $r7(1676224300) 
$r8(-1988225585) -> $r8(1676224300) 
$r9(-1988225585) -> $r9(1676224300) 
$r10(-1988225585) -> $r10(1676224300) 
0(1676224300) -> 0(1833579808) 
cacheFile(1676224300) -> cacheFile(1833579808) 
$r0(1676224300) -> $r0(1833579808) 
in(1676224300) -> in(1833579808) 
oin(1676224300) -> oin(1833579808) 
l4(1676224300) -> l4(1833579808) 
e(1676224300) -> e(1833579808) 
ioe(1676224300) -> ioe(1833579808) 
