method: org.apache.fop.render.awt.viewer.PreviewPanel$ViewportScroller.mouseDragged:1262327702
$r2(1343960848) -> $r2(-1343960848) 
0(-1343960848) -> 0(637661013) 
this(-1343960848) -> this(637661013) 
e(-1343960848) -> e(637661013) 
viewPoint(-1343960848) -> viewPoint(637661013) 
$r0(-1343960848) -> $r0(637661013) 
$r1(-1343960848) -> $r1(637661013) 
$r2(-1343960848) -> $r2(637661013) 
0(637661013) -> 0(504982444) 
this(637661013) -> this(504982444) 
e(637661013) -> e(504982444) 
viewPoint(637661013) -> viewPoint(504982444) 
$r0(637661013) -> $r0(504982444) 
$r1(637661013) -> $r1(504982444) 
$r2(637661013) -> $r2(504982444) 
0(504982444) -> 0(384563364) 
this(504982444) -> this(384563364) 
e(504982444) -> e(384563364) 
viewPoint(504982444) -> viewPoint(384563364) 
$r0(504982444) -> $r0(384563364) 
$r1(504982444) -> $r1(384563364) 
$r2(504982444) -> $r2(384563364) 
0(384563364) -> 0(-384563364) 
this(384563364) -> this(-384563364) 
e(384563364) -> e(-384563364) 
viewPoint(384563364) -> viewPoint(-384563364) 
$r0(384563364) -> $r0(-384563364) 
$r2(384563364) -> $r2(-384563364) 
0(-384563364) -> 0(647370378) 
this(-384563364) -> this(647370378) 
e(-384563364) -> e(647370378) 
viewPoint(-384563364) -> viewPoint(647370378) 
$r0(-384563364) -> $r0(647370378) 
$r1(-384563364) -> $r1(647370378) 
$r2(-384563364) -> $r2(647370378) 
0(647370378) -> 0(1356190573) 
this(647370378) -> this(1356190573) 
e(647370378) -> e(1356190573) 
viewPoint(647370378) -> viewPoint(1356190573) 
$r0(647370378) -> $r0(1356190573) 
$r1(647370378) -> $r1(1356190573) 
$r2(647370378) -> $r2(1356190573) 
0(1356190573) -> 0(103531153) 
this(1356190573) -> this(103531153) 
e(1356190573) -> e(103531153) 
viewPoint(1356190573) -> viewPoint(103531153) 
$r0(1356190573) -> $r0(103531153) 
$r1(1356190573) -> $r1(103531153) 
$r2(1356190573) -> $r2(103531153) 
0(103531153) -> 0(-103531153) 
this(103531153) -> this(-103531153) 
e(103531153) -> e(-103531153) 
viewPoint(103531153) -> viewPoint(-103531153) 
$r0(103531153) -> $r0(-103531153) 
$r2(103531153) -> $r2(-103531153) 
0(-103531153) -> 0(1867305171) 
this(-103531153) -> this(1867305171) 
e(-103531153) -> e(1867305171) 
viewPoint(-103531153) -> viewPoint(1867305171) 
$r0(-103531153) -> $r0(1867305171) 
$r1(-103531153) -> $r1(1867305171) 
$r2(-103531153) -> $r2(1867305171) 
0(1867305171) -> 0(2108049002) 
this(1867305171) -> this(2108049002) 
e(1867305171) -> e(2108049002) 
viewPoint(1867305171) -> viewPoint(2108049002) 
$r0(1867305171) -> $r0(2108049002) 
$r1(1867305171) -> $r1(2108049002) 
$r2(1867305171) -> $r2(2108049002) 
0(2108049002) -> 0(794368408) 
this(2108049002) -> this(794368408) 
e(2108049002) -> e(794368408) 
viewPoint(2108049002) -> viewPoint(794368408) 
$r0(2108049002) -> $r0(794368408) 
$r1(2108049002) -> $r1(794368408) 
$r2(2108049002) -> $r2(794368408) 
0(794368408) -> 0(-794368408) 
this(794368408) -> this(-794368408) 
e(794368408) -> e(-794368408) 
viewPoint(794368408) -> viewPoint(-794368408) 
$r0(794368408) -> $r0(-794368408) 
$r2(794368408) -> $r2(-794368408) 
0(-794368408) -> 0(771222031) 
this(-794368408) -> this(771222031) 
e(-794368408) -> e(771222031) 
viewPoint(-794368408) -> viewPoint(771222031) 
$r0(-794368408) -> $r0(771222031) 
$r1(-794368408) -> $r1(771222031) 
$r2(-794368408) -> $r2(771222031) 
0(771222031) -> 0(268479239) 
this(771222031) -> this(268479239) 
e(771222031) -> e(268479239) 
viewPoint(771222031) -> viewPoint(268479239) 
$r0(771222031) -> $r0(268479239) 
$r1(771222031) -> $r1(268479239) 
$r2(771222031) -> $r2(268479239) 
0(268479239) -> 0(559248756) 
this(268479239) -> this(559248756) 
e(268479239) -> e(559248756) 
viewPoint(268479239) -> viewPoint(559248756) 
$r0(268479239) -> $r0(559248756) 
$r1(268479239) -> $r1(559248756) 
$r2(268479239) -> $r2(559248756) 
0(559248756) -> 0(-559248756) 
this(559248756) -> this(-559248756) 
e(559248756) -> e(-559248756) 
$r0(559248756) -> $r0(-559248756) 
$r1(559248756) -> $r1(-559248756) 
$r2(559248756) -> $r2(-559248756) 
0(-559248756) -> 0(1540658243) 
this(-559248756) -> this(1540658243) 
e(-559248756) -> e(1540658243) 
viewPoint(-559248756) -> viewPoint(1540658243) 
$r0(-559248756) -> $r0(1540658243) 
$r1(-559248756) -> $r1(1540658243) 
$r2(-559248756) -> $r2(1540658243) 
0(1540658243) -> 0(1221395788) 
this(1540658243) -> this(1221395788) 
e(1540658243) -> e(1221395788) 
viewPoint(1540658243) -> viewPoint(1221395788) 
$r0(1540658243) -> $r0(1221395788) 
$r1(1540658243) -> $r1(1221395788) 
$r2(1540658243) -> $r2(1221395788) 
0(1221395788) -> 0(860925312) 
this(1221395788) -> this(860925312) 
e(1221395788) -> e(860925312) 
viewPoint(1221395788) -> viewPoint(860925312) 
$r0(1221395788) -> $r0(860925312) 
$r1(1221395788) -> $r1(860925312) 
$r2(1221395788) -> $r2(860925312) 
0(860925312) -> 0(1974388945) 
this(860925312) -> this(1974388945) 
e(860925312) -> e(1974388945) 
viewPoint(860925312) -> viewPoint(1974388945) 
$r0(860925312) -> $r0(1974388945) 
$r1(860925312) -> $r1(1974388945) 
$r2(860925312) -> $r2(1974388945) 
0(1974388945) -> 0(-1974388945) 
this(1974388945) -> this(-1974388945) 
e(1974388945) -> e(-1974388945) 
viewPoint(1974388945) -> viewPoint(-1974388945) 
$r0(1974388945) -> $r0(-1974388945) 
$r1(1974388945) -> $r1(-1974388945) 
$r2(1974388945) -> $r2(-1974388945) 
0(-1974388945) -> 0(1631270467) 
this(-1974388945) -> this(1631270467) 
e(-1974388945) -> e(1631270467) 
viewPoint(-1974388945) -> viewPoint(1631270467) 
$r0(-1974388945) -> $r0(1631270467) 
$r1(-1974388945) -> $r1(1631270467) 
$r2(-1974388945) -> $r2(1631270467) 
0(1631270467) -> 0(-1631270467) 
this(1631270467) -> this(-1631270467) 
e(1631270467) -> e(-1631270467) 
viewPoint(1631270467) -> viewPoint(-1631270467) 
$r0(1631270467) -> $r0(-1631270467) 
$r1(1631270467) -> $r1(-1631270467) 
$r2(1631270467) -> $r2(-1631270467) 
0(-1631270467) -> 0(1916364428) 
this(-1631270467) -> this(1916364428) 
e(-1631270467) -> e(1916364428) 
viewPoint(-1631270467) -> viewPoint(1916364428) 
$r0(-1631270467) -> $r0(1916364428) 
$r1(-1631270467) -> $r1(1916364428) 
$r2(-1631270467) -> $r2(1916364428) 
0(1916364428) -> 0(290691886) 
this(1916364428) -> this(290691886) 
e(1916364428) -> e(290691886) 
viewPoint(1916364428) -> viewPoint(290691886) 
$r0(1916364428) -> $r0(290691886) 
$r1(1916364428) -> $r1(290691886) 
$r2(1916364428) -> $r2(290691886) 
0(290691886) -> 0(1536750965) 
this(290691886) -> this(1536750965) 
e(290691886) -> e(1536750965) 
viewPoint(290691886) -> viewPoint(1536750965) 
$r0(290691886) -> $r0(1536750965) 
$r1(290691886) -> $r1(1536750965) 
$r2(290691886) -> $r2(1536750965) 
0(1536750965) -> 0(387646286) 
this(1536750965) -> this(387646286) 
e(1536750965) -> e(387646286) 
viewPoint(1536750965) -> viewPoint(387646286) 
$r0(1536750965) -> $r0(387646286) 
$r1(1536750965) -> $r1(387646286) 
$r2(1536750965) -> $r2(387646286) 
0(387646286) -> 0(-387646286) 
this(387646286) -> this(-387646286) 
e(387646286) -> e(-387646286) 
viewPoint(387646286) -> viewPoint(-387646286) 
$r0(387646286) -> $r0(-387646286) 
$r1(387646286) -> $r1(-387646286) 
$r2(387646286) -> $r2(-387646286) 
0(-387646286) -> 0(90952869) 
this(-387646286) -> this(90952869) 
e(-387646286) -> e(90952869) 
viewPoint(-387646286) -> viewPoint(90952869) 
$r0(-387646286) -> $r0(90952869) 
$r1(-387646286) -> $r1(90952869) 
$r2(-387646286) -> $r2(90952869) 
0(90952869) -> 0(-90952869) 
this(90952869) -> this(-90952869) 
e(90952869) -> e(-90952869) 
viewPoint(90952869) -> viewPoint(-90952869) 
$r0(90952869) -> $r0(-90952869) 
$r1(90952869) -> $r1(-90952869) 
$r2(90952869) -> $r2(-90952869) 
0(-90952869) -> 0(458563248) 
this(-90952869) -> this(458563248) 
e(-90952869) -> e(458563248) 
viewPoint(-90952869) -> viewPoint(458563248) 
$r0(-90952869) -> $r0(458563248) 
$r1(-90952869) -> $r1(458563248) 
$r2(-90952869) -> $r2(458563248) 
0(458563248) -> 0(1901183700) 
this(458563248) -> this(1901183700) 
e(458563248) -> e(1901183700) 
viewPoint(458563248) -> viewPoint(1901183700) 
$r0(458563248) -> $r0(1901183700) 
$r1(458563248) -> $r1(1901183700) 
$r2(458563248) -> $r2(1901183700) 
0(1901183700) -> 0(1751726962) 
this(1901183700) -> this(1751726962) 
e(1901183700) -> e(1751726962) 
viewPoint(1901183700) -> viewPoint(1751726962) 
$r0(1901183700) -> $r0(1751726962) 
$r1(1901183700) -> $r1(1751726962) 
0(1751726962) -> 0(1421733611) 
this(1751726962) -> this(1421733611) 
e(1751726962) -> e(1421733611) 
viewPoint(1751726962) -> viewPoint(1421733611) 
$r0(1751726962) -> $r0(1421733611) 
$r1(1751726962) -> $r1(1421733611) 
$r2(1751726962) -> $r2(1421733611) 
0(1421733611) -> 0(462059102) 
this(1421733611) -> this(462059102) 
e(1421733611) -> e(462059102) 
viewPoint(1421733611) -> viewPoint(462059102) 
$r0(1421733611) -> $r0(462059102) 
$r1(1421733611) -> $r1(462059102) 
$r2(1421733611) -> $r2(462059102) 
0(462059102) -> 0(1374083994) 
this(462059102) -> this(1374083994) 
e(462059102) -> e(1374083994) 
viewPoint(462059102) -> viewPoint(1374083994) 
$r0(462059102) -> $r0(1374083994) 
$r1(462059102) -> $r1(1374083994) 
$r2(462059102) -> $r2(1374083994) 
0(1374083994) -> 0(190547320) 
this(1374083994) -> this(190547320) 
e(1374083994) -> e(190547320) 
viewPoint(1374083994) -> viewPoint(190547320) 
$r0(1374083994) -> $r0(190547320) 
$r1(1374083994) -> $r1(190547320) 
$r2(1374083994) -> $r2(190547320) 
0(190547320) -> 0(-1262327702) 
this(190547320) -> this(-1262327702) 
e(190547320) -> e(-1262327702) 
viewPoint(190547320) -> viewPoint(-1262327702) 
$r0(190547320) -> $r0(-1262327702) 
$r1(190547320) -> $r1(-1262327702) 
$r2(190547320) -> $r2(-1262327702) 
0(190547320) -> .return(-1262327702) 
