method: org.apache.fop.traits.LayoutProps.toString:1144498404
$r1(921808691) -> $r1(-921808691) 
$r2(921808691) -> $r2(-921808691) 
$r3(921808691) -> $r3(-921808691) 
0(-921808691) -> 0(655599687) 
this(-921808691) -> this(655599687) 
$r0(-921808691) -> $r0(655599687) 
$r1(-921808691) -> $r1(655599687) 
$r2(-921808691) -> $r2(655599687) 
$r3(-921808691) -> $r3(655599687) 
0(655599687) -> 0(-655599687) 
this(655599687) -> this(-655599687) 
$r1(655599687) -> $r1(-655599687) 
$r2(655599687) -> $r2(-655599687) 
$r3(655599687) -> $r3(-655599687) 
0(-655599687) -> 0(2072830299) 
this(-655599687) -> this(2072830299) 
$r0(-655599687) -> $r0(2072830299) 
$r1(-655599687) -> $r1(2072830299) 
$r2(-655599687) -> $r2(2072830299) 
$r3(-655599687) -> $r3(2072830299) 
0(2072830299) -> 0(-2072830299) 
this(2072830299) -> this(-2072830299) 
$r0(2072830299) -> $r0(-2072830299) 
$r1(2072830299) -> $r1(-2072830299) 
$r2(2072830299) -> $r2(-2072830299) 
0(-2072830299) -> 0(1579113659) 
this(-2072830299) -> this(1579113659) 
$r0(-2072830299) -> $r0(1579113659) 
$r1(-2072830299) -> $r1(1579113659) 
$r2(-2072830299) -> $r2(1579113659) 
$r3(-2072830299) -> $r3(1579113659) 
0(1579113659) -> 0(-1144498404) 
this(1579113659) -> this(-1144498404) 
$r0(1579113659) -> $r0(-1144498404) 
$r1(1579113659) -> $r1(-1144498404) 
$r2(1579113659) -> $r2(-1144498404) 
$r3(1579113659) -> $r3(-1144498404) 
$r3(1579113659) -> .return(-1144498404) 
