method: org.apache.fop.fonts.FontCache.isFailedFont:1637842073
$r2(1443066654) -> $r2(-1637842073) 
$r3(1443066654) -> $r3(-1637842073) 
0(2088428207) -> 0(1051885567) 
this(2088428207) -> this(1051885567) 
embedUrl(2088428207) -> embedUrl(1051885567) 
l4(2088428207) -> l4(1051885567) 
l7(2088428207) -> l7(1051885567) 
$r0(2088428207) -> $r0(1051885567) 
$r1(2088428207) -> $r1(1051885567) 
$r2(2088428207) -> $r2(1051885567) 
$r3(2088428207) -> $r3(1051885567) 
0(1740148481) -> 0(496993315) 
this(1740148481) -> this(496993315) 
embedUrl(1740148481) -> embedUrl(496993315) 
l4(1740148481) -> l4(496993315) 
$r0(1740148481) -> $r0(496993315) 
$r1(1740148481) -> $r1(496993315) 
$r2(1740148481) -> $r2(496993315) 
$r3(1740148481) -> l7(496993315) 
$r3(1740148481) -> $r3(496993315) 
0(496993315) -> 0(-1637842073) 
this(496993315) -> this(-1637842073) 
embedUrl(496993315) -> embedUrl(-1637842073) 
l4(496993315) -> l4(-1637842073) 
l7(496993315) -> l7(-1637842073) 
$r0(496993315) -> $r0(-1637842073) 
$r1(496993315) -> $r1(-1637842073) 
$r2(496993315) -> $r2(-1637842073) 
$r3(496993315) -> $r3(-1637842073) 
0(1051885567) -> 0(-1637842073) 
this(1051885567) -> this(-1637842073) 
embedUrl(1051885567) -> embedUrl(-1637842073) 
l4(1051885567) -> l4(-1637842073) 
l7(1051885567) -> l7(-1637842073) 
$r0(1051885567) -> $r0(-1637842073) 
$r1(1051885567) -> $r1(-1637842073) 
$r2(1051885567) -> $r2(-1637842073) 
$r3(1051885567) -> $r3(-1637842073) 
0(1051885567) -> .return(-1637842073) 
0(1853064283) -> 0(-1637842073) 
this(1853064283) -> this(-1637842073) 
embedUrl(1853064283) -> embedUrl(-1637842073) 
l4(1853064283) -> l4(-1637842073) 
l7(1853064283) -> l7(-1637842073) 
$r0(1853064283) -> $r0(-1637842073) 
$r1(1853064283) -> $r1(-1637842073) 
$r2(1853064283) -> $r2(-1637842073) 
$r3(1853064283) -> $r3(-1637842073) 
0(1853064283) -> .return(-1637842073) 
