method: org.apache.fop.fonts.Font.getKernValue:1388567425
this(2054717941) -> this(-1388567425) 
$r0(2054717941) -> $r0(-1388567425) 
kernPair(2054717941) -> kernPair(-1388567425) 
width(2054717941) -> width(-1388567425) 
$r1(2054717941) -> $r1(-1388567425) 
$r2(2054717941) -> $r2(-1388567425) 
0(2054717941) -> .return(-1388567425) 
0(466478018) -> 0(-1388567425) 
this(466478018) -> this(-1388567425) 
$r0(466478018) -> $r0(-1388567425) 
kernPair(466478018) -> kernPair(-1388567425) 
width(466478018) -> width(-1388567425) 
$r1(466478018) -> $r1(-1388567425) 
$r2(466478018) -> $r2(-1388567425) 
0(466478018) -> .return(-1388567425) 
