method: org.apache.fop.render.ps.NativeTextHandler.createFont:2132495711
this(1045422659) -> this(179708632) 
f(1045422659) -> f(179708632) 
fontFamily(1045422659) -> fontFamily(179708632) 
style(1045422659) -> style(179708632) 
triplet(1045422659) -> triplet(179708632) 
$r0(1045422659) -> $r0(179708632) 
$r1(1045422659) -> $r1(179708632) 
$r2(1045422659) -> $r2(179708632) 
0(179708632) -> 0(-179708632) 
this(179708632) -> this(-179708632) 
f(179708632) -> f(-179708632) 
fontFamily(179708632) -> fontFamily(-179708632) 
style(179708632) -> style(-179708632) 
triplet(179708632) -> triplet(-179708632) 
$r0(179708632) -> $r0(-179708632) 
$r1(179708632) -> $r1(-179708632) 
0(-179708632) -> 0(1000970342) 
this(-179708632) -> this(1000970342) 
f(-179708632) -> f(1000970342) 
fontFamily(-179708632) -> fontFamily(1000970342) 
style(-179708632) -> style(1000970342) 
triplet(-179708632) -> triplet(1000970342) 
$r0(-179708632) -> $r0(1000970342) 
$r1(-179708632) -> $r1(1000970342) 
$r2(-179708632) -> $r2(1000970342) 
0(1000970342) -> 0(-2132495711) 
this(1000970342) -> this(-2132495711) 
f(1000970342) -> f(-2132495711) 
fontFamily(1000970342) -> fontFamily(-2132495711) 
style(1000970342) -> style(-2132495711) 
triplet(1000970342) -> triplet(-2132495711) 
$r0(1000970342) -> $r0(-2132495711) 
$r1(1000970342) -> $r1(-2132495711) 
$r2(1000970342) -> $r2(-2132495711) 
$r2(1000970342) -> .return(-2132495711) 
