method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfExternalGraphic.computeImageSize:2065798751
$r1(-1740793696) -> $r1(202441944) 
$r2(-1740793696) -> $r2(202441944) 
0(202441944) -> 0(568455959) 
this(202441944) -> this(568455959) 
$r0(202441944) -> $r0(568455959) 
$r1(202441944) -> $r1(568455959) 
$r2(202441944) -> $r2(568455959) 
0(202441944) -> 0(1162138101) 
this(202441944) -> this(1162138101) 
$r0(202441944) -> $r0(1162138101) 
$r1(202441944) -> $r1(1162138101) 
$r2(202441944) -> $r2(1162138101) 
0(1162138101) -> 0(692433624) 
this(1162138101) -> this(692433624) 
$r0(1162138101) -> $r0(692433624) 
$r1(1162138101) -> $r1(692433624) 
$r2(1162138101) -> $r2(692433624) 
0(692433624) -> 0(2039629964) 
this(692433624) -> this(2039629964) 
$r0(692433624) -> $r0(2039629964) 
$r1(692433624) -> $r1(2039629964) 
$r2(692433624) -> $r2(2039629964) 
0(2039629964) -> 0(-2039629964) 
this(2039629964) -> this(-2039629964) 
$r0(2039629964) -> $r0(-2039629964) 
$r1(2039629964) -> $r1(-2039629964) 
$r2(2039629964) -> $r2(-2039629964) 
0(-2039629964) -> 0(204195178) 
this(-2039629964) -> this(204195178) 
$r0(-2039629964) -> $r0(204195178) 
$r1(-2039629964) -> $r1(204195178) 
$r2(-2039629964) -> $r2(204195178) 
0(204195178) -> 0(1881080040) 
this(204195178) -> this(1881080040) 
$r0(204195178) -> $r0(1881080040) 
$r1(204195178) -> $r1(1881080040) 
$r2(204195178) -> $r2(1881080040) 
0(204195178) -> 0(565565933) 
this(204195178) -> this(565565933) 
$r0(204195178) -> $r0(565565933) 
$r1(204195178) -> $r1(565565933) 
$r2(204195178) -> $r2(565565933) 
0(565565933) -> 0(1881080040) 
this(565565933) -> this(1881080040) 
$r0(565565933) -> $r0(1881080040) 
$r1(565565933) -> $r1(1881080040) 
$r2(565565933) -> $r2(1881080040) 
0(1881080040) -> 0(562582248) 
this(1881080040) -> this(562582248) 
$r0(1881080040) -> $r0(562582248) 
$r1(1881080040) -> $r1(562582248) 
$r2(1881080040) -> $r2(562582248) 
0(562582248) -> 0(-562582248) 
this(562582248) -> this(-562582248) 
$r0(562582248) -> $r0(-562582248) 
$r1(562582248) -> $r1(-562582248) 
$r2(562582248) -> $r2(-562582248) 
0(-562582248) -> 0(1182254624) 
this(-562582248) -> this(1182254624) 
$r0(-562582248) -> $r0(1182254624) 
$r1(-562582248) -> $r1(1182254624) 
$r2(-562582248) -> $r2(1182254624) 
0(1182254624) -> 0(568455959) 
this(1182254624) -> this(568455959) 
$r0(1182254624) -> $r0(568455959) 
$r1(1182254624) -> $r1(568455959) 
$r2(1182254624) -> $r2(568455959) 
0(1182254624) -> 0(180577310) 
this(1182254624) -> this(180577310) 
$r0(1182254624) -> $r0(180577310) 
$r1(1182254624) -> $r1(180577310) 
$r2(1182254624) -> $r2(180577310) 
0(180577310) -> 0(568455959) 
this(180577310) -> this(568455959) 
$r0(180577310) -> $r0(568455959) 
$r1(180577310) -> $r1(568455959) 
$r2(180577310) -> $r2(568455959) 
0(568455959) -> 0(-2065798751) 
this(568455959) -> this(-2065798751) 
$r0(568455959) -> $r0(-2065798751) 
$r1(568455959) -> $r1(-2065798751) 
$r2(568455959) -> $r2(-2065798751) 
0(568455959) -> .return(-2065798751) 
