method: org.apache.fop.layoutmgr.PageBreakingAlgorithm.restartFrom:1608707226
restartingNode(323373855) -> restartingNode(49827556) 
resettedElement(323373855) -> resettedElement(49827556) 
$r0(323373855) -> $r0(49827556) 
$r1(323373855) -> $r1(49827556) 
$r2(323373855) -> $r2(49827556) 
0(323373855) -> 0(550495323) 
this(323373855) -> this(550495323) 
restartingNode(323373855) -> restartingNode(550495323) 
resettedElement(323373855) -> resettedElement(550495323) 
$r0(323373855) -> $r0(550495323) 
$r1(323373855) -> $r1(550495323) 
$r2(323373855) -> $r2(550495323) 
0(550495323) -> 0(-550495323) 
this(550495323) -> this(-550495323) 
restartingNode(550495323) -> restartingNode(-550495323) 
$r0(550495323) -> $r0(-550495323) 
$r1(550495323) -> $r1(-550495323) 
$r2(550495323) -> $r2(-550495323) 
0(-550495323) -> 0(366313188) 
this(-550495323) -> this(366313188) 
restartingNode(-550495323) -> restartingNode(366313188) 
resettedElement(-550495323) -> resettedElement(366313188) 
$r0(-550495323) -> $r0(366313188) 
$r1(-550495323) -> $r1(366313188) 
$r2(-550495323) -> $r2(366313188) 
0(366313188) -> 0(1937618414) 
this(366313188) -> this(1937618414) 
restartingNode(366313188) -> restartingNode(1937618414) 
resettedElement(366313188) -> resettedElement(1937618414) 
$r0(366313188) -> $r0(1937618414) 
$r1(366313188) -> $r1(1937618414) 
$r2(366313188) -> $r2(1937618414) 
0(1937618414) -> 0(1309822124) 
this(1937618414) -> this(1309822124) 
restartingNode(1937618414) -> restartingNode(1309822124) 
resettedElement(1937618414) -> resettedElement(1309822124) 
$r0(1937618414) -> $r0(1309822124) 
$r1(1937618414) -> $r1(1309822124) 
$r2(1937618414) -> $r2(1309822124) 
0(1937618414) -> 0(951399206) 
this(1937618414) -> this(951399206) 
restartingNode(1937618414) -> restartingNode(951399206) 
resettedElement(1937618414) -> resettedElement(951399206) 
$r0(1937618414) -> $r0(951399206) 
$r1(1937618414) -> $r1(951399206) 
$r2(1937618414) -> $r2(951399206) 
0(951399206) -> 0(3219680) 
this(951399206) -> this(3219680) 
restartingNode(951399206) -> restartingNode(3219680) 
resettedElement(951399206) -> $r0(3219680) 
resettedElement(951399206) -> resettedElement(3219680) 
$r1(951399206) -> $r1(3219680) 
$r2(951399206) -> $r2(3219680) 
0(3219680) -> 0(-3219680) 
this(3219680) -> this(-3219680) 
restartingNode(3219680) -> restartingNode(-3219680) 
resettedElement(3219680) -> resettedElement(-3219680) 
$r0(3219680) -> $r0(-3219680) 
$r1(3219680) -> $r1(-3219680) 
$r2(3219680) -> $r2(-3219680) 
0(-3219680) -> 0(426070585) 
this(-3219680) -> this(426070585) 
restartingNode(-3219680) -> restartingNode(426070585) 
resettedElement(-3219680) -> resettedElement(426070585) 
$r0(-3219680) -> $r0(426070585) 
$r1(-3219680) -> $r1(426070585) 
$r2(-3219680) -> $r2(426070585) 
0(426070585) -> 0(1309822124) 
this(426070585) -> this(1309822124) 
restartingNode(426070585) -> restartingNode(1309822124) 
resettedElement(426070585) -> resettedElement(1309822124) 
$r0(426070585) -> $r0(1309822124) 
$r1(426070585) -> $r1(1309822124) 
$r2(426070585) -> $r2(1309822124) 
0(426070585) -> 0(1410362658) 
this(426070585) -> this(1410362658) 
restartingNode(426070585) -> restartingNode(1410362658) 
resettedElement(426070585) -> resettedElement(1410362658) 
$r0(426070585) -> $r0(1410362658) 
$r1(426070585) -> $r1(1410362658) 
$r2(426070585) -> $r2(1410362658) 
0(1410362658) -> 0(40697420) 
this(1410362658) -> this(40697420) 
restartingNode(1410362658) -> restartingNode(40697420) 
resettedElement(1410362658) -> $r1(40697420) 
resettedElement(1410362658) -> resettedElement(40697420) 
$r0(1410362658) -> $r0(40697420) 
$r2(1410362658) -> $r2(40697420) 
0(40697420) -> 0(-40697420) 
this(40697420) -> this(-40697420) 
restartingNode(40697420) -> restartingNode(-40697420) 
resettedElement(40697420) -> resettedElement(-40697420) 
$r0(40697420) -> $r0(-40697420) 
$r1(40697420) -> $r1(-40697420) 
0(-40697420) -> 0(1101738194) 
this(-40697420) -> this(1101738194) 
restartingNode(-40697420) -> restartingNode(1101738194) 
resettedElement(-40697420) -> resettedElement(1101738194) 
$r0(-40697420) -> $r0(1101738194) 
$r1(-40697420) -> $r1(1101738194) 
$r2(-40697420) -> $r2(1101738194) 
0(1101738194) -> 0(1309822124) 
this(1101738194) -> this(1309822124) 
restartingNode(1101738194) -> restartingNode(1309822124) 
resettedElement(1101738194) -> resettedElement(1309822124) 
$r0(1101738194) -> $r0(1309822124) 
$r1(1101738194) -> $r1(1309822124) 
$r2(1101738194) -> $r2(1309822124) 
0(1309822124) -> 0(325572671) 
this(1309822124) -> this(325572671) 
restartingNode(1309822124) -> restartingNode(325572671) 
resettedElement(1309822124) -> resettedElement(325572671) 
$r0(1309822124) -> $r0(325572671) 
$r1(1309822124) -> $r1(325572671) 
$r2(1309822124) -> $r2(325572671) 
0(325572671) -> 0(466902399) 
this(325572671) -> this(466902399) 
restartingNode(325572671) -> restartingNode(466902399) 
resettedElement(325572671) -> resettedElement(466902399) 
$r0(325572671) -> $r0(466902399) 
$r1(325572671) -> $r1(466902399) 
$r2(325572671) -> $r2(466902399) 
0(49827556) -> 0(-1608707226) 
this(49827556) -> this(-1608707226) 
restartingNode(49827556) -> restartingNode(-1608707226) 
resettedElement(49827556) -> resettedElement(-1608707226) 
$r0(49827556) -> $r0(-1608707226) 
$r1(49827556) -> $r1(-1608707226) 
$r2(49827556) -> $r2(-1608707226) 
0(49827556) -> .return(-1608707226) 
