method: org.apache.fop.render.print.PrintRenderer.getPageFormat:1133029265
0(1565551709) -> 0(1056411416) 
this(1565551709) -> this(1056411416) 
pageFormat(1565551709) -> pageFormat(1056411416) 
dim(1565551709) -> dim(1056411416) 
fopEx(1565551709) -> fopEx(1056411416) 
$r0(1565551709) -> $r0(1056411416) 
$r1(1565551709) -> paper(1056411416) 
$r1(1565551709) -> $r1(1056411416) 
$r2(1565551709) -> $r2(1056411416) 
$r3(1565551709) -> $r3(1056411416) 
$r4(1565551709) -> $r4(1056411416) 
$r5(1565551709) -> $r5(1056411416) 
0(1056411416) -> 0(-1056411416) 
this(1056411416) -> this(-1056411416) 
pageFormat(1056411416) -> pageFormat(-1056411416) 
paper(1056411416) -> paper(-1056411416) 
dim(1056411416) -> dim(-1056411416) 
fopEx(1056411416) -> fopEx(-1056411416) 
$r0(1056411416) -> $r0(-1056411416) 
$r1(1056411416) -> $r1(-1056411416) 
$r3(1056411416) -> $r3(-1056411416) 
$r4(1056411416) -> $r4(-1056411416) 
$r5(1056411416) -> $r5(-1056411416) 
0(-1056411416) -> 0(64059997) 
this(-1056411416) -> this(64059997) 
pageFormat(-1056411416) -> pageFormat(64059997) 
paper(-1056411416) -> paper(64059997) 
dim(-1056411416) -> dim(64059997) 
fopEx(-1056411416) -> fopEx(64059997) 
$r0(-1056411416) -> $r0(64059997) 
$r1(-1056411416) -> $r1(64059997) 
$r2(-1056411416) -> $r2(64059997) 
$r3(-1056411416) -> $r3(64059997) 
$r4(-1056411416) -> $r4(64059997) 
$r5(-1056411416) -> $r5(64059997) 
0(64059997) -> 0(-64059997) 
this(64059997) -> this(-64059997) 
pageFormat(64059997) -> pageFormat(-64059997) 
paper(64059997) -> paper(-64059997) 
fopEx(64059997) -> fopEx(-64059997) 
$r0(64059997) -> $r0(-64059997) 
$r1(64059997) -> $r1(-64059997) 
$r2(64059997) -> $r2(-64059997) 
$r3(64059997) -> $r3(-64059997) 
$r4(64059997) -> $r4(-64059997) 
$r5(64059997) -> $r5(-64059997) 
0(-64059997) -> 0(1445251903) 
this(-64059997) -> this(1445251903) 
pageFormat(-64059997) -> pageFormat(1445251903) 
paper(-64059997) -> paper(1445251903) 
dim(-64059997) -> dim(1445251903) 
fopEx(-64059997) -> fopEx(1445251903) 
$r0(-64059997) -> $r0(1445251903) 
$r1(-64059997) -> $r1(1445251903) 
$r2(-64059997) -> $r2(1445251903) 
$r3(-64059997) -> $r3(1445251903) 
$r4(-64059997) -> $r4(1445251903) 
$r5(-64059997) -> $r5(1445251903) 
0(1445251903) -> 0(-1445251903) 
this(1445251903) -> this(-1445251903) 
pageFormat(1445251903) -> pageFormat(-1445251903) 
paper(1445251903) -> paper(-1445251903) 
dim(1445251903) -> dim(-1445251903) 
fopEx(1445251903) -> fopEx(-1445251903) 
$r0(1445251903) -> $r0(-1445251903) 
$r1(1445251903) -> $r1(-1445251903) 
$r2(1445251903) -> $r2(-1445251903) 
$r3(1445251903) -> $r3(-1445251903) 
$r4(1445251903) -> $r4(-1445251903) 
$r5(1445251903) -> $r5(-1445251903) 
0(-1445251903) -> 0(1759433156) 
this(-1445251903) -> this(1759433156) 
pageFormat(-1445251903) -> pageFormat(1759433156) 
paper(-1445251903) -> paper(1759433156) 
dim(-1445251903) -> dim(1759433156) 
fopEx(-1445251903) -> fopEx(1759433156) 
$r0(-1445251903) -> $r0(1759433156) 
$r1(-1445251903) -> $r1(1759433156) 
$r2(-1445251903) -> $r2(1759433156) 
$r3(-1445251903) -> $r3(1759433156) 
$r4(-1445251903) -> $r4(1759433156) 
$r5(-1445251903) -> $r5(1759433156) 
0(1759433156) -> 0(-1759433156) 
this(1759433156) -> this(-1759433156) 
pageFormat(1759433156) -> pageFormat(-1759433156) 
paper(1759433156) -> paper(-1759433156) 
dim(1759433156) -> dim(-1759433156) 
fopEx(1759433156) -> fopEx(-1759433156) 
$r0(1759433156) -> $r0(-1759433156) 
$r1(1759433156) -> $r1(-1759433156) 
$r2(1759433156) -> $r2(-1759433156) 
$r3(1759433156) -> $r3(-1759433156) 
$r4(1759433156) -> $r4(-1759433156) 
$r5(1759433156) -> $r5(-1759433156) 
0(-1759433156) -> 0(1546197156) 
this(-1759433156) -> this(1546197156) 
pageFormat(-1759433156) -> pageFormat(1546197156) 
paper(-1759433156) -> paper(1546197156) 
dim(-1759433156) -> dim(1546197156) 
fopEx(-1759433156) -> fopEx(1546197156) 
$r0(-1759433156) -> $r0(1546197156) 
$r1(-1759433156) -> $r1(1546197156) 
$r2(-1759433156) -> $r2(1546197156) 
$r3(-1759433156) -> $r3(1546197156) 
$r4(-1759433156) -> $r4(1546197156) 
$r5(-1759433156) -> $r5(1546197156) 
0(1546197156) -> 0(235988545) 
this(1546197156) -> this(235988545) 
pageFormat(1546197156) -> pageFormat(235988545) 
paper(1546197156) -> paper(235988545) 
dim(1546197156) -> dim(235988545) 
fopEx(1546197156) -> fopEx(235988545) 
$r0(1546197156) -> $r0(235988545) 
$r1(1546197156) -> $r1(235988545) 
$r2(1546197156) -> $r2(235988545) 
$r3(1546197156) -> $r3(235988545) 
$r4(1546197156) -> $r4(235988545) 
$r5(1546197156) -> $r5(235988545) 
0(235988545) -> 0(989596062) 
this(235988545) -> this(989596062) 
pageFormat(235988545) -> pageFormat(989596062) 
paper(235988545) -> paper(989596062) 
dim(235988545) -> dim(989596062) 
fopEx(235988545) -> fopEx(989596062) 
$r0(235988545) -> $r0(989596062) 
$r1(235988545) -> $r1(989596062) 
$r2(235988545) -> $r2(989596062) 
$r3(235988545) -> $r3(989596062) 
$r4(235988545) -> $r4(989596062) 
$r5(235988545) -> $r5(989596062) 
0(235988545) -> 0(1709289467) 
this(235988545) -> this(1709289467) 
pageFormat(235988545) -> pageFormat(1709289467) 
paper(235988545) -> paper(1709289467) 
dim(235988545) -> dim(1709289467) 
fopEx(235988545) -> fopEx(1709289467) 
$r0(235988545) -> $r0(1709289467) 
$r1(235988545) -> $r1(1709289467) 
$r2(235988545) -> $r2(1709289467) 
$r3(235988545) -> $r3(1709289467) 
$r4(235988545) -> $r4(1709289467) 
$r5(235988545) -> $r5(1709289467) 
0(1709289467) -> 0(938690045) 
this(1709289467) -> this(938690045) 
pageFormat(1709289467) -> pageFormat(938690045) 
paper(1709289467) -> paper(938690045) 
dim(1709289467) -> dim(938690045) 
fopEx(1709289467) -> fopEx(938690045) 
$r0(1709289467) -> $r0(938690045) 
$r1(1709289467) -> $r1(938690045) 
$r2(1709289467) -> $r2(938690045) 
$r3(1709289467) -> $r3(938690045) 
$r4(1709289467) -> $r4(938690045) 
$r5(1709289467) -> $r5(938690045) 
0(938690045) -> 0(1148715453) 
this(938690045) -> this(1148715453) 
pageFormat(938690045) -> pageFormat(1148715453) 
paper(938690045) -> paper(1148715453) 
dim(938690045) -> dim(1148715453) 
fopEx(938690045) -> fopEx(1148715453) 
$r0(938690045) -> $r0(1148715453) 
$r1(938690045) -> $r1(1148715453) 
$r2(938690045) -> $r2(1148715453) 
$r3(938690045) -> $r3(1148715453) 
$r4(938690045) -> $r4(1148715453) 
$r5(938690045) -> $r5(1148715453) 
0(1148715453) -> 0(130899456) 
this(1148715453) -> this(130899456) 
pageFormat(1148715453) -> pageFormat(130899456) 
paper(1148715453) -> paper(130899456) 
dim(1148715453) -> dim(130899456) 
fopEx(1148715453) -> fopEx(130899456) 
$r0(1148715453) -> $r0(130899456) 
$r1(1148715453) -> $r1(130899456) 
$r2(1148715453) -> $r2(130899456) 
$r3(1148715453) -> $r3(130899456) 
$r4(1148715453) -> $r4(130899456) 
$r5(1148715453) -> $r5(130899456) 
0(130899456) -> 0(1344399013) 
this(130899456) -> this(1344399013) 
pageFormat(130899456) -> pageFormat(1344399013) 
paper(130899456) -> paper(1344399013) 
dim(130899456) -> dim(1344399013) 
fopEx(130899456) -> fopEx(1344399013) 
$r0(130899456) -> $r0(1344399013) 
$r1(130899456) -> $r1(1344399013) 
$r2(130899456) -> $r2(1344399013) 
$r3(130899456) -> $r3(1344399013) 
$r4(130899456) -> $r4(1344399013) 
$r5(130899456) -> $r5(1344399013) 
0(1344399013) -> 0(1638761404) 
this(1344399013) -> this(1638761404) 
pageFormat(1344399013) -> pageFormat(1638761404) 
paper(1344399013) -> paper(1638761404) 
dim(1344399013) -> dim(1638761404) 
fopEx(1344399013) -> fopEx(1638761404) 
$r0(1344399013) -> $r0(1638761404) 
$r1(1344399013) -> $r1(1638761404) 
$r2(1344399013) -> $r2(1638761404) 
$r3(1344399013) -> $r3(1638761404) 
$r4(1344399013) -> $r4(1638761404) 
$r5(1344399013) -> $r5(1638761404) 
0(1638761404) -> 0(1439254306) 
this(1638761404) -> this(1439254306) 
pageFormat(1638761404) -> pageFormat(1439254306) 
paper(1638761404) -> paper(1439254306) 
dim(1638761404) -> dim(1439254306) 
fopEx(1638761404) -> fopEx(1439254306) 
$r0(1638761404) -> $r0(1439254306) 
$r1(1638761404) -> $r1(1439254306) 
$r2(1638761404) -> $r2(1439254306) 
$r3(1638761404) -> $r3(1439254306) 
$r4(1638761404) -> $r4(1439254306) 
$r5(1638761404) -> $r5(1439254306) 
0(1439254306) -> 0(291321134) 
this(1439254306) -> this(291321134) 
pageFormat(1439254306) -> pageFormat(291321134) 
paper(1439254306) -> paper(291321134) 
dim(1439254306) -> dim(291321134) 
fopEx(1439254306) -> fopEx(291321134) 
$r0(1439254306) -> $r0(291321134) 
$r1(1439254306) -> $r1(291321134) 
$r2(1439254306) -> $r2(291321134) 
$r3(1439254306) -> $r3(291321134) 
$r4(1439254306) -> $r4(291321134) 
$r5(1439254306) -> $r5(291321134) 
0(291321134) -> 0(1630142380) 
this(291321134) -> this(1630142380) 
pageFormat(291321134) -> pageFormat(1630142380) 
paper(291321134) -> paper(1630142380) 
dim(291321134) -> dim(1630142380) 
fopEx(291321134) -> fopEx(1630142380) 
$r0(291321134) -> $r0(1630142380) 
$r1(291321134) -> $r1(1630142380) 
$r2(291321134) -> $r2(1630142380) 
$r3(291321134) -> $r3(1630142380) 
$r4(291321134) -> $r4(1630142380) 
$r5(291321134) -> $r5(1630142380) 
0(989596062) -> 0(580778529) 
this(989596062) -> this(580778529) 
pageFormat(989596062) -> pageFormat(580778529) 
paper(989596062) -> paper(580778529) 
dim(989596062) -> dim(580778529) 
fopEx(989596062) -> fopEx(580778529) 
$r0(989596062) -> $r0(580778529) 
$r1(989596062) -> $r1(580778529) 
$r2(989596062) -> $r2(580778529) 
$r3(989596062) -> $r3(580778529) 
$r4(989596062) -> $r4(580778529) 
$r5(989596062) -> $r5(580778529) 
0(580778529) -> 0(831561288) 
this(580778529) -> this(831561288) 
pageFormat(580778529) -> pageFormat(831561288) 
paper(580778529) -> paper(831561288) 
dim(580778529) -> dim(831561288) 
fopEx(580778529) -> fopEx(831561288) 
$r0(580778529) -> $r0(831561288) 
$r1(580778529) -> $r1(831561288) 
$r2(580778529) -> $r2(831561288) 
$r3(580778529) -> $r3(831561288) 
$r4(580778529) -> $r4(831561288) 
$r5(580778529) -> $r5(831561288) 
0(831561288) -> 0(952695486) 
this(831561288) -> this(952695486) 
pageFormat(831561288) -> pageFormat(952695486) 
paper(831561288) -> paper(952695486) 
dim(831561288) -> dim(952695486) 
fopEx(831561288) -> fopEx(952695486) 
$r0(831561288) -> $r0(952695486) 
$r1(831561288) -> $r1(952695486) 
$r2(831561288) -> $r2(952695486) 
$r3(831561288) -> $r3(952695486) 
$r4(831561288) -> $r4(952695486) 
$r5(831561288) -> $r5(952695486) 
0(952695486) -> 0(1401842465) 
this(952695486) -> this(1401842465) 
pageFormat(952695486) -> pageFormat(1401842465) 
paper(952695486) -> paper(1401842465) 
dim(952695486) -> dim(1401842465) 
fopEx(952695486) -> fopEx(1401842465) 
$r0(952695486) -> $r0(1401842465) 
$r1(952695486) -> $r1(1401842465) 
$r2(952695486) -> $r2(1401842465) 
$r3(952695486) -> $r3(1401842465) 
$r4(952695486) -> $r4(1401842465) 
$r5(952695486) -> $r5(1401842465) 
0(1401842465) -> 0(723218018) 
this(1401842465) -> this(723218018) 
pageFormat(1401842465) -> pageFormat(723218018) 
paper(1401842465) -> paper(723218018) 
dim(1401842465) -> dim(723218018) 
fopEx(1401842465) -> fopEx(723218018) 
$r0(1401842465) -> $r0(723218018) 
$r1(1401842465) -> $r1(723218018) 
$r2(1401842465) -> $r2(723218018) 
$r3(1401842465) -> $r3(723218018) 
$r4(1401842465) -> $r4(723218018) 
$r5(1401842465) -> $r5(723218018) 
0(723218018) -> 0(1091229513) 
this(723218018) -> this(1091229513) 
pageFormat(723218018) -> pageFormat(1091229513) 
paper(723218018) -> paper(1091229513) 
dim(723218018) -> dim(1091229513) 
fopEx(723218018) -> fopEx(1091229513) 
$r0(723218018) -> $r0(1091229513) 
$r1(723218018) -> $r1(1091229513) 
$r2(723218018) -> $r2(1091229513) 
$r3(723218018) -> $r3(1091229513) 
$r4(723218018) -> $r4(1091229513) 
$r5(723218018) -> $r5(1091229513) 
0(1091229513) -> 0(1630142380) 
this(1091229513) -> this(1630142380) 
pageFormat(1091229513) -> pageFormat(1630142380) 
paper(1091229513) -> paper(1630142380) 
dim(1091229513) -> dim(1630142380) 
fopEx(1091229513) -> fopEx(1630142380) 
$r0(1091229513) -> $r0(1630142380) 
$r1(1091229513) -> $r1(1630142380) 
$r2(1091229513) -> $r2(1630142380) 
$r3(1091229513) -> $r3(1630142380) 
$r4(1091229513) -> $r4(1630142380) 
$r5(1091229513) -> $r5(1630142380) 
0(1630142380) -> 0(50759639) 
this(1630142380) -> this(50759639) 
pageFormat(1630142380) -> pageFormat(50759639) 
paper(1630142380) -> paper(50759639) 
dim(1630142380) -> dim(50759639) 
fopEx(1630142380) -> fopEx(50759639) 
$r0(1630142380) -> $r0(50759639) 
$r1(1630142380) -> $r1(50759639) 
$r2(1630142380) -> $r2(50759639) 
$r3(1630142380) -> $r3(50759639) 
$r4(1630142380) -> $r4(50759639) 
$r5(1630142380) -> $r5(50759639) 
0(50759639) -> 0(-1133029265) 
this(50759639) -> this(-1133029265) 
pageFormat(50759639) -> pageFormat(-1133029265) 
paper(50759639) -> paper(-1133029265) 
dim(50759639) -> dim(-1133029265) 
fopEx(50759639) -> fopEx(-1133029265) 
$r0(50759639) -> $r0(-1133029265) 
$r1(50759639) -> $r1(-1133029265) 
$r2(50759639) -> $r2(-1133029265) 
$r3(50759639) -> $r3(-1133029265) 
$r4(50759639) -> $r4(-1133029265) 
$r5(50759639) -> $r5(-1133029265) 
pageFormat(50759639) -> .return(-1133029265) 
0(566244814) -> 0(1376549041) 
this(566244814) -> this(1376549041) 
pageFormat(566244814) -> pageFormat(1376549041) 
paper(566244814) -> paper(1376549041) 
dim(566244814) -> dim(1376549041) 
$r0(566244814) -> $r0(1376549041) 
$r1(566244814) -> $r1(1376549041) 
$r2(566244814) -> $r2(1376549041) 
$r3(566244814) -> fopEx(1376549041) 
$r3(566244814) -> $r3(1376549041) 
$r4(566244814) -> $r4(1376549041) 
$r5(566244814) -> $r5(1376549041) 
0(1376549041) -> 0(1378832686) 
this(1376549041) -> this(1378832686) 
pageFormat(1376549041) -> pageFormat(1378832686) 
paper(1376549041) -> paper(1378832686) 
dim(1376549041) -> dim(1378832686) 
fopEx(1376549041) -> fopEx(1378832686) 
$r0(1376549041) -> $r0(1378832686) 
$r1(1376549041) -> $r1(1378832686) 
$r2(1376549041) -> $r2(1378832686) 
$r3(1376549041) -> $r3(1378832686) 
$r5(1376549041) -> $r5(1378832686) 
0(1378832686) -> 0(-1378832686) 
this(1378832686) -> this(-1378832686) 
pageFormat(1378832686) -> pageFormat(-1378832686) 
paper(1378832686) -> paper(-1378832686) 
dim(1378832686) -> dim(-1378832686) 
fopEx(1378832686) -> fopEx(-1378832686) 
$r0(1378832686) -> $r0(-1378832686) 
$r1(1378832686) -> $r1(-1378832686) 
$r2(1378832686) -> $r2(-1378832686) 
$r3(1378832686) -> $r3(-1378832686) 
$r4(1378832686) -> $r4(-1378832686) 
0(-1378832686) -> 0(544918825) 
this(-1378832686) -> this(544918825) 
pageFormat(-1378832686) -> pageFormat(544918825) 
paper(-1378832686) -> paper(544918825) 
dim(-1378832686) -> dim(544918825) 
fopEx(-1378832686) -> fopEx(544918825) 
$r0(-1378832686) -> $r0(544918825) 
$r1(-1378832686) -> $r1(544918825) 
$r2(-1378832686) -> $r2(544918825) 
$r3(-1378832686) -> $r3(544918825) 
$r4(-1378832686) -> $r4(544918825) 
$r5(-1378832686) -> $r5(544918825) 
0(544918825) -> 0(1580420967) 
this(544918825) -> this(1580420967) 
pageFormat(544918825) -> pageFormat(1580420967) 
paper(544918825) -> paper(1580420967) 
dim(544918825) -> dim(1580420967) 
fopEx(544918825) -> fopEx(1580420967) 
$r0(544918825) -> $r0(1580420967) 
$r1(544918825) -> $r1(1580420967) 
$r2(544918825) -> $r2(1580420967) 
$r3(544918825) -> $r3(1580420967) 
$r4(544918825) -> $r4(1580420967) 
$r5(544918825) -> $r5(1580420967) 
