method: org.apache.fop.traits.BorderProps.toString:351210445
$r0(2030784476) -> $r0(-2030784476) 
sbuf(2030784476) -> sbuf(-2030784476) 
$r2(2030784476) -> $r2(-2030784476) 
$r3(2030784476) -> $r3(-2030784476) 
0(-2030784476) -> 0(493063948) 
this(-2030784476) -> this(493063948) 
$r0(-2030784476) -> $r0(493063948) 
sbuf(-2030784476) -> sbuf(493063948) 
$r1(-2030784476) -> $r1(493063948) 
$r2(-2030784476) -> $r2(493063948) 
$r3(-2030784476) -> $r3(493063948) 
0(493063948) -> 0(1933863910) 
this(493063948) -> this(1933863910) 
$r0(493063948) -> $r0(1933863910) 
sbuf(493063948) -> sbuf(1933863910) 
$r1(493063948) -> $r1(1933863910) 
$r2(493063948) -> $r2(1933863910) 
$r3(493063948) -> $r3(1933863910) 
0(1933863910) -> 0(1236065383) 
this(1933863910) -> this(1236065383) 
$r0(1933863910) -> $r0(1236065383) 
sbuf(1933863910) -> sbuf(1236065383) 
$r1(1933863910) -> $r1(1236065383) 
$r2(1933863910) -> $r2(1236065383) 
$r3(1933863910) -> $r3(1236065383) 
0(1236065383) -> 0(285738025) 
this(1236065383) -> this(285738025) 
$r0(1236065383) -> $r0(285738025) 
sbuf(1236065383) -> sbuf(285738025) 
$r1(1236065383) -> $r1(285738025) 
$r2(1236065383) -> $r2(285738025) 
$r3(1236065383) -> $r3(285738025) 
0(285738025) -> 0(2102298164) 
this(285738025) -> this(2102298164) 
$r0(285738025) -> $r0(2102298164) 
sbuf(285738025) -> sbuf(2102298164) 
$r1(285738025) -> $r1(2102298164) 
$r2(285738025) -> $r2(2102298164) 
$r3(285738025) -> $r3(2102298164) 
0(2102298164) -> 0(776798257) 
this(2102298164) -> this(776798257) 
$r0(2102298164) -> $r0(776798257) 
sbuf(2102298164) -> sbuf(776798257) 
$r1(2102298164) -> $r1(776798257) 
$r2(2102298164) -> $r2(776798257) 
$r3(2102298164) -> $r3(776798257) 
0(776798257) -> 0(1850692496) 
this(776798257) -> this(1850692496) 
$r0(776798257) -> $r0(1850692496) 
sbuf(776798257) -> sbuf(1850692496) 
$r1(776798257) -> $r1(1850692496) 
$r2(776798257) -> $r2(1850692496) 
$r3(776798257) -> $r3(1850692496) 
0(776798257) -> 0(625551483) 
this(776798257) -> this(625551483) 
$r0(776798257) -> $r0(625551483) 
sbuf(776798257) -> sbuf(625551483) 
$r1(776798257) -> $r1(625551483) 
$r2(776798257) -> $r2(625551483) 
$r3(776798257) -> $r3(625551483) 
0(625551483) -> 0(630928146) 
this(625551483) -> this(630928146) 
$r0(625551483) -> $r0(630928146) 
sbuf(625551483) -> sbuf(630928146) 
$r1(625551483) -> $r1(630928146) 
$r2(625551483) -> $r2(630928146) 
$r3(625551483) -> $r3(630928146) 
0(630928146) -> 0(1722515230) 
this(630928146) -> this(1722515230) 
$r0(630928146) -> $r0(1722515230) 
sbuf(630928146) -> sbuf(1722515230) 
$r1(630928146) -> $r1(1722515230) 
$r2(630928146) -> $r2(1722515230) 
$r3(630928146) -> $r3(1722515230) 
0(1722515230) -> 0(952403541) 
this(1722515230) -> this(952403541) 
$r0(1722515230) -> $r0(952403541) 
sbuf(1722515230) -> sbuf(952403541) 
$r1(1722515230) -> $r1(952403541) 
$r2(1722515230) -> $r2(952403541) 
$r3(1722515230) -> $r3(952403541) 
0(1722515230) -> 0(1711322716) 
this(1722515230) -> this(1711322716) 
$r0(1722515230) -> $r0(1711322716) 
sbuf(1722515230) -> sbuf(1711322716) 
$r1(1722515230) -> $r1(1711322716) 
$r2(1722515230) -> $r2(1711322716) 
$r3(1722515230) -> $r3(1711322716) 
0(1711322716) -> 0(1046870940) 
this(1711322716) -> this(1046870940) 
$r0(1711322716) -> $r0(1046870940) 
sbuf(1711322716) -> sbuf(1046870940) 
$r1(1711322716) -> $r1(1046870940) 
$r2(1711322716) -> $r2(1046870940) 
$r3(1711322716) -> $r3(1046870940) 
0(1046870940) -> 0(1850692496) 
this(1046870940) -> this(1850692496) 
$r0(1046870940) -> $r0(1850692496) 
sbuf(1046870940) -> sbuf(1850692496) 
$r1(1046870940) -> $r1(1850692496) 
$r2(1046870940) -> $r2(1850692496) 
$r3(1046870940) -> $r3(1850692496) 
0(952403541) -> 0(1850692496) 
this(952403541) -> this(1850692496) 
$r0(952403541) -> $r0(1850692496) 
sbuf(952403541) -> sbuf(1850692496) 
$r1(952403541) -> $r1(1850692496) 
$r2(952403541) -> $r2(1850692496) 
$r3(952403541) -> $r3(1850692496) 
0(1850692496) -> 0(1256055450) 
this(1850692496) -> this(1256055450) 
$r0(1850692496) -> $r0(1256055450) 
sbuf(1850692496) -> sbuf(1256055450) 
$r1(1850692496) -> $r1(1256055450) 
$r2(1850692496) -> $r2(1256055450) 
$r3(1850692496) -> $r3(1256055450) 
0(1256055450) -> 0(-1256055450) 
this(1256055450) -> this(-1256055450) 
$r0(1256055450) -> $r0(-1256055450) 
sbuf(1256055450) -> sbuf(-1256055450) 
$r1(1256055450) -> $r1(-1256055450) 
$r2(1256055450) -> $r2(-1256055450) 
0(-1256055450) -> 0(759698140) 
this(-1256055450) -> this(759698140) 
$r0(-1256055450) -> $r0(759698140) 
sbuf(-1256055450) -> sbuf(759698140) 
$r1(-1256055450) -> $r1(759698140) 
$r2(-1256055450) -> $r2(759698140) 
$r3(-1256055450) -> $r3(759698140) 
0(759698140) -> 0(-351210445) 
this(759698140) -> this(-351210445) 
$r0(759698140) -> $r0(-351210445) 
sbuf(759698140) -> sbuf(-351210445) 
$r1(759698140) -> $r1(-351210445) 
$r2(759698140) -> $r2(-351210445) 
$r3(759698140) -> $r3(-351210445) 
$r3(759698140) -> .return(-351210445) 
