method: org.apache.fop.area.Page.getRegionViewport:955345385
$r2(1273032512) -> $r2(-1273032512) 
$r3(1273032512) -> $r3(-1273032512) 
0(-1273032512) -> 0(477854123) 
this(-1273032512) -> this(477854123) 
$r0(-1273032512) -> $r0(477854123) 
$r1(-1273032512) -> $r1(477854123) 
$r2(-1273032512) -> $r2(477854123) 
$r3(-1273032512) -> $r3(477854123) 
0(477854123) -> 0(-477854123) 
this(477854123) -> this(-477854123) 
$r0(477854123) -> $r0(-477854123) 
$r1(477854123) -> $r1(-477854123) 
$r2(477854123) -> $r2(-477854123) 
0(-477854123) -> 0(1852889128) 
this(-477854123) -> this(1852889128) 
$r0(-477854123) -> $r0(1852889128) 
$r1(-477854123) -> $r1(1852889128) 
$r2(-477854123) -> $r2(1852889128) 
$r3(-477854123) -> $r3(1852889128) 
0(1852889128) -> 0(847209149) 
this(1852889128) -> this(847209149) 
$r0(1852889128) -> $r0(847209149) 
$r1(1852889128) -> $r1(847209149) 
$r2(1852889128) -> $r2(847209149) 
$r3(1852889128) -> $r3(847209149) 
