method: org.apache.fop.util.ColorUtil.colorToString:742130935
$r3(2093929734) -> .return(-742130935) 
0(1862515949) -> 0(671797785) 
color(1862515949) -> color(671797785) 
cs(1862515949) -> cs(671797785) 
sbuf(1862515949) -> sbuf(671797785) 
cmyk(1862515949) -> cmyk(671797785) 
s(1862515949) -> s(671797785) 
$r1(1862515949) -> $r1(671797785) 
$r2(1862515949) -> $r2(671797785) 
$r3(1862515949) -> $r3(671797785) 
$r4(1862515949) -> $r4(671797785) 
0(671797785) -> 0(1583840216) 
color(671797785) -> color(1583840216) 
cs(671797785) -> cs(1583840216) 
sbuf(671797785) -> sbuf(1583840216) 
cmyk(671797785) -> cmyk(1583840216) 
s(671797785) -> s(1583840216) 
$r0(671797785) -> $r0(1583840216) 
$r1(671797785) -> $r1(1583840216) 
$r2(671797785) -> $r2(1583840216) 
$r3(671797785) -> $r3(1583840216) 
$r4(671797785) -> $r4(1583840216) 
0(1583840216) -> 0(285159372) 
color(1583840216) -> color(285159372) 
cs(1583840216) -> cs(285159372) 
cmyk(1583840216) -> cmyk(285159372) 
s(1583840216) -> s(285159372) 
$r0(1583840216) -> sbuf(285159372) 
$r0(1583840216) -> $r0(285159372) 
$r1(1583840216) -> $r1(285159372) 
$r2(1583840216) -> $r2(285159372) 
$r3(1583840216) -> $r3(285159372) 
$r4(1583840216) -> $r4(285159372) 
0(285159372) -> 0(2081055244) 
color(285159372) -> color(2081055244) 
cs(285159372) -> cs(2081055244) 
sbuf(285159372) -> sbuf(2081055244) 
cmyk(285159372) -> cmyk(2081055244) 
s(285159372) -> s(2081055244) 
$r0(285159372) -> $r0(2081055244) 
$r1(285159372) -> $r1(2081055244) 
$r2(285159372) -> $r2(2081055244) 
$r3(285159372) -> $r3(2081055244) 
$r4(285159372) -> $r4(2081055244) 
0(2081055244) -> 0(-2081055244) 
color(2081055244) -> color(-2081055244) 
cs(2081055244) -> cs(-2081055244) 
sbuf(2081055244) -> sbuf(-2081055244) 
cmyk(2081055244) -> cmyk(-2081055244) 
s(2081055244) -> s(-2081055244) 
$r0(2081055244) -> $r0(-2081055244) 
$r1(2081055244) -> $r1(-2081055244) 
$r2(2081055244) -> $r2(-2081055244) 
$r3(2081055244) -> $r3(-2081055244) 
$r4(2081055244) -> $r4(-2081055244) 
0(-2081055244) -> 0(1716907015) 
color(-2081055244) -> color(1716907015) 
cs(-2081055244) -> cs(1716907015) 
sbuf(-2081055244) -> sbuf(1716907015) 
cmyk(-2081055244) -> cmyk(1716907015) 
s(-2081055244) -> s(1716907015) 
$r0(-2081055244) -> $r0(1716907015) 
$r1(-2081055244) -> $r1(1716907015) 
$r2(-2081055244) -> $r2(1716907015) 
$r3(-2081055244) -> $r3(1716907015) 
$r4(-2081055244) -> $r4(1716907015) 
0(1716907015) -> 0(-1716907015) 
color(1716907015) -> color(-1716907015) 
cs(1716907015) -> cs(-1716907015) 
sbuf(1716907015) -> sbuf(-1716907015) 
cmyk(1716907015) -> cmyk(-1716907015) 
$r0(1716907015) -> $r0(-1716907015) 
$r1(1716907015) -> $r1(-1716907015) 
$r2(1716907015) -> $r2(-1716907015) 
$r3(1716907015) -> $r3(-1716907015) 
$r4(1716907015) -> $r4(-1716907015) 
0(-1716907015) -> 0(430755038) 
color(-1716907015) -> color(430755038) 
cs(-1716907015) -> cs(430755038) 
sbuf(-1716907015) -> sbuf(430755038) 
cmyk(-1716907015) -> cmyk(430755038) 
s(-1716907015) -> s(430755038) 
$r0(-1716907015) -> $r0(430755038) 
$r1(-1716907015) -> $r1(430755038) 
$r2(-1716907015) -> $r2(430755038) 
$r3(-1716907015) -> $r3(430755038) 
$r4(-1716907015) -> $r4(430755038) 
0(430755038) -> 0(-430755038) 
color(430755038) -> color(-430755038) 
cs(430755038) -> cs(-430755038) 
sbuf(430755038) -> sbuf(-430755038) 
cmyk(430755038) -> cmyk(-430755038) 
s(430755038) -> s(-430755038) 
$r0(430755038) -> $r0(-430755038) 
$r1(430755038) -> $r1(-430755038) 
$r2(430755038) -> $r2(-430755038) 
$r3(430755038) -> $r3(-430755038) 
$r4(430755038) -> $r4(-430755038) 
0(-430755038) -> 0(1997257554) 
color(-430755038) -> color(1997257554) 
cs(-430755038) -> cs(1997257554) 
sbuf(-430755038) -> sbuf(1997257554) 
cmyk(-430755038) -> cmyk(1997257554) 
s(-430755038) -> s(1997257554) 
$r0(-430755038) -> $r0(1997257554) 
$r1(-430755038) -> $r1(1997257554) 
$r2(-430755038) -> $r2(1997257554) 
$r3(-430755038) -> $r3(1997257554) 
$r4(-430755038) -> $r4(1997257554) 
0(1997257554) -> 0(131370877) 
color(1997257554) -> color(131370877) 
cs(1997257554) -> cs(131370877) 
sbuf(1997257554) -> sbuf(131370877) 
cmyk(1997257554) -> cmyk(131370877) 
s(1997257554) -> s(131370877) 
$r0(1997257554) -> $r0(131370877) 
