method: org.apache.fop.layoutmgr.KnuthGlue.toString:9875612
sb(-385916877) -> sb(479286701) 
$r1(-385916877) -> $r1(479286701) 
0(479286701) -> 0(923465014) 
this(479286701) -> this(923465014) 
$r0(479286701) -> $r0(923465014) 
sb(479286701) -> sb(923465014) 
$r1(479286701) -> $r1(923465014) 
0(923465014) -> 0(-923465014) 
this(923465014) -> this(-923465014) 
sb(923465014) -> sb(-923465014) 
$r1(923465014) -> $r1(-923465014) 
0(-923465014) -> 0(792760871) 
this(-923465014) -> this(792760871) 
$r0(-923465014) -> $r0(792760871) 
sb(-923465014) -> sb(792760871) 
$r1(-923465014) -> $r1(792760871) 
0(792760871) -> 0(-792760871) 
this(792760871) -> this(-792760871) 
$r0(792760871) -> $r0(-792760871) 
sb(792760871) -> sb(-792760871) 
$r1(792760871) -> $r1(-792760871) 
0(-792760871) -> 0(160423810) 
this(-792760871) -> this(160423810) 
$r0(-792760871) -> $r0(160423810) 
sb(-792760871) -> sb(160423810) 
$r1(-792760871) -> $r1(160423810) 
0(160423810) -> 0(367509737) 
this(160423810) -> this(367509737) 
$r0(160423810) -> $r0(367509737) 
sb(160423810) -> sb(367509737) 
$r1(160423810) -> $r1(367509737) 
0(367509737) -> 0(-367509737) 
this(367509737) -> this(-367509737) 
sb(367509737) -> sb(-367509737) 
$r1(367509737) -> $r1(-367509737) 
0(-367509737) -> 0(1988691714) 
this(-367509737) -> this(1988691714) 
$r0(-367509737) -> $r0(1988691714) 
sb(-367509737) -> sb(1988691714) 
$r1(-367509737) -> $r1(1988691714) 
0(1988691714) -> 0(-1988691714) 
this(1988691714) -> this(-1988691714) 
$r0(1988691714) -> $r0(-1988691714) 
sb(1988691714) -> sb(-1988691714) 
$r1(1988691714) -> $r1(-1988691714) 
0(-1988691714) -> 0(1150997685) 
this(-1988691714) -> this(1150997685) 
$r0(-1988691714) -> $r0(1150997685) 
sb(-1988691714) -> sb(1150997685) 
$r1(-1988691714) -> $r1(1150997685) 
0(1150997685) -> 0(2107047560) 
this(1150997685) -> this(2107047560) 
$r0(1150997685) -> $r0(2107047560) 
sb(1150997685) -> sb(2107047560) 
$r1(1150997685) -> $r1(2107047560) 
0(2107047560) -> 0(-2107047560) 
this(2107047560) -> this(-2107047560) 
$r0(2107047560) -> $r0(-2107047560) 
sb(2107047560) -> sb(-2107047560) 
$r1(2107047560) -> $r1(-2107047560) 
0(-2107047560) -> 0(1143001890) 
this(-2107047560) -> this(1143001890) 
$r0(-2107047560) -> $r0(1143001890) 
sb(-2107047560) -> sb(1143001890) 
$r1(-2107047560) -> $r1(1143001890) 
0(1143001890) -> 0(1592261945) 
this(1143001890) -> this(1592261945) 
$r0(1143001890) -> $r0(1592261945) 
sb(1143001890) -> sb(1592261945) 
$r1(1143001890) -> $r1(1592261945) 
0(1143001890) -> 0(779497753) 
this(1143001890) -> this(779497753) 
$r0(1143001890) -> $r0(779497753) 
sb(1143001890) -> sb(779497753) 
$r1(1143001890) -> $r1(779497753) 
0(779497753) -> 0(-779497753) 
this(779497753) -> this(-779497753) 
sb(779497753) -> sb(-779497753) 
$r1(779497753) -> $r1(-779497753) 
0(-779497753) -> 0(627469227) 
this(-779497753) -> this(627469227) 
$r0(-779497753) -> $r0(627469227) 
sb(-779497753) -> sb(627469227) 
$r1(-779497753) -> $r1(627469227) 
0(627469227) -> 0(-627469227) 
this(627469227) -> this(-627469227) 
$r0(627469227) -> $r0(-627469227) 
sb(627469227) -> sb(-627469227) 
$r1(627469227) -> $r1(-627469227) 
0(-627469227) -> 0(285399619) 
this(-627469227) -> this(285399619) 
$r0(-627469227) -> $r0(285399619) 
sb(-627469227) -> sb(285399619) 
$r1(-627469227) -> $r1(285399619) 
0(285399619) -> 0(1592261945) 
this(285399619) -> this(1592261945) 
$r0(285399619) -> $r0(1592261945) 
sb(285399619) -> sb(1592261945) 
$r1(285399619) -> $r1(1592261945) 
0(1592261945) -> 0(-1592261945) 
this(1592261945) -> this(-1592261945) 
$r0(1592261945) -> $r0(-1592261945) 
sb(1592261945) -> sb(-1592261945) 
0(-1592261945) -> 0(1352784348) 
this(-1592261945) -> this(1352784348) 
$r0(-1592261945) -> $r0(1352784348) 
sb(-1592261945) -> sb(1352784348) 
$r1(-1592261945) -> $r1(1352784348) 
0(1352784348) -> 0(-9875612) 
this(1352784348) -> this(-9875612) 
$r0(1352784348) -> $r0(-9875612) 
sb(1352784348) -> sb(-9875612) 
$r1(1352784348) -> $r1(-9875612) 
$r1(1352784348) -> .return(-9875612) 
