method: org.apache.fop.layoutmgr.table.ActiveCell.increaseCurrentStep:1200936359
$r2(893932154) -> $r2(-893932154) 
0(-893932154) -> 0(616792220) 
this(-893932154) -> this(616792220) 
$r0(-893932154) -> $r0(616792220) 
$r1(-893932154) -> $r1(616792220) 
$r2(-893932154) -> $r2(616792220) 
0(616792220) -> 0(326829363) 
this(616792220) -> this(326829363) 
$r0(616792220) -> $r0(326829363) 
$r1(616792220) -> $r1(326829363) 
$r2(616792220) -> $r2(326829363) 
0(616792220) -> 0(778920632) 
this(616792220) -> this(778920632) 
$r0(616792220) -> $r0(778920632) 
$r1(616792220) -> $r1(778920632) 
$r2(616792220) -> $r2(778920632) 
0(778920632) -> 0(258749912) 
this(778920632) -> this(258749912) 
$r0(778920632) -> $r0(258749912) 
$r1(778920632) -> $r1(258749912) 
$r2(778920632) -> $r2(258749912) 
0(258749912) -> 0(-258749912) 
this(258749912) -> this(-258749912) 
$r0(258749912) -> $r0(-258749912) 
$r1(258749912) -> $r1(-258749912) 
$r2(258749912) -> $r2(-258749912) 
0(-258749912) -> 0(229177111) 
this(-258749912) -> this(229177111) 
$r0(-258749912) -> $r0(229177111) 
$r1(-258749912) -> $r1(229177111) 
$r2(-258749912) -> $r2(229177111) 
0(229177111) -> 0(326829363) 
this(229177111) -> this(326829363) 
$r0(229177111) -> $r0(326829363) 
$r1(229177111) -> $r1(326829363) 
$r2(229177111) -> $r2(326829363) 
0(229177111) -> 0(588369489) 
this(229177111) -> this(588369489) 
$r0(229177111) -> $r0(588369489) 
$r1(229177111) -> $r1(588369489) 
$r2(229177111) -> $r2(588369489) 
0(588369489) -> 0(416579574) 
this(588369489) -> this(416579574) 
$r0(588369489) -> $r0(416579574) 
$r1(588369489) -> $r1(416579574) 
$r2(588369489) -> $r2(416579574) 
0(416579574) -> 0(656210998) 
this(416579574) -> this(656210998) 
$r0(416579574) -> $r0(656210998) 
$r1(416579574) -> $r1(656210998) 
$r2(416579574) -> $r2(656210998) 
0(656210998) -> 0(498516181) 
this(656210998) -> this(498516181) 
$r0(656210998) -> $r0(498516181) 
$r1(656210998) -> $r1(498516181) 
$r2(656210998) -> $r2(498516181) 
0(498516181) -> 0(1227747120) 
this(498516181) -> this(1227747120) 
$r0(498516181) -> $r0(1227747120) 
$r1(498516181) -> $r1(1227747120) 
$r2(498516181) -> $r2(1227747120) 
0(1227747120) -> 0(-1227747120) 
this(1227747120) -> this(-1227747120) 
$r0(1227747120) -> $r0(-1227747120) 
$r1(1227747120) -> $r1(-1227747120) 
$r2(1227747120) -> $r2(-1227747120) 
0(-1227747120) -> 0(1211057300) 
this(-1227747120) -> this(1211057300) 
$r0(-1227747120) -> $r0(1211057300) 
$r1(-1227747120) -> $r1(1211057300) 
$r2(-1227747120) -> $r2(1211057300) 
0(1211057300) -> 0(390034834) 
this(1211057300) -> this(390034834) 
$r0(1211057300) -> $r0(390034834) 
$r1(1211057300) -> $r1(390034834) 
$r2(1211057300) -> $r2(390034834) 
0(390034834) -> 0(-390034834) 
this(390034834) -> this(-390034834) 
$r0(390034834) -> $r0(-390034834) 
$r1(390034834) -> $r1(-390034834) 
$r2(390034834) -> $r2(-390034834) 
0(-390034834) -> 0(779852273) 
this(-390034834) -> this(779852273) 
$r0(-390034834) -> $r0(779852273) 
$r1(-390034834) -> $r1(779852273) 
$r2(-390034834) -> $r2(779852273) 
0(779852273) -> 0(884454670) 
this(779852273) -> this(884454670) 
$r0(779852273) -> $r0(884454670) 
$r1(779852273) -> $r1(884454670) 
$r2(779852273) -> $r2(884454670) 
0(884454670) -> 0(1916096125) 
this(884454670) -> this(1916096125) 
$r0(884454670) -> $r0(1916096125) 
$r1(884454670) -> $r1(1916096125) 
$r2(884454670) -> $r2(1916096125) 
0(884454670) -> 0(147834156) 
this(884454670) -> this(147834156) 
$r0(884454670) -> $r0(147834156) 
$r1(884454670) -> $r1(147834156) 
$r2(884454670) -> $r2(147834156) 
0(147834156) -> 0(326829363) 
this(147834156) -> this(326829363) 
$r0(147834156) -> $r0(326829363) 
$r1(147834156) -> $r1(326829363) 
$r2(147834156) -> $r2(326829363) 
0(1916096125) -> 0(162802463) 
this(1916096125) -> this(162802463) 
$r0(1916096125) -> $r0(162802463) 
$r1(1916096125) -> $r1(162802463) 
$r2(1916096125) -> $r2(162802463) 
0(162802463) -> 0(1309983714) 
this(162802463) -> this(1309983714) 
$r0(162802463) -> $r0(1309983714) 
$r1(162802463) -> $r1(1309983714) 
$r2(162802463) -> $r2(1309983714) 
0(326829363) -> 0(-1200936359) 
this(326829363) -> this(-1200936359) 
$r0(326829363) -> $r0(-1200936359) 
$r1(326829363) -> $r1(-1200936359) 
$r2(326829363) -> $r2(-1200936359) 
0(326829363) -> .return(-1200936359) 
