method: org.apache.fop.layoutmgr.table.ActiveCell.nextRowStarts:2144175239
this(1096087621) -> this(829922181) 
l1(1096087621) -> l1(829922181) 
$r1(1096087621) -> $r1(829922181) 
0(829922181) -> 0(847182087) 
this(829922181) -> this(847182087) 
l1(829922181) -> l1(847182087) 
$r1(829922181) -> $r1(847182087) 
0(847182087) -> 0(1371065821) 
this(847182087) -> this(1371065821) 
l1(847182087) -> l1(1371065821) 
$r1(847182087) -> $r1(1371065821) 
0(1371065821) -> 0(1058783074) 
this(1371065821) -> this(1058783074) 
l1(1371065821) -> l1(1058783074) 
$r1(1371065821) -> $r1(1058783074) 
0(1058783074) -> 0(1454667425) 
this(1058783074) -> this(1454667425) 
l1(1058783074) -> l1(1454667425) 
$r1(1058783074) -> $r1(1454667425) 
0(1454667425) -> 0(1220662280) 
this(1454667425) -> this(1220662280) 
l1(1454667425) -> l1(1220662280) 
$r1(1454667425) -> $r1(1220662280) 
0(1220662280) -> 0(-1220662280) 
this(1220662280) -> this(-1220662280) 
l1(1220662280) -> l1(-1220662280) 
$r1(1220662280) -> $r1(-1220662280) 
0(-1220662280) -> 0(759660169) 
this(-1220662280) -> this(759660169) 
l1(-1220662280) -> l1(759660169) 
$r1(-1220662280) -> $r1(759660169) 
0(759660169) -> 0(818178968) 
this(759660169) -> this(818178968) 
l1(759660169) -> l1(818178968) 
$r1(759660169) -> $r1(818178968) 
0(818178968) -> 0(1565171510) 
this(818178968) -> this(1565171510) 
l1(818178968) -> l1(1565171510) 
$r1(818178968) -> $r1(1565171510) 
0(1565171510) -> 0(223417049) 
this(1565171510) -> this(223417049) 
l1(1565171510) -> l1(223417049) 
$r1(1565171510) -> $r1(223417049) 
0(223417049) -> 0(-223417049) 
this(223417049) -> this(-223417049) 
l1(223417049) -> l1(-223417049) 
$r1(223417049) -> $r1(-223417049) 
0(-223417049) -> 0(985551953) 
this(-223417049) -> this(985551953) 
l1(-223417049) -> l1(985551953) 
$r1(-223417049) -> $r1(985551953) 
0(985551953) -> 0(630304760) 
this(985551953) -> this(630304760) 
l1(985551953) -> l1(630304760) 
$r1(985551953) -> $r1(630304760) 
0(630304760) -> 0(772756599) 
this(630304760) -> this(772756599) 
l1(630304760) -> l1(772756599) 
$r1(630304760) -> $r1(772756599) 
0(772756599) -> 0(1531027725) 
this(772756599) -> this(1531027725) 
l1(772756599) -> l1(1531027725) 
$r1(772756599) -> $r1(1531027725) 
0(1531027725) -> 0(940927966) 
this(1531027725) -> this(940927966) 
l1(1531027725) -> l1(940927966) 
$r1(1531027725) -> $r1(940927966) 
0(940927966) -> 0(-940927966) 
this(940927966) -> this(-940927966) 
l1(940927966) -> l1(-940927966) 
$r1(940927966) -> $r1(-940927966) 
0(-940927966) -> 0(965698333) 
this(-940927966) -> this(965698333) 
l1(-940927966) -> l1(965698333) 
$r1(-940927966) -> $r1(965698333) 
0(965698333) -> 0(1957962352) 
this(965698333) -> this(1957962352) 
l1(965698333) -> l1(1957962352) 
$r1(965698333) -> $r1(1957962352) 
0(1957962352) -> 0(1886545984) 
this(1957962352) -> this(1886545984) 
l1(1957962352) -> l1(1886545984) 
$r1(1957962352) -> $r1(1886545984) 
0(1886545984) -> 0(1779630565) 
this(1886545984) -> this(1779630565) 
l1(1886545984) -> l1(1779630565) 
$r1(1886545984) -> $r1(1779630565) 
0(1779630565) -> 0(-2144175239) 
this(1779630565) -> this(-2144175239) 
l1(1779630565) -> l1(-2144175239) 
$r1(1779630565) -> $r1(-2144175239) 
0(1779630565) -> .return(-2144175239) 
