method: org.apache.fop.fo.flow.table.PrimaryGridUnit.getBeforeBorderWidth:1591012210
224681 -> 224707
224682 -> 224708
224683 -> 224709
224684 -> 224710
224685 -> 224711
224686 -> 224712
224687 -> 224713
224688 -> 224714
224689 -> 224715
224690 -> 224716
224691 -> 224717
224692 -> 224718
224706 -> 224719
224707 -> 224720
224708 -> 224721
224709 -> 224722
224710 -> 224723
224711 -> 224724
224712 -> 224725
224714 -> 224726
224715 -> 224727
224716 -> 224728
224717 -> 224729
224718 -> 224730
224719 -> 224731
224720 -> 224732
224721 -> 224733
224722 -> 224734
224723 -> 224735
224724 -> 224736
224725 -> 224737
224738 -> 224739
224726 -> 224740
224727 -> 224741
224728 -> 224742
224729 -> 224743
224730 -> 224744
224693 -> 224367
224694 -> 224368
224695 -> 224369
224696 -> 224370
224697 -> 224371
224698 -> 224372
224699 -> 224373
224700 -> 224374
224701 -> 224375
224702 -> 224376
224703 -> 224377
224704 -> 224378
224705 -> 224379
224693 -> 224380
224289 -> 224745
224290 -> 224746
224291 -> 224747
224292 -> 224748
224293 -> 224749
224294 -> 224750
224295 -> 224751
224296 -> 224752
224297 -> 224753
224298 -> 224754
224299 -> 224755
224300 -> 224756
224301 -> 224757
224745 -> 224758
224746 -> 224759
224747 -> 224760
224748 -> 224761
224749 -> 224762
224750 -> 224763
224751 -> 224764
224752 -> 224765
224753 -> 224766
224754 -> 224767
224755 -> 224768
224756 -> 224769
224757 -> 224770
224758 -> 224771
224759 -> 224772
224760 -> 224773
224761 -> 224774
224762 -> 224775
224763 -> 224776
224764 -> 224777
224765 -> 224778
224766 -> 224779
224768 -> 224780
224769 -> 224781
224770 -> 224782
224771 -> 224783
224772 -> 224784
224773 -> 224785
224774 -> 224786
224775 -> 224787
224776 -> 224788
224777 -> 224789
224778 -> 224790
224779 -> 224791
224792 -> 224793
224780 -> 224794
224781 -> 224795
224782 -> 224796
224783 -> 224797
224784 -> 224798
224785 -> 224799
224786 -> 224800
224787 -> 224801
224788 -> 224802
224789 -> 224803
224790 -> 224804
224791 -> 224805
224793 -> 224806
224793 -> 224807
224795 -> 224808
224796 -> 224809
224797 -> 224810
224798 -> 224811
224799 -> 224812
224801 -> 224813
224802 -> 224814
224803 -> 224815
224804 -> 224816
224805 -> 224817
224807 -> 224818
224806 -> 224819
224806 -> 224820
224808 -> 224821
224809 -> 224822
224810 -> 224823
224811 -> 224824
224812 -> 224825
224819 -> 224826
224813 -> 224827
224814 -> 224828
224815 -> 224829
224816 -> 224830
224817 -> 224831
224818 -> 224832
224820 -> 224833
224821 -> 224834
224822 -> 224835
224823 -> 224836
224824 -> 224837
224825 -> 224838
224826 -> 224839
224827 -> 224840
224828 -> 224841
224829 -> 224842
224830 -> 224843
224831 -> 224844
224832 -> 224845
224833 -> 224846
224834 -> 224847
224835 -> 224848
224836 -> 224849
224837 -> 224850
224838 -> 224851
224839 -> 224852
224840 -> 224853
224841 -> 224854
224842 -> 224855
224843 -> 224856
224844 -> 224857
224845 -> 224858
224846 -> 224859
224847 -> 224860
224848 -> 224861
224836 -> 224862
224837 -> 224863
224838 -> 224864
224839 -> 224865
224840 -> 224866
224841 -> 224867
224842 -> 224868
224843 -> 224869
224844 -> 224870
224845 -> 224871
224846 -> 224872
224847 -> 224873
224848 -> 224874
224862 -> 224875
224863 -> 224876
224864 -> 224877
224865 -> 224878
224866 -> 224879
224867 -> 224880
224868 -> 224881
224869 -> 224882
224870 -> 224883
224871 -> 224884
224872 -> 224885
224873 -> 224886
224874 -> 224887
224875 -> 224888
224876 -> 224889
224877 -> 224890
224878 -> 224891
224879 -> 224892
224880 -> 224893
224881 -> 224894
224882 -> 224895
224883 -> 224896
224884 -> 224897
224885 -> 224898
224886 -> 224899
224888 -> 224900
224889 -> 224901
224890 -> 224902
224891 -> 224903
224892 -> 224904
224893 -> 224905
224894 -> 224906
224895 -> 224907
224896 -> 224908
224897 -> 224909
224898 -> 224910
224899 -> 224911
224912 -> 224913
224900 -> 224914
224901 -> 224915
224902 -> 224916
224903 -> 224917
