method: org.apache.fop.hyphenation.Hyphenator.getFopHyphenationTree:482987081
$r3(2064266734) -> $r3(704112006) 
0(704112006) -> 0(-704112006) 
key(704112006) -> key(-704112006) 
lang(704112006) -> lang(-704112006) 
l6(704112006) -> l6(-704112006) 
is(704112006) -> is(-704112006) 
$r0(704112006) -> $r0(-704112006) 
$r1(704112006) -> $r1(-704112006) 
$r2(704112006) -> $r2(-704112006) 
hTree(704112006) -> hTree(-704112006) 
$r3(704112006) -> $r3(-704112006) 
0(-704112006) -> 0(1877518749) 
key(-704112006) -> key(1877518749) 
lang(-704112006) -> lang(1877518749) 
l6(-704112006) -> l6(1877518749) 
is(-704112006) -> is(1877518749) 
$r0(-704112006) -> $r0(1877518749) 
$r1(-704112006) -> $r1(1877518749) 
$r2(-704112006) -> $r2(1877518749) 
hTree(-704112006) -> hTree(1877518749) 
$r3(-704112006) -> $r3(1877518749) 
0(1877518749) -> 0(568833113) 
key(1877518749) -> key(568833113) 
lang(1877518749) -> lang(568833113) 
l6(1877518749) -> l6(568833113) 
is(1877518749) -> is(568833113) 
$r0(1877518749) -> $r0(568833113) 
$r1(1877518749) -> $r1(568833113) 
$r2(1877518749) -> $r2(568833113) 
hTree(1877518749) -> hTree(568833113) 
$r3(1877518749) -> $r3(568833113) 
0(1877518749) -> 0(202468951) 
key(1877518749) -> key(202468951) 
lang(1877518749) -> lang(202468951) 
l6(1877518749) -> l6(202468951) 
is(1877518749) -> is(202468951) 
$r0(1877518749) -> $r0(202468951) 
$r1(1877518749) -> $r1(202468951) 
$r2(1877518749) -> $r2(202468951) 
hTree(1877518749) -> hTree(202468951) 
$r3(1877518749) -> $r3(202468951) 
0(202468951) -> 0(-202468951) 
key(202468951) -> key(-202468951) 
l6(202468951) -> l6(-202468951) 
is(202468951) -> is(-202468951) 
$r0(202468951) -> $r0(-202468951) 
$r1(202468951) -> $r1(-202468951) 
$r2(202468951) -> $r2(-202468951) 
hTree(202468951) -> hTree(-202468951) 
$r3(202468951) -> $r3(-202468951) 
0(-202468951) -> 0(2050514871) 
key(-202468951) -> key(2050514871) 
lang(-202468951) -> lang(2050514871) 
l6(-202468951) -> l6(2050514871) 
is(-202468951) -> is(2050514871) 
$r0(-202468951) -> $r0(2050514871) 
$r1(-202468951) -> $r1(2050514871) 
$r2(-202468951) -> $r2(2050514871) 
hTree(-202468951) -> hTree(2050514871) 
$r3(-202468951) -> $r3(2050514871) 
0(2050514871) -> 0(-2050514871) 
key(2050514871) -> key(-2050514871) 
lang(2050514871) -> lang(-2050514871) 
l6(2050514871) -> l6(-2050514871) 
$r0(2050514871) -> $r0(-2050514871) 
$r1(2050514871) -> $r1(-2050514871) 
$r2(2050514871) -> $r2(-2050514871) 
hTree(2050514871) -> hTree(-2050514871) 
$r3(2050514871) -> $r3(-2050514871) 
0(-2050514871) -> 0(1473194949) 
key(-2050514871) -> key(1473194949) 
lang(-2050514871) -> lang(1473194949) 
l6(-2050514871) -> l6(1473194949) 
is(-2050514871) -> is(1473194949) 
$r0(-2050514871) -> $r0(1473194949) 
$r1(-2050514871) -> $r1(1473194949) 
$r2(-2050514871) -> $r2(1473194949) 
hTree(-2050514871) -> hTree(1473194949) 
$r3(-2050514871) -> $r3(1473194949) 
0(1473194949) -> 0(1824468031) 
key(1473194949) -> key(1824468031) 
lang(1473194949) -> lang(1824468031) 
l6(1473194949) -> l6(1824468031) 
is(1473194949) -> is(1824468031) 
$r0(1473194949) -> $r0(1824468031) 
$r1(1473194949) -> $r1(1824468031) 
$r2(1473194949) -> $r2(1824468031) 
hTree(1473194949) -> hTree(1824468031) 
$r3(1473194949) -> $r3(1824468031) 
0(1473194949) -> 0(1648541580) 
key(1473194949) -> key(1648541580) 
lang(1473194949) -> lang(1648541580) 
l6(1473194949) -> l6(1648541580) 
is(1473194949) -> is(1648541580) 
$r0(1473194949) -> $r0(1648541580) 
$r1(1473194949) -> $r1(1648541580) 
$r2(1473194949) -> $r2(1648541580) 
hTree(1473194949) -> hTree(1648541580) 
$r3(1473194949) -> $r3(1648541580) 
0(1648541580) -> 0(204321466) 
key(1648541580) -> key(204321466) 
lang(1648541580) -> lang(204321466) 
l6(1648541580) -> l6(204321466) 
is(1648541580) -> is(204321466) 
$r0(1648541580) -> $r0(204321466) 
$r1(1648541580) -> $r1(204321466) 
$r2(1648541580) -> $r2(204321466) 
hTree(1648541580) -> hTree(204321466) 
$r3(1648541580) -> $r3(204321466) 
0(204321466) -> 0(-204321466) 
key(204321466) -> key(-204321466) 
lang(204321466) -> lang(-204321466) 
l6(204321466) -> l6(-204321466) 
is(204321466) -> is(-204321466) 
$r0(204321466) -> $r0(-204321466) 
$r1(204321466) -> $r1(-204321466) 
$r2(204321466) -> $r2(-204321466) 
hTree(204321466) -> hTree(-204321466) 
$r3(204321466) -> $r3(-204321466) 
0(-204321466) -> 0(204527509) 
key(-204321466) -> key(204527509) 
lang(-204321466) -> lang(204527509) 
l6(-204321466) -> l6(204527509) 
is(-204321466) -> is(204527509) 
$r0(-204321466) -> $r0(204527509) 
$r1(-204321466) -> $r1(204527509) 
$r2(-204321466) -> $r2(204527509) 
hTree(-204321466) -> hTree(204527509) 
$r3(-204321466) -> $r3(204527509) 
0(204527509) -> 0(1694689382) 
key(204527509) -> key(1694689382) 
lang(204527509) -> lang(1694689382) 
l6(204527509) -> l6(1694689382) 
is(204527509) -> is(1694689382) 
$r0(204527509) -> $r0(1694689382) 
$r1(204527509) -> $r1(1694689382) 
$r2(204527509) -> $r2(1694689382) 
hTree(204527509) -> hTree(1694689382) 
$r3(204527509) -> $r3(1694689382) 
0(204527509) -> 0(1520008563) 
key(204527509) -> key(1520008563) 
lang(204527509) -> lang(1520008563) 
l6(204527509) -> l6(1520008563) 
is(204527509) -> is(1520008563) 
$r0(204527509) -> $r0(1520008563) 
$r1(204527509) -> $r1(1520008563) 
$r2(204527509) -> $r2(1520008563) 
hTree(204527509) -> hTree(1520008563) 
$r3(204527509) -> $r3(1520008563) 
0(1520008563) -> 0(318453629) 
key(1520008563) -> key(318453629) 
lang(1520008563) -> lang(318453629) 
l6(1520008563) -> l6(318453629) 
is(1520008563) -> is(318453629) 
$r0(1520008563) -> $r0(318453629) 
$r1(1520008563) -> $r1(318453629) 
$r2(1520008563) -> $r2(318453629) 
hTree(1520008563) -> hTree(318453629) 
$r3(1520008563) -> $r3(318453629) 
0(318453629) -> 0(2114894426) 
key(318453629) -> key(2114894426) 
lang(318453629) -> lang(2114894426) 
l6(318453629) -> l6(2114894426) 
is(318453629) -> is(2114894426) 
$r0(318453629) -> $r0(2114894426) 
$r2(318453629) -> $r2(2114894426) 
hTree(318453629) -> hTree(2114894426) 
$r3(318453629) -> $r3(2114894426) 
0(2114894426) -> 0(2045158576) 
key(2114894426) -> key(2045158576) 
lang(2114894426) -> lang(2045158576) 
l6(2114894426) -> l6(2045158576) 
is(2114894426) -> is(2045158576) 
$r0(2114894426) -> $r0(2045158576) 
$r1(2114894426) -> $r1(2045158576) 
$r2(2114894426) -> $r2(2045158576) 
hTree(2114894426) -> hTree(2045158576) 
$r3(2114894426) -> $r3(2045158576) 
0(2045158576) -> 0(-2045158576) 
key(2045158576) -> key(-2045158576) 
lang(2045158576) -> lang(-2045158576) 
l6(2045158576) -> l6(-2045158576) 
is(2045158576) -> is(-2045158576) 
$r0(2045158576) -> $r0(-2045158576) 
$r2(2045158576) -> $r2(-2045158576) 
hTree(2045158576) -> hTree(-2045158576) 
$r3(2045158576) -> $r3(-2045158576) 
0(-2045158576) -> 0(1050264579) 
key(-2045158576) -> key(1050264579) 
lang(-2045158576) -> lang(1050264579) 
l6(-2045158576) -> l6(1050264579) 
is(-2045158576) -> is(1050264579) 
$r0(-2045158576) -> $r0(1050264579) 
$r1(-2045158576) -> $r1(1050264579) 
$r2(-2045158576) -> $r2(1050264579) 
hTree(-2045158576) -> hTree(1050264579) 
$r3(-2045158576) -> $r3(1050264579) 
0(1050264579) -> 0(-1050264579) 
key(1050264579) -> key(-1050264579) 
lang(1050264579) -> lang(-1050264579) 
l6(1050264579) -> l6(-1050264579) 
is(1050264579) -> is(-1050264579) 
$r0(1050264579) -> $r0(-1050264579) 
$r2(1050264579) -> $r2(-1050264579) 
hTree(1050264579) -> hTree(-1050264579) 
$r3(1050264579) -> $r3(-1050264579) 
0(-1050264579) -> 0(1474835258) 
key(-1050264579) -> key(1474835258) 
lang(-1050264579) -> lang(1474835258) 
l6(-1050264579) -> l6(1474835258) 
is(-1050264579) -> is(1474835258) 
$r0(-1050264579) -> $r0(1474835258) 
$r1(-1050264579) -> $r1(1474835258) 
$r2(-1050264579) -> $r2(1474835258) 
hTree(-1050264579) -> hTree(1474835258) 
$r3(-1050264579) -> $r3(1474835258) 
0(1474835258) -> 0(-1474835258) 
key(1474835258) -> key(-1474835258) 
lang(1474835258) -> lang(-1474835258) 
l6(1474835258) -> l6(-1474835258) 
is(1474835258) -> is(-1474835258) 
$r0(1474835258) -> $r0(-1474835258) 
$r2(1474835258) -> $r2(-1474835258) 
hTree(1474835258) -> hTree(-1474835258) 
$r3(1474835258) -> $r3(-1474835258) 
0(-1474835258) -> 0(1530889393) 
key(-1474835258) -> key(1530889393) 
lang(-1474835258) -> lang(1530889393) 
l6(-1474835258) -> l6(1530889393) 
is(-1474835258) -> is(1530889393) 
$r0(-1474835258) -> $r0(1530889393) 
$r1(-1474835258) -> $r1(1530889393) 
$r2(-1474835258) -> $r2(1530889393) 
hTree(-1474835258) -> hTree(1530889393) 
$r3(-1474835258) -> $r3(1530889393) 
0(1530889393) -> 0(-1530889393) 
key(1530889393) -> key(-1530889393) 
lang(1530889393) -> lang(-1530889393) 
l6(1530889393) -> l6(-1530889393) 
is(1530889393) -> is(-1530889393) 
$r0(1530889393) -> $r0(-1530889393) 
$r2(1530889393) -> $r2(-1530889393) 
hTree(1530889393) -> hTree(-1530889393) 
$r3(1530889393) -> $r3(-1530889393) 
0(-1530889393) -> 0(1389538669) 
key(-1530889393) -> key(1389538669) 
lang(-1530889393) -> lang(1389538669) 
l6(-1530889393) -> l6(1389538669) 
is(-1530889393) -> is(1389538669) 
$r0(-1530889393) -> $r0(1389538669) 
$r1(-1530889393) -> $r1(1389538669) 
$r2(-1530889393) -> $r2(1389538669) 
hTree(-1530889393) -> hTree(1389538669) 
$r3(-1530889393) -> $r3(1389538669) 
0(1389538669) -> 0(-1389538669) 
key(1389538669) -> key(-1389538669) 
lang(1389538669) -> lang(-1389538669) 
l6(1389538669) -> l6(-1389538669) 
is(1389538669) -> is(-1389538669) 
$r0(1389538669) -> $r0(-1389538669) 
$r2(1389538669) -> $r2(-1389538669) 
hTree(1389538669) -> hTree(-1389538669) 
$r3(1389538669) -> $r3(-1389538669) 
0(-1389538669) -> 0(91748758) 
key(-1389538669) -> key(91748758) 
lang(-1389538669) -> lang(91748758) 
l6(-1389538669) -> l6(91748758) 
is(-1389538669) -> is(91748758) 
$r0(-1389538669) -> $r0(91748758) 
$r1(-1389538669) -> $r1(91748758) 
$r2(-1389538669) -> $r2(91748758) 
hTree(-1389538669) -> hTree(91748758) 
$r3(-1389538669) -> $r3(91748758) 
0(91748758) -> 0(-91748758) 
key(91748758) -> key(-91748758) 
lang(91748758) -> lang(-91748758) 
l6(91748758) -> l6(-91748758) 
is(91748758) -> is(-91748758) 
$r0(91748758) -> $r0(-91748758) 
$r1(91748758) -> $r1(-91748758) 
hTree(91748758) -> hTree(-91748758) 
$r3(91748758) -> $r3(-91748758) 
0(-91748758) -> 0(128117160) 
key(-91748758) -> key(128117160) 
lang(-91748758) -> lang(128117160) 
l6(-91748758) -> l6(128117160) 
is(-91748758) -> is(128117160) 
$r0(-91748758) -> $r0(128117160) 
$r1(-91748758) -> $r1(128117160) 
$r2(-91748758) -> $r2(128117160) 
hTree(-91748758) -> hTree(128117160) 
$r3(-91748758) -> $r3(128117160) 
0(128117160) -> 0(1486493826) 
key(128117160) -> key(1486493826) 
lang(128117160) -> lang(1486493826) 
l6(128117160) -> l6(1486493826) 
is(128117160) -> is(1486493826) 
$r0(128117160) -> $r0(1486493826) 
$r1(128117160) -> $r1(1486493826) 
$r2(128117160) -> $r2(1486493826) 
hTree(128117160) -> hTree(1486493826) 
$r3(128117160) -> $r3(1486493826) 
0(1486493826) -> 0(1694689382) 
key(1486493826) -> key(1694689382) 
lang(1486493826) -> lang(1694689382) 
l6(1486493826) -> l6(1694689382) 
is(1486493826) -> is(1694689382) 
$r0(1486493826) -> $r0(1694689382) 
$r1(1486493826) -> $r1(1694689382) 
$r2(1486493826) -> $r2(1694689382) 
hTree(1486493826) -> hTree(1694689382) 
$r3(1486493826) -> $r3(1694689382) 
0(1824468031) -> 0(2062685151) 
key(1824468031) -> key(2062685151) 
lang(1824468031) -> lang(2062685151) 
l6(1824468031) -> l6(2062685151) 
is(1824468031) -> is(2062685151) 
$r0(1824468031) -> $r0(2062685151) 
$r1(1824468031) -> $r1(2062685151) 
$r2(1824468031) -> $r2(2062685151) 
hTree(1824468031) -> hTree(2062685151) 
$r3(1824468031) -> $r3(2062685151) 
0(2062685151) -> 0(-2062685151) 
key(2062685151) -> key(-2062685151) 
lang(2062685151) -> lang(-2062685151) 
l6(2062685151) -> l6(-2062685151) 
is(2062685151) -> is(-2062685151) 
$r0(2062685151) -> $r0(-2062685151) 
$r1(2062685151) -> $r1(-2062685151) 
$r2(2062685151) -> $r2(-2062685151) 
hTree(2062685151) -> hTree(-2062685151) 
$r3(2062685151) -> $r3(-2062685151) 
0(-2062685151) -> 0(720819336) 
key(-2062685151) -> key(720819336) 
lang(-2062685151) -> lang(720819336) 
l6(-2062685151) -> l6(720819336) 
is(-2062685151) -> is(720819336) 
$r0(-2062685151) -> $r0(720819336) 
$r1(-2062685151) -> $r1(720819336) 
$r2(-2062685151) -> $r2(720819336) 
hTree(-2062685151) -> hTree(720819336) 
$r3(-2062685151) -> $r3(720819336) 
0(720819336) -> 0(1620326597) 
key(720819336) -> key(1620326597) 
lang(720819336) -> lang(1620326597) 
l6(720819336) -> l6(1620326597) 
is(720819336) -> is(1620326597) 
$r0(720819336) -> $r0(1620326597) 
$r1(720819336) -> $r1(1620326597) 
$r2(720819336) -> $r2(1620326597) 
hTree(720819336) -> hTree(1620326597) 
$r3(720819336) -> $r3(1620326597) 
0(720819336) -> 0(855327425) 
key(720819336) -> key(855327425) 
lang(720819336) -> lang(855327425) 
l6(720819336) -> l6(855327425) 
is(720819336) -> is(855327425) 
$r0(720819336) -> $r0(855327425) 
$r1(720819336) -> $r1(855327425) 
$r2(720819336) -> $r2(855327425) 
hTree(720819336) -> hTree(855327425) 
$r3(720819336) -> $r3(855327425) 
0(855327425) -> 0(232498957) 
key(855327425) -> key(232498957) 
lang(855327425) -> lang(232498957) 
l6(855327425) -> l6(232498957) 
is(855327425) -> is(232498957) 
$r0(855327425) -> $r0(232498957) 
$r1(855327425) -> $r1(232498957) 
$r2(855327425) -> $r2(232498957) 
hTree(855327425) -> hTree(232498957) 
$r3(855327425) -> $r3(232498957) 
0(232498957) -> 0(1179769787) 
key(232498957) -> key(1179769787) 
lang(232498957) -> lang(1179769787) 
l6(232498957) -> l6(1179769787) 
is(232498957) -> is(1179769787) 
$r0(232498957) -> $r0(1179769787) 
$r2(232498957) -> $r2(1179769787) 
hTree(232498957) -> hTree(1179769787) 
$r3(232498957) -> $r3(1179769787) 
0(1179769787) -> 0(644490687) 
key(1179769787) -> key(644490687) 
lang(1179769787) -> lang(644490687) 
l6(1179769787) -> l6(644490687) 
is(1179769787) -> is(644490687) 
$r0(1179769787) -> $r0(644490687) 
$r1(1179769787) -> $r1(644490687) 
$r2(1179769787) -> $r2(644490687) 
hTree(1179769787) -> hTree(644490687) 
$r3(1179769787) -> $r3(644490687) 
0(644490687) -> 0(-644490687) 
key(644490687) -> key(-644490687) 
lang(644490687) -> lang(-644490687) 
l6(644490687) -> l6(-644490687) 
is(644490687) -> is(-644490687) 
$r0(644490687) -> $r0(-644490687) 
$r2(644490687) -> $r2(-644490687) 
hTree(644490687) -> hTree(-644490687) 
$r3(644490687) -> $r3(-644490687) 
0(-644490687) -> 0(959602350) 
key(-644490687) -> key(959602350) 
lang(-644490687) -> lang(959602350) 
l6(-644490687) -> l6(959602350) 
is(-644490687) -> is(959602350) 
$r0(-644490687) -> $r0(959602350) 
$r1(-644490687) -> $r1(959602350) 
$r2(-644490687) -> $r2(959602350) 
hTree(-644490687) -> hTree(959602350) 
$r3(-644490687) -> $r3(959602350) 
0(959602350) -> 0(-959602350) 
key(959602350) -> key(-959602350) 
lang(959602350) -> lang(-959602350) 
l6(959602350) -> l6(-959602350) 
is(959602350) -> is(-959602350) 
$r0(959602350) -> $r0(-959602350) 
$r2(959602350) -> $r2(-959602350) 
hTree(959602350) -> hTree(-959602350) 
$r3(959602350) -> $r3(-959602350) 
0(-959602350) -> 0(1322816560) 
key(-959602350) -> key(1322816560) 
lang(-959602350) -> lang(1322816560) 
l6(-959602350) -> l6(1322816560) 
is(-959602350) -> is(1322816560) 
$r0(-959602350) -> $r0(1322816560) 
$r1(-959602350) -> $r1(1322816560) 
$r2(-959602350) -> $r2(1322816560) 
hTree(-959602350) -> hTree(1322816560) 
$r3(-959602350) -> $r3(1322816560) 
0(1322816560) -> 0(-1322816560) 
key(1322816560) -> key(-1322816560) 
lang(1322816560) -> lang(-1322816560) 
l6(1322816560) -> l6(-1322816560) 
is(1322816560) -> is(-1322816560) 
$r0(1322816560) -> $r0(-1322816560) 
$r2(1322816560) -> $r2(-1322816560) 
hTree(1322816560) -> hTree(-1322816560) 
$r3(1322816560) -> $r3(-1322816560) 
0(-1322816560) -> 0(1827210176) 
key(-1322816560) -> key(1827210176) 
lang(-1322816560) -> lang(1827210176) 
l6(-1322816560) -> l6(1827210176) 
is(-1322816560) -> is(1827210176) 
$r0(-1322816560) -> $r0(1827210176) 
$r1(-1322816560) -> $r1(1827210176) 
$r2(-1322816560) -> $r2(1827210176) 
hTree(-1322816560) -> hTree(1827210176) 
$r3(-1322816560) -> $r3(1827210176) 
0(1827210176) -> 0(-1827210176) 
key(1827210176) -> key(-1827210176) 
lang(1827210176) -> lang(-1827210176) 
l6(1827210176) -> l6(-1827210176) 
is(1827210176) -> is(-1827210176) 
$r0(1827210176) -> $r0(-1827210176) 
$r1(1827210176) -> $r1(-1827210176) 
hTree(1827210176) -> hTree(-1827210176) 
$r3(1827210176) -> $r3(-1827210176) 
0(-1827210176) -> 0(905275932) 
key(-1827210176) -> key(905275932) 
lang(-1827210176) -> lang(905275932) 
l6(-1827210176) -> l6(905275932) 
is(-1827210176) -> is(905275932) 
$r0(-1827210176) -> $r0(905275932) 
$r1(-1827210176) -> $r1(905275932) 
$r2(-1827210176) -> $r2(905275932) 
hTree(-1827210176) -> hTree(905275932) 
$r3(-1827210176) -> $r3(905275932) 
0(905275932) -> 0(1620326597) 
key(905275932) -> key(1620326597) 
lang(905275932) -> lang(1620326597) 
l6(905275932) -> l6(1620326597) 
is(905275932) -> is(1620326597) 
$r0(905275932) -> $r0(1620326597) 
$r1(905275932) -> $r1(1620326597) 
$r2(905275932) -> $r2(1620326597) 
hTree(905275932) -> hTree(1620326597) 
$r3(905275932) -> $r3(1620326597) 
0(1620326597) -> 0(1372077781) 
key(1620326597) -> key(1372077781) 
lang(1620326597) -> lang(1372077781) 
l6(1620326597) -> l6(1372077781) 
is(1620326597) -> is(1372077781) 
$r0(1620326597) -> $r0(1372077781) 
$r1(1620326597) -> $r1(1372077781) 
$r2(1620326597) -> $r2(1372077781) 
hTree(1620326597) -> hTree(1372077781) 
$r3(1620326597) -> $r3(1372077781) 
0(1372077781) -> 0(1016025297) 
key(1372077781) -> key(1016025297) 
lang(1372077781) -> lang(1016025297) 
l6(1372077781) -> l6(1016025297) 
is(1372077781) -> is(1016025297) 
$r0(1372077781) -> $r0(1016025297) 
$r1(1372077781) -> $r1(1016025297) 
$r2(1372077781) -> $r2(1016025297) 
hTree(1372077781) -> hTree(1016025297) 
$r3(1372077781) -> $r3(1016025297) 
0(1016025297) -> 0(-482987081) 
key(1016025297) -> key(-482987081) 
lang(1016025297) -> lang(-482987081) 
l6(1016025297) -> l6(-482987081) 
is(1016025297) -> is(-482987081) 
$r0(1016025297) -> $r0(-482987081) 
$r1(1016025297) -> $r1(-482987081) 
$r2(1016025297) -> $r2(-482987081) 
hTree(1016025297) -> hTree(-482987081) 
$r3(1016025297) -> $r3(-482987081) 
0(1016025297) -> .return(-482987081) 
0(1694689382) -> 0(516554318) 
key(1694689382) -> key(516554318) 
lang(1694689382) -> lang(516554318) 
l6(1694689382) -> l6(516554318) 
is(1694689382) -> is(516554318) 
$r0(1694689382) -> $r0(516554318) 
$r1(1694689382) -> $r1(516554318) 
$r2(1694689382) -> $r2(516554318) 
hTree(1694689382) -> hTree(516554318) 
$r3(1694689382) -> $r3(516554318) 
0(568833113) -> 0(1928417394) 
key(568833113) -> key(1928417394) 
lang(568833113) -> lang(1928417394) 
l6(568833113) -> l6(1928417394) 
is(568833113) -> is(1928417394) 
$r0(568833113) -> $r0(1928417394) 
$r1(568833113) -> $r1(1928417394) 
$r2(568833113) -> $r2(1928417394) 
hTree(568833113) -> hTree(1928417394) 
$r3(568833113) -> $r3(1928417394) 
0(1928417394) -> 0(-1928417394) 
key(1928417394) -> key(-1928417394) 
lang(1928417394) -> lang(-1928417394) 
l6(1928417394) -> l6(-1928417394) 
is(1928417394) -> is(-1928417394) 
$r0(1928417394) -> $r0(-1928417394) 
$r1(1928417394) -> $r1(-1928417394) 
$r2(1928417394) -> $r2(-1928417394) 
hTree(1928417394) -> hTree(-1928417394) 
$r3(1928417394) -> $r3(-1928417394) 
0(-1928417394) -> 0(1087940434) 
key(-1928417394) -> key(1087940434) 
lang(-1928417394) -> lang(1087940434) 
l6(-1928417394) -> l6(1087940434) 
is(-1928417394) -> is(1087940434) 
$r0(-1928417394) -> $r0(1087940434) 
$r1(-1928417394) -> $r1(1087940434) 
$r2(-1928417394) -> $r2(1087940434) 
hTree(-1928417394) -> hTree(1087940434) 
$r3(-1928417394) -> $r3(1087940434) 
0(1087940434) -> 0(2000472016) 
key(1087940434) -> key(2000472016) 
lang(1087940434) -> lang(2000472016) 
l6(1087940434) -> l6(2000472016) 
is(1087940434) -> is(2000472016) 
$r0(1087940434) -> $r0(2000472016) 
$r1(1087940434) -> $r1(2000472016) 
$r2(1087940434) -> $r2(2000472016) 
hTree(1087940434) -> hTree(2000472016) 
$r3(1087940434) -> $r3(2000472016) 
0(1087940434) -> 0(1339103680) 
key(1087940434) -> key(1339103680) 
lang(1087940434) -> lang(1339103680) 
l6(1087940434) -> l6(1339103680) 
is(1087940434) -> is(1339103680) 
$r0(1087940434) -> $r0(1339103680) 
$r1(1087940434) -> $r1(1339103680) 
$r2(1087940434) -> $r2(1339103680) 
hTree(1087940434) -> hTree(1339103680) 
$r3(1087940434) -> $r3(1339103680) 
0(1339103680) -> 0(686929200) 
key(1339103680) -> key(686929200) 
lang(1339103680) -> lang(686929200) 
l6(1339103680) -> l6(686929200) 
is(1339103680) -> is(686929200) 
$r0(1339103680) -> $r0(686929200) 
$r1(1339103680) -> $r1(686929200) 
$r2(1339103680) -> $r2(686929200) 
hTree(1339103680) -> hTree(686929200) 
$r3(1339103680) -> $r3(686929200) 
0(686929200) -> 0(1243295691) 
key(686929200) -> key(1243295691) 
lang(686929200) -> lang(1243295691) 
l6(686929200) -> l6(1243295691) 
is(686929200) -> is(1243295691) 
$r0(686929200) -> $r0(1243295691) 
$r2(686929200) -> $r2(1243295691) 
hTree(686929200) -> hTree(1243295691) 
$r3(686929200) -> $r3(1243295691) 
0(1243295691) -> 0(433940904) 
key(1243295691) -> key(433940904) 
lang(1243295691) -> lang(433940904) 
l6(1243295691) -> l6(433940904) 
is(1243295691) -> is(433940904) 
$r0(1243295691) -> $r0(433940904) 
$r1(1243295691) -> $r1(433940904) 
$r2(1243295691) -> $r2(433940904) 
hTree(1243295691) -> hTree(433940904) 
$r3(1243295691) -> $r3(433940904) 
0(433940904) -> 0(-433940904) 
key(433940904) -> key(-433940904) 
lang(433940904) -> lang(-433940904) 
l6(433940904) -> l6(-433940904) 
is(433940904) -> is(-433940904) 
$r0(433940904) -> $r0(-433940904) 
