method: org.apache.fop.fonts.FontCache.removeFont:1130634447
$r0(1221061849) -> $r0(1032765411) 
$r1(1221061849) -> $r1(1032765411) 
$r2(1221061849) -> $r2(1032765411) 
$r3(1221061849) -> $r3(1032765411) 
$r4(1221061849) -> $r4(1032765411) 
$r5(1221061849) -> $r5(1032765411) 
0(1032765411) -> 0(1725427623) 
this(1032765411) -> this(1725427623) 
embedUrl(1032765411) -> embedUrl(1725427623) 
l2(1032765411) -> l2(1725427623) 
l3(1032765411) -> l3(1725427623) 
$r0(1032765411) -> $r0(1725427623) 
$r1(1032765411) -> $r1(1725427623) 
$r2(1032765411) -> $r2(1725427623) 
$r3(1032765411) -> $r3(1725427623) 
$r4(1032765411) -> $r4(1725427623) 
$r5(1032765411) -> $r5(1725427623) 
0(1725427623) -> 0(280334476) 
this(1725427623) -> this(280334476) 
embedUrl(1725427623) -> embedUrl(280334476) 
l2(1725427623) -> l2(280334476) 
l3(1725427623) -> l3(280334476) 
$r0(1725427623) -> $r0(280334476) 
$r1(1725427623) -> $r1(280334476) 
$r3(1725427623) -> $r3(280334476) 
$r4(1725427623) -> $r4(280334476) 
$r5(1725427623) -> $r5(280334476) 
0(280334476) -> 0(1961325852) 
this(280334476) -> this(1961325852) 
embedUrl(280334476) -> embedUrl(1961325852) 
l2(280334476) -> l2(1961325852) 
l3(280334476) -> l3(1961325852) 
$r0(280334476) -> $r0(1961325852) 
$r1(280334476) -> $r1(1961325852) 
$r2(280334476) -> $r2(1961325852) 
$r3(280334476) -> $r3(1961325852) 
$r4(280334476) -> $r4(1961325852) 
$r5(280334476) -> $r5(1961325852) 
0(1961325852) -> 0(-1961325852) 
this(1961325852) -> this(-1961325852) 
embedUrl(1961325852) -> embedUrl(-1961325852) 
l2(1961325852) -> l2(-1961325852) 
l3(1961325852) -> l3(-1961325852) 
$r0(1961325852) -> $r0(-1961325852) 
$r1(1961325852) -> $r1(-1961325852) 
$r3(1961325852) -> $r3(-1961325852) 
$r4(1961325852) -> $r4(-1961325852) 
$r5(1961325852) -> $r5(-1961325852) 
0(-1961325852) -> 0(859188940) 
this(-1961325852) -> this(859188940) 
embedUrl(-1961325852) -> embedUrl(859188940) 
l2(-1961325852) -> l2(859188940) 
l3(-1961325852) -> l3(859188940) 
$r0(-1961325852) -> $r0(859188940) 
$r1(-1961325852) -> $r1(859188940) 
$r2(-1961325852) -> $r2(859188940) 
$r3(-1961325852) -> $r3(859188940) 
$r4(-1961325852) -> $r4(859188940) 
$r5(-1961325852) -> $r5(859188940) 
0(859188940) -> 0(-859188940) 
this(859188940) -> this(-859188940) 
embedUrl(859188940) -> embedUrl(-859188940) 
l2(859188940) -> l2(-859188940) 
l3(859188940) -> l3(-859188940) 
$r0(859188940) -> $r0(-859188940) 
$r1(859188940) -> $r1(-859188940) 
$r3(859188940) -> $r3(-859188940) 
$r4(859188940) -> $r4(-859188940) 
$r5(859188940) -> $r5(-859188940) 
0(-859188940) -> 0(708472152) 
this(-859188940) -> this(708472152) 
embedUrl(-859188940) -> embedUrl(708472152) 
l2(-859188940) -> l2(708472152) 
l3(-859188940) -> l3(708472152) 
$r0(-859188940) -> $r0(708472152) 
$r1(-859188940) -> $r1(708472152) 
$r2(-859188940) -> $r2(708472152) 
$r3(-859188940) -> $r3(708472152) 
$r4(-859188940) -> $r4(708472152) 
$r5(-859188940) -> $r5(708472152) 
0(708472152) -> 0(-708472152) 
this(708472152) -> this(-708472152) 
embedUrl(708472152) -> embedUrl(-708472152) 
l2(708472152) -> l2(-708472152) 
l3(708472152) -> l3(-708472152) 
$r0(708472152) -> $r0(-708472152) 
$r1(708472152) -> $r1(-708472152) 
$r2(708472152) -> $r2(-708472152) 
$r4(708472152) -> $r4(-708472152) 
$r5(708472152) -> $r5(-708472152) 
0(-708472152) -> 0(1642119696) 
this(-708472152) -> this(1642119696) 
embedUrl(-708472152) -> embedUrl(1642119696) 
l2(-708472152) -> l2(1642119696) 
l3(-708472152) -> l3(1642119696) 
$r0(-708472152) -> $r0(1642119696) 
$r1(-708472152) -> $r1(1642119696) 
$r2(-708472152) -> $r2(1642119696) 
$r3(-708472152) -> $r3(1642119696) 
$r4(-708472152) -> $r4(1642119696) 
$r5(-708472152) -> $r5(1642119696) 
0(1642119696) -> 0(1456355880) 
this(1642119696) -> this(1456355880) 
embedUrl(1642119696) -> embedUrl(1456355880) 
l2(1642119696) -> l2(1456355880) 
l3(1642119696) -> l3(1456355880) 
$r0(1642119696) -> $r0(1456355880) 
$r1(1642119696) -> $r1(1456355880) 
$r2(1642119696) -> $r2(1456355880) 
$r3(1642119696) -> $r3(1456355880) 
$r4(1642119696) -> $r4(1456355880) 
$r5(1642119696) -> $r5(1456355880) 
0(1456355880) -> 0(927159076) 
this(1456355880) -> this(927159076) 
embedUrl(1456355880) -> embedUrl(927159076) 
l2(1456355880) -> l2(927159076) 
l3(1456355880) -> l3(927159076) 
$r0(1456355880) -> $r0(927159076) 
$r1(1456355880) -> $r1(927159076) 
$r2(1456355880) -> $r2(927159076) 
$r3(1456355880) -> $r3(927159076) 
$r4(1456355880) -> $r4(927159076) 
$r5(1456355880) -> $r5(927159076) 
0(927159076) -> 0(1049969154) 
this(927159076) -> this(1049969154) 
embedUrl(927159076) -> embedUrl(1049969154) 
l2(927159076) -> l2(1049969154) 
l3(927159076) -> l3(1049969154) 
$r0(927159076) -> $r0(1049969154) 
$r1(927159076) -> $r1(1049969154) 
$r2(927159076) -> $r2(1049969154) 
$r3(927159076) -> $r3(1049969154) 
$r4(927159076) -> $r4(1049969154) 
$r5(927159076) -> $r5(1049969154) 
0(1049969154) -> 0(291438206) 
this(1049969154) -> this(291438206) 
embedUrl(1049969154) -> embedUrl(291438206) 
l2(1049969154) -> l2(291438206) 
l3(1049969154) -> l3(291438206) 
$r0(1049969154) -> $r0(291438206) 
$r1(1049969154) -> $r1(291438206) 
$r2(1049969154) -> $r2(291438206) 
$r3(1049969154) -> $r3(291438206) 
$r4(1049969154) -> $r4(291438206) 
$r5(1049969154) -> $r5(291438206) 
0(291438206) -> 0(-1130634447) 
this(291438206) -> this(-1130634447) 
embedUrl(291438206) -> embedUrl(-1130634447) 
l2(291438206) -> l2(-1130634447) 
l3(291438206) -> l3(-1130634447) 
$r0(291438206) -> $r0(-1130634447) 
$r1(291438206) -> $r1(-1130634447) 
$r2(291438206) -> $r2(-1130634447) 
$r3(291438206) -> $r3(-1130634447) 
$r4(291438206) -> $r4(-1130634447) 
$r5(291438206) -> $r5(-1130634447) 
0(1939213082) -> 0(1184355158) 
this(1939213082) -> this(1184355158) 
embedUrl(1939213082) -> embedUrl(1184355158) 
l2(1939213082) -> l2(1184355158) 
l3(1939213082) -> l3(1184355158) 
$r0(1939213082) -> $r0(1184355158) 
$r1(1939213082) -> $r1(1184355158) 
$r2(1939213082) -> $r2(1184355158) 
$r3(1939213082) -> $r3(1184355158) 
$r4(1939213082) -> $r4(1184355158) 
$r5(1939213082) -> $r5(1184355158) 
0(2142442302) -> 0(1351697911) 
this(2142442302) -> this(1351697911) 
embedUrl(2142442302) -> embedUrl(1351697911) 
l2(2142442302) -> l2(1351697911) 
$r0(2142442302) -> $r0(1351697911) 
$r1(2142442302) -> $r1(1351697911) 
$r2(2142442302) -> $r2(1351697911) 
$r3(2142442302) -> $r3(1351697911) 
$r4(2142442302) -> $r4(1351697911) 
$r5(2142442302) -> l3(1351697911) 
$r5(2142442302) -> $r5(1351697911) 
0(1351697911) -> 0(-1130634447) 
this(1351697911) -> this(-1130634447) 
embedUrl(1351697911) -> embedUrl(-1130634447) 
l2(1351697911) -> l2(-1130634447) 
l3(1351697911) -> l3(-1130634447) 
$r0(1351697911) -> $r0(-1130634447) 
$r1(1351697911) -> $r1(-1130634447) 
$r2(1351697911) -> $r2(-1130634447) 
$r3(1351697911) -> $r3(-1130634447) 
$r4(1351697911) -> $r4(-1130634447) 
$r5(1351697911) -> $r5(-1130634447) 
0(1184355158) -> 0(-1130634447) 
this(1184355158) -> this(-1130634447) 
embedUrl(1184355158) -> embedUrl(-1130634447) 
l2(1184355158) -> l2(-1130634447) 
l3(1184355158) -> l3(-1130634447) 
$r0(1184355158) -> $r0(-1130634447) 
$r1(1184355158) -> $r1(-1130634447) 
$r2(1184355158) -> $r2(-1130634447) 
$r3(1184355158) -> $r3(-1130634447) 
$r4(1184355158) -> $r4(-1130634447) 
$r5(1184355158) -> $r5(-1130634447) 
0(1184355158) -> .return(-1130634447) 
