method: org.apache.fop.text.linebreak.LineBreakUtils.init_0:1365811000
2492962 -> 2492965
2492963 -> 2492966
2492964 -> 2492967
2492965 -> 2492968
2492966 -> 2492969
2492967 -> 2492970
2492968 -> 2492971
2492969 -> 2492972
2492970 -> 2492973
2492971 -> 2492974
2492972 -> 2492975
2492973 -> 2492976
2492974 -> 2492977
2492975 -> 2492978
2492976 -> 2492979
2492977 -> 2492980
2492978 -> 2492981
2492979 -> 2492982
2492980 -> 2492983
2492981 -> 2492984
2492982 -> 2492985
2492983 -> 2492986
2492984 -> 2492987
2492985 -> 2492988
2492986 -> 2492989
2492987 -> 2492990
2492988 -> 2492991
2492989 -> 2492992
2492990 -> 2492993
2492991 -> 2492994
2492992 -> 2492995
2492993 -> 2492996
2492994 -> 2492997
2492995 -> 2492998
2492996 -> 2492999
2492997 -> 2493000
2492998 -> 2493001
2492999 -> 2493002
2493000 -> 2493003
2493001 -> 2493004
2493002 -> 2493005
2493003 -> 2493006
2493004 -> 2493007
2493005 -> 2493008
2493006 -> 2493009
2493007 -> 2493010
2493008 -> 2493011
2493009 -> 2493012
2493010 -> 2493013
2493011 -> 2493014
2493012 -> 2493015
2493013 -> 2493016
2493014 -> 2493017
2493015 -> 2493018
2493016 -> 2493019
2493017 -> 2493020
2493018 -> 2493021
2493019 -> 2493022
2493020 -> 2493023
2493021 -> 2493024
2493022 -> 2493025
2493023 -> 2493026
2493024 -> 2493027
2493025 -> 2493028
2493026 -> 2493029
2493027 -> 2493030
2493028 -> 2493031
2493029 -> 2493032
2493030 -> 2493033
2493031 -> 2493034
2493032 -> 2493035
2493033 -> 2493036
2493034 -> 2493037
2493035 -> 2493038
2493036 -> 2493039
2493037 -> 2493040
2493038 -> 2493041
2493039 -> 2493042
2493040 -> 2493043
2493041 -> 2493044
2493042 -> 2493045
2493043 -> 2493046
2493044 -> 2493047
2493045 -> 2493048
2493046 -> 2493049
2493047 -> 2493050
2493048 -> 2493051
2493049 -> 2493052
2493050 -> 2493053
2493051 -> 2493054
2493052 -> 2493055
2493053 -> 2493056
2493054 -> 2493057
2493055 -> 2493058
2493056 -> 2493059
2493057 -> 2493060
2493058 -> 2493061
2493059 -> 2493062
2493060 -> 2493063
2493061 -> 2493064
2493062 -> 2493065
2493063 -> 2493066
2493064 -> 2493067
2493065 -> 2493068
2493066 -> 2493069
2493067 -> 2493070
2493068 -> 2493071
2493069 -> 2493072
2493070 -> 2493073
2493071 -> 2493074
2493072 -> 2493075
2493073 -> 2493076
2493074 -> 2493077
2493075 -> 2493078
2493076 -> 2493079
2493077 -> 2493080
2493078 -> 2493081
2493079 -> 2493082
2493080 -> 2493083
2493081 -> 2493084
2493082 -> 2493085
2493083 -> 2493086
2493084 -> 2493087
2493085 -> 2493088
2493086 -> 2493089
2493087 -> 2493090
2493088 -> 2493091
2493089 -> 2493092
2493090 -> 2493093
2493091 -> 2493094
2493092 -> 2493095
2493093 -> 2493096
2493094 -> 2493097
2493095 -> 2493098
2493096 -> 2493099
2493097 -> 2493100
2493098 -> 2493101
2493099 -> 2493102
2493100 -> 2493103
2493101 -> 2493104
2493102 -> 2493105
2493103 -> 2493106
2493104 -> 2493107
2493105 -> 2493108
2493106 -> 2493109
2493107 -> 2493110
2493108 -> 2493111
2493109 -> 2493112
