method: org.apache.fop.fonts.type1.AFMParser$FontBBox.parseBBox:895874973
rect(2049204798) -> rect(1789793047) 
$r1(2049204798) -> $r1(1789793047) 
$r2(2049204798) -> $r2(1789793047) 
0(1789793047) -> 0(1248297400) 
this(1789793047) -> this(1248297400) 
line(1789793047) -> line(1248297400) 
$r0(1789793047) -> $r0(1248297400) 
rect(1789793047) -> rect(1248297400) 
$r1(1789793047) -> $r1(1248297400) 
$r2(1789793047) -> $r2(1248297400) 
0(1248297400) -> 0(407374951) 
this(1248297400) -> this(407374951) 
line(1248297400) -> line(407374951) 
$r0(1248297400) -> $r0(407374951) 
rect(1248297400) -> rect(407374951) 
$r1(1248297400) -> $r1(407374951) 
$r2(1248297400) -> $r2(407374951) 
0(407374951) -> 0(-407374951) 
this(407374951) -> this(-407374951) 
line(407374951) -> line(-407374951) 
$r0(407374951) -> $r0(-407374951) 
rect(407374951) -> rect(-407374951) 
$r1(407374951) -> $r1(-407374951) 
$r2(407374951) -> $r2(-407374951) 
0(-407374951) -> 0(505061961) 
this(-407374951) -> this(505061961) 
line(-407374951) -> line(505061961) 
$r0(-407374951) -> $r0(505061961) 
rect(-407374951) -> rect(505061961) 
$r1(-407374951) -> $r1(505061961) 
$r2(-407374951) -> $r2(505061961) 
0(505061961) -> 0(-505061961) 
this(505061961) -> this(-505061961) 
line(505061961) -> line(-505061961) 
$r0(505061961) -> $r0(-505061961) 
rect(505061961) -> rect(-505061961) 
$r1(505061961) -> $r1(-505061961) 
$r2(505061961) -> $r2(-505061961) 
0(-505061961) -> 0(90550793) 
this(-505061961) -> this(90550793) 
line(-505061961) -> line(90550793) 
$r0(-505061961) -> $r0(90550793) 
rect(-505061961) -> rect(90550793) 
$r1(-505061961) -> $r1(90550793) 
$r2(-505061961) -> $r2(90550793) 
0(90550793) -> 0(-90550793) 
this(90550793) -> this(-90550793) 
line(90550793) -> line(-90550793) 
$r0(90550793) -> $r0(-90550793) 
rect(90550793) -> rect(-90550793) 
$r1(90550793) -> $r1(-90550793) 
0(-90550793) -> 0(55468860) 
this(-90550793) -> this(55468860) 
line(-90550793) -> line(55468860) 
$r0(-90550793) -> $r0(55468860) 
rect(-90550793) -> rect(55468860) 
$r1(-90550793) -> $r1(55468860) 
$r2(-90550793) -> $r2(55468860) 
0(55468860) -> 0(-55468860) 
this(55468860) -> this(-55468860) 
line(55468860) -> line(-55468860) 
$r0(55468860) -> $r0(-55468860) 
rect(55468860) -> rect(-55468860) 
$r1(55468860) -> $r1(-55468860) 
$r2(55468860) -> $r2(-55468860) 
0(-55468860) -> 0(2054375927) 
this(-55468860) -> this(2054375927) 
line(-55468860) -> line(2054375927) 
$r0(-55468860) -> $r0(2054375927) 
rect(-55468860) -> rect(2054375927) 
$r1(-55468860) -> $r1(2054375927) 
$r2(-55468860) -> $r2(2054375927) 
0(2054375927) -> 0(654128623) 
this(2054375927) -> this(654128623) 
line(2054375927) -> line(654128623) 
$r0(2054375927) -> $r0(654128623) 
rect(2054375927) -> rect(654128623) 
$r1(2054375927) -> $r1(654128623) 
$r2(2054375927) -> $r2(654128623) 
0(654128623) -> 0(970977768) 
this(654128623) -> this(970977768) 
line(654128623) -> line(970977768) 
$r0(654128623) -> $r0(970977768) 
rect(654128623) -> rect(970977768) 
$r1(654128623) -> $r1(970977768) 
$r2(654128623) -> $r2(970977768) 
0(970977768) -> 0(1771658486) 
this(970977768) -> this(1771658486) 
line(970977768) -> line(1771658486) 
$r0(970977768) -> $r0(1771658486) 
rect(970977768) -> rect(1771658486) 
$r1(970977768) -> $r1(1771658486) 
$r2(970977768) -> $r2(1771658486) 
0(1771658486) -> 0(51422102) 
this(1771658486) -> this(51422102) 
line(1771658486) -> line(51422102) 
$r0(1771658486) -> $r0(51422102) 
rect(1771658486) -> rect(51422102) 
$r1(1771658486) -> $r1(51422102) 
$r2(1771658486) -> $r2(51422102) 
0(51422102) -> 0(-895874973) 
this(51422102) -> this(-895874973) 
line(51422102) -> line(-895874973) 
$r0(51422102) -> $r0(-895874973) 
rect(51422102) -> rect(-895874973) 
$r1(51422102) -> $r1(-895874973) 
$r2(51422102) -> $r2(-895874973) 
rect(51422102) -> .return(-895874973) 
