method: org.apache.fop.fonts.FontReader.getInt:670929294
str(1721784311) -> str(-1721784311) 
e(1721784311) -> e(-1721784311) 
$r1(1721784311) -> $r1(-1721784311) 
$r2(1721784311) -> $r2(-1721784311) 
$r3(1721784311) -> $r3(-1721784311) 
0(-1721784311) -> 0(686771652) 
this(-1721784311) -> this(686771652) 
str(-1721784311) -> str(686771652) 
e(-1721784311) -> e(686771652) 
$r0(-1721784311) -> $r0(686771652) 
$r1(-1721784311) -> $r1(686771652) 
$r2(-1721784311) -> $r2(686771652) 
$r3(-1721784311) -> $r3(686771652) 
0(686771652) -> 0(-686771652) 
this(686771652) -> this(-686771652) 
str(686771652) -> str(-686771652) 
e(686771652) -> e(-686771652) 
$r0(686771652) -> $r0(-686771652) 
$r1(686771652) -> $r1(-686771652) 
$r2(686771652) -> $r2(-686771652) 
0(-686771652) -> 0(136383020) 
this(-686771652) -> this(136383020) 
str(-686771652) -> str(136383020) 
e(-686771652) -> e(136383020) 
$r0(-686771652) -> $r0(136383020) 
$r1(-686771652) -> $r1(136383020) 
$r2(-686771652) -> $r2(136383020) 
$r3(-686771652) -> $r3(136383020) 
0(136383020) -> 0(824365791) 
this(136383020) -> this(824365791) 
str(136383020) -> str(824365791) 
e(136383020) -> e(824365791) 
$r0(136383020) -> $r0(824365791) 
$r1(136383020) -> $r1(824365791) 
$r2(136383020) -> $r2(824365791) 
$r3(136383020) -> $r3(824365791) 
0(1651482915) -> 0(-670929294) 
this(1651482915) -> this(-670929294) 
str(1651482915) -> str(-670929294) 
e(1651482915) -> e(-670929294) 
$r0(1651482915) -> $r0(-670929294) 
$r1(1651482915) -> $r1(-670929294) 
$r2(1651482915) -> $r2(-670929294) 
$r3(1651482915) -> $r3(-670929294) 
0(1651482915) -> .return(-670929294) 
