method: funcs.DeviceFunction.getDevice:961503948
l3(1353625448) -> l3(644541754) 
dev(1353625448) -> dev(644541754) 
$r0(1353625448) -> $r0(644541754) 
$r1(1353625448) -> $r1(644541754) 
$r2(1353625448) -> $r2(644541754) 
0(1353625448) -> 0(868061193) 
this(1353625448) -> this(868061193) 
serialNumber(1353625448) -> serialNumber(868061193) 
l3(1353625448) -> l3(868061193) 
dev(1353625448) -> dev(868061193) 
$r0(1353625448) -> $r0(868061193) 
$r1(1353625448) -> $r1(868061193) 
$r2(1353625448) -> $r2(868061193) 
0(868061193) -> 0(-961503948) 
this(868061193) -> this(-961503948) 
serialNumber(868061193) -> serialNumber(-961503948) 
l3(868061193) -> l3(-961503948) 
dev(868061193) -> dev(-961503948) 
$r0(868061193) -> $r0(-961503948) 
$r1(868061193) -> $r1(-961503948) 
$r2(868061193) -> $r2(-961503948) 
dev(868061193) -> .return(-961503948) 
0(644541754) -> 0(-644541754) 
this(644541754) -> this(-644541754) 
serialNumber(644541754) -> serialNumber(-644541754) 
l3(644541754) -> l3(-644541754) 
dev(644541754) -> dev(-644541754) 
$r0(644541754) -> $r0(-644541754) 
$r1(644541754) -> $r1(-644541754) 
$r2(644541754) -> $r2(-644541754) 
0(-644541754) -> 0(905744010) 
this(-644541754) -> this(905744010) 
serialNumber(-644541754) -> serialNumber(905744010) 
l3(-644541754) -> l3(905744010) 
dev(-644541754) -> dev(905744010) 
$r0(-644541754) -> $r0(905744010) 
$r1(-644541754) -> $r1(905744010) 
$r2(-644541754) -> $r2(905744010) 
0(905744010) -> 0(1954938610) 
this(905744010) -> this(1954938610) 
serialNumber(905744010) -> serialNumber(1954938610) 
l3(905744010) -> l3(1954938610) 
dev(905744010) -> dev(1954938610) 
$r0(905744010) -> $r0(1954938610) 
$r1(905744010) -> $r1(1954938610) 
$r2(905744010) -> $r2(1954938610) 
0(905744010) -> 0(1501782229) 
this(905744010) -> this(1501782229) 
serialNumber(905744010) -> serialNumber(1501782229) 
l3(905744010) -> l3(1501782229) 
dev(905744010) -> dev(1501782229) 
$r0(905744010) -> $r0(1501782229) 
$r1(905744010) -> $r1(1501782229) 
$r2(905744010) -> $r2(1501782229) 
0(1501782229) -> 0(-961503948) 
this(1501782229) -> this(-961503948) 
serialNumber(1501782229) -> serialNumber(-961503948) 
l3(1501782229) -> l3(-961503948) 
dev(1501782229) -> dev(-961503948) 
$r0(1501782229) -> $r0(-961503948) 
$r1(1501782229) -> $r1(-961503948) 
$r2(1501782229) -> $r2(-961503948) 
0(1501782229) -> .return(-961503948) 
