method: main.MainUI.createScriptInfoCom:251780582
$r4(194707285) -> $r4(1827744614) 
$r5(194707285) -> $r5(1827744614) 
$r6(194707285) -> $r6(1827744614) 
$r7(194707285) -> $r7(1827744614) 
0(1827744614) -> 0(506372615) 
this(1827744614) -> this(506372615) 
parent(1827744614) -> parent(506372615) 
itemtname(1827744614) -> itemtname(506372615) 
l6(1827744614) -> l6(506372615) 
com(1827744614) -> com(506372615) 
script(1827744614) -> script(506372615) 
scriptname(1827744614) -> scriptname(506372615) 
scrDisplayCom(1827744614) -> scrDisplayCom(506372615) 
$r0(1827744614) -> $r0(506372615) 
$r1(1827744614) -> $r1(506372615) 
$r2(1827744614) -> $r2(506372615) 
$r3(1827744614) -> $r3(506372615) 
$r4(1827744614) -> $r4(506372615) 
$r5(1827744614) -> $r5(506372615) 
$r6(1827744614) -> $r6(506372615) 
$r7(1827744614) -> $r7(506372615) 
0(1297640810) -> 0(1752658385) 
this(1297640810) -> this(1752658385) 
parent(1297640810) -> parent(1752658385) 
itemtname(1297640810) -> itemtname(1752658385) 
l6(1297640810) -> l6(1752658385) 
com(1297640810) -> com(1752658385) 
script(1297640810) -> script(1752658385) 
scriptname(1297640810) -> scriptname(1752658385) 
scrDisplayCom(1297640810) -> scrDisplayCom(1752658385) 
$r0(1297640810) -> $r0(1752658385) 
$r1(1297640810) -> $r1(1752658385) 
$r2(1297640810) -> $r2(1752658385) 
$r3(1297640810) -> $r3(1752658385) 
$r4(1297640810) -> $r4(1752658385) 
$r5(1297640810) -> $r5(1752658385) 
$r6(1297640810) -> $r6(1752658385) 
$r7(1297640810) -> $r7(1752658385) 
0(1752658385) -> 0(-1752658385) 
this(1752658385) -> this(-1752658385) 
parent(1752658385) -> parent(-1752658385) 
itemtname(1752658385) -> itemtname(-1752658385) 
l6(1752658385) -> l6(-1752658385) 
com(1752658385) -> com(-1752658385) 
script(1752658385) -> script(-1752658385) 
scriptname(1752658385) -> scriptname(-1752658385) 
scrDisplayCom(1752658385) -> scrDisplayCom(-1752658385) 
$r0(1752658385) -> $r0(-1752658385) 
$r1(1752658385) -> $r1(-1752658385) 
$r3(1752658385) -> $r3(-1752658385) 
